"","2020","2027","2036","S1","S2","S3"
"zcta1",-0.0600801969025961,0.209103582833148,-0.738775078579783,-4.74714454298746,-8.5061811547735,0.0329637199851758
"zcta2",-3.69579044312619,1.40196645569198,0.544059514914873,9.38694425801577,-8.67675555765051,-0.951483241153792
"zcta3",2.12224324460874,-3.59222212514087,-1.99843699083284,1.01541378148348,-11.9433295013234,-5.23387219898583
"zcta4",15.7817052653559,-5.97273597888314,12.0457085231577,-2.51150090146261,-5.39195810681919,1.00894030149729
"zcta5",-6.5947860305604,-17.764346404859,-27.2322295913857,-19.740519852901,-25.217830528862,-27.428965688318
"zcta6",0.0107659705959014,-0.497922838832214,-0.666650231036141,-0.195564681124783,-0.0241667613358247,-0.0920722732999106
"zcta7",-0.14182299864856,0.0113149028553891,-0.0518767190908609,-0.209388676510454,-0.100573897534261,-0.137256614044045
"zcta8",1.49858502171835,1.12536990692827,49.5997205432888,54.0893437293481,4.41793183018683,57.6220590036652
"zcta9",-0.467372436234081,-2.60352415870198,-8.79938820660539,-4.49481319090619,9.99817051253122,10.6662179577582
"zcta10",-0.231825938742177,-0.759489520145543,-2.12084910151991,-0.384689448964707,-0.802652618316644,-1.27853182770078
"zcta11",-0.392333075438687,-0.273415966839765,-0.246285726722845,-0.274282824602559,-0.34010165538424,-1.01051860568847
"zcta12",0.141659216012053,0.460470067577691,0.395996877571208,0.338086534494119,0.314048258516034,0.202453934224144
"zcta13",-18.1670170589863,-35.1889410075749,-27.3368509359137,-1.90730060105103,-1.34773121284084,-0.635262219559652
"zcta14",-5.39135801095306,-9.72896121056655,-13.9000988966492,-4.49443316300814,-5.70956856580938,-5.33564092152109
"zcta15",-0.500868648373625,0.519662729281885,-0.0964833426254897,-0.816279960667856,-0.60225483724159,-1.81039399673188
"zcta16",-19.1602845297736,-20.9869944137171,-8.18377250254071,-44.1439613096553,-7.70033360615672,-22.1300316082504
"zcta17",23.5147890699318,24.3556506980031,18.9228447526513,21.4969456106848,24.0753831343666,24.1204915894644
"zcta18",0.942699551350225,-0.0694754032496318,-4.10310945231487,0.830345976846922,1.09127642700551,-1.99479966870841
"zcta19",-4.94970222077765,0.247771860698668,-2.4568156156336,-5.52000097482836,-4.50370338477742,-6.07407606399898
"zcta20",5.52476262086708,6.24254241697581,4.78143695253147,3.14205879356661,5.00411836112203,3.02978094697538
"zcta21",-1.53345458209853,-4.43853114804267,-3.53416463828151,-4.79358497460318,-3.42841688631139,-3.961790315653
"zcta22",-3.70040197165251,-5.78271054660237,19.8619874391101,21.8448950636966,3.76334113381005,13.7407320825909
"zcta23",-0.206017430287198,-1.96355117266173,-0.393150022230476,0.253728256808947,0.17519603651205,0.63206057154885
"zcta24",-29.7274730865593,-11.2186147071006,-9.79509898541177,-27.3554903640597,-2.0840056543339,-3.24776964020096
"zcta25",-0.309479263802747,-0.870190363116205,-0.747310404342164,-0.334574248561211,-0.503161880430841,-0.441139728058602
"zcta26",-15.4630335428388,-6.44844750029824,-6.37432541495431,-2.32403761672546,-7.03823658941042,-12.1179056190932
"zcta27",-0.285844691820214,-0.305189074046788,-0.435816562074471,-0.167345073092892,0.0713746650731789,-0.15595363527316
