"","2020","2027","2036","S1","S2","S3"
"zcta1",-0.526232199369341,-0.0188706883568268,-0.0350575609485691,-0.020756782073722,-0.0182582545791766,-0.109173989776726
"zcta2",-0.0967370787768194,0.030430611639956,0.0876649933982181,0.0780772125113752,0.100263618433203,0.228543557585836
"zcta3",-0.588739243999185,-0.0838331879972243,-0.122775314559902,-0.0934738613595986,-0.0840550427156073,-0.0239833763571356
"zcta4",-0.664044127623573,-0.00556197994455039,-0.0597598568121853,0.00721605141964175,0.0847178060637714,0.0106475660407254
"zcta5",-0.107901458493784,0.0172352027241641,0.0376787068062496,-0.00429312887305314,0.00966111264419338,0.0180516934808942
"zcta6",-0.013076428945415,-0.000260188541198355,0.00124867748903344,-0.00146856021287567,-0.000995418649399747,0.00157996974685739
"zcta7",-0.0246566410217696,-0.000818832388516604,0.000993369382238521,0.00194279952370127,-0.000436577210592092,-0.000261557878706914
"zcta8",-0.258479476043423,0.158009120841099,0.138705780928008,-0.0366722192150131,0.0572120509475157,0.0450221900703694
"zcta9",-0.108203283865977,0.148086184686694,0.0602667045574794,0.0558605038798518,0.16233268550402,0.141674975272454
"zcta10",-0.00700214896757895,0.00442215578151129,0.00371420582757182,0.0031853831391688,0.00414282113754476,0.00635795315104411
"zcta11",-0.0685904380403846,-0.00785594313617461,-0.00593895337421865,0.00786938382288697,-0.0144513438742183,-0.00690628346059609
"zcta12",-0.00401789698026751,0.0121496751237529,0.0110155492884652,0.00648565902834638,0.0105105838785483,0.00640978502450156
"zcta13",-0.654969454317211,0.545082109291186,0.669976858374236,0.257039679455495,0.283465060380948,0.237044983348818
"zcta14",-0.247383065201373,0.167318642792338,0.187004188786544,0.0603575974345162,0.126591960935904,0.165648393109781
"zcta15",-0.161677651184639,0.00139503754177505,0.00577962537296655,0.000485393565629641,-0.00941320163385538,0.0370496420369206
"zcta16",-0.158888860948196,0.552069875773383,0.258960912014407,0.192895816699422,0.214150474383843,0.372428163630109
"zcta17",-0.101129246004875,0.120752696449203,0.101597203967751,0.019453209113524,0.0939653269304363,0.150841389653583
"zcta18",-0.0931482123064743,0.0127853285904472,0.0105708163700842,0.00210881443941087,0.0133874469695139,0.0297896323583301
"zcta19",-0.561621854796493,0.146137969338304,0.132220211420544,-0.0811747655141403,-0.0427012460833274,0.106477051490691
"zcta20",-0.0175876330032351,0.00554599764935491,0.0175067839043777,-0.00659895019759455,0.00779536637520978,-0.00125334900170432
"zcta21",-0.140982561653494,0.0103800219803865,0.000223687776550573,0.0359168712226352,0.00620519461757038,0.0174022489355361
"zcta22",-0.00854242389203154,0.083172153814523,0.0419764714139312,0.0684835873544434,0.0812104745511159,0.0818245180800679
"zcta23",-0.0599993421651337,-0.0266748939187705,-0.0277327750073845,-0.00889674525444194,-0.0386410885842549,-0.0153175492979984
"zcta24",-0.113487098702314,0.640880539481857,0.360338667622614,0.699102656827286,0.546220828088841,0.686493115972046
"zcta25",-0.217717184505806,-0.0117745182629802,-0.00252168263235792,0.00261445582264559,0.00705449797100748,-0.00115950246045255
"zcta26",-0.530861157518011,0.166656700938419,0.158344299130853,0.0562267690253217,0.138020839662251,0.244719479103303
"zcta27",-0.113310565052992,-0.00661327637580182,-0.0186623109706001,-0.0148828898413825,-0.00473319596202852,-0.0115682988622548
"zcta28",-0.149350982447918,-0.022442013556266,-0.0122414399347249,-0.0212935864757094,-0.011877864003023,-0.016896715659421
"zcta29",-0.0523926961266605,0.000568341571768648,-0.00334600435237484,-0.00650354863402093,-0.00135452486969082,-0.00557527195252863
"zcta30",-0.0578494069225579,-0.00503997679614321,-0.00167900758729133,-0.0137615776237761,-0.000905597073212401,-0.00290249734212482
"zcta31",-0.0196209149618614,0.00296284140060805,0.00210932880794545,0.00451688762370184,0.00548805302565033,0.00275118183568975
"zcta32",-0.0185142144460898,0.0126541898666725,0.00545484919107769,-0.00116593257656056,-0.00552758852886131,0.00242438745248609
"zcta33",0.00901797170213999,0.00436843045869374,0.0013442920944062,0.0100294461536888,0.0068218053980851,0.00753274822841588
"zcta34",-0.300388201870761,-0.0645746860096836,0.324380487931665,0.117900407495814,0.240379478278073,-0.139982185634409
"zcta35",-0.100920403347166,0.0134782886726844,0.00329112395805491,0.00624489600764671,0.0136125603145987,0.003524151524241
"zcta36",-0.0364161316310802,0.0109259735625931,-0.000650653393995309,0.00346896057324053,0.0024884309390564,0.00952539759721776
"zcta37",-0.367909243082137,0.482423324174839,0.340217150993201,0.336831058753022,0.53205151457737,0.424292920653267
"zcta38",-0.0455656531854319,0.054538008386244,0.0251528784854317,0.0282203368535414,0.0689847714573606,0.0570127444807298
"zcta39",-0.0162714805855502,0.00233077243999447,-0.00326207181654686,0.00376417228527227,-0.00264243230053097,-0.00202996746697022
"zcta40",-0.00174537279826625,-0.003143658243124,0.000122439322222028,-0.00377533171438927,-0.00414722581328602,-0.000232756004021446
"zcta41",-0.00610424810372903,0.0156991631418091,0.0125293860226629,-0.0103636079403196,-0.00428969488312026,0.0201197370056962
"zcta42",-0.0145095228873118,0.00376153438735477,0.00752542250442828,0.011101437082384,0.00328338847490304,-0.00616587364944354
"zcta43",-0.0653849323835965,0.00794610948287018,-0.00341369903670383,-0.0110807896875466,-0.0112705936617658,0.00171847271670125
"zcta44",0.00230623418797435,0.0292144051180616,0.00749768001452333,0.0294770922111861,0.0295871554775459,0.00884490536344903
"zcta45",-0.223514013257165,-0.079247433207441,-0.102701738145496,-0.159938489495783,-0.0811234177989999,0.019934154678904
"zcta46",-0.0936984475905295,0.114324524996757,0.0983196880642106,-0.0307625775902834,0.03547421558311,0.0862914858860422
"zcta47",-0.0163104490940965,0.021922289480212,0.0660949500467871,0.0644422299112655,0.0629055483333559,0.0483475821391869
"zcta48",-0.0181146332021094,0.00953450534885512,-0.0000335459785369309,0.0111368548182822,0.01288008257814,0.00617928887362447
"zcta49",-0.0102412186165159,0.00971374907417471,0.0107981940524822,0.00988438138913335,0.0103344799357408,0.00699176356533446
"zcta50",-1.0611045816818,0.0252725227285946,-0.0246146550218728,-0.109176331255537,0.0175022134774243,0.0786473765132346
"zcta51",-0.00543556928845462,0.010184865679713,-0.00151774223459497,0.00765141555352599,0.00707041716664457,0.00403763105599515
"zcta52",-0.0470506567087152,-0.0145931590026189,-0.0469931691803578,0.00884957726224593,-0.0203889182929947,0.0196665372847386
"zcta53",-0.00974983433688113,0.356598849169148,0.320247375857978,0.386656825869997,0.380351973238768,0.281480108236847
"zcta54",-0.0350709259927688,0.0209893848005053,0.0107564720955697,0.0137348833022393,0.0215804868628882,0.014888697818999
"zcta55",-0.0541407547561386,0.0295720724034901,0.0298019836626912,-0.0167064829715954,0.0207647451142614,0.0210256753225582
"zcta56",-0.0206784014295051,0.00603109446453387,0.00110633612551865,-0.00451255430690025,0.00414345005976345,-0.000372528087651997
"zcta57",-0.100973177759399,0.090509563128936,0.0903734776598778,0.0524685955705115,0.102378602446477,0.115862119091342
"zcta58",-0.193714014185144,0.175462418929531,0.107791182461565,0.0390624988051237,0.128279129078975,0.114550727527396
