"","2020","2027","2036","S1","S2","S3"
"zcta1",-304.020237227636,-10.5414642524564,-19.8553820034658,-11.6746068987214,-10.3766566283332,-62.3682245599024
"zcta2",-65.2324704635079,20.6702503812508,59.6344357482316,53.967649565799,70.2789258702109,159.376329926028
"zcta3",-159.466208505298,-22.6685532074026,-33.2078648829678,-24.1489584023276,-22.4106099507967,-6.33777931973449
"zcta4",-113.367157456864,-0.756665509035468,-9.96986616705622,1.41188427185285,14.7682643475583,2.37307147672747
"zcta5",-38.4694391782957,8.80511264453732,15.265084928439,0.184821995228623,5.74001968762112,8.86665486481191
"zcta6",-328.699032858711,-5.61397668164852,32.3222198681581,-34.9665422429102,-24.486542851885,41.4282812183366
"zcta7",-279.771476575457,-9.16444198930694,11.6850802537117,23.335232482463,-3.10531994609567,-1.75632778668818
"zcta8",-20.7552542602227,13.0634611186735,11.4812073776293,-2.78039644144934,4.83924134310389,3.63222883937474
"zcta9",-12.4716060353294,17.4203143099571,7.06226525195266,6.5811516573908,19.1563487395517,16.6175382168224
"zcta10",-27.2997471141661,17.9700508520534,15.5054369146364,12.6447128618377,16.3943472368637,25.6527889550743
"zcta11",-91.4582353260637,-10.0910777782648,-7.46694799505953,11.0734771219566,-18.7267077508971,-8.38136447671173
"zcta12",-23.0313071805911,70.4111924544914,63.7665684257947,38.3821868197425,61.3338249214339,37.8973552225771
"zcta13",-60.4948994059781,49.7862731357174,60.4966318713478,23.6694528919777,26.2888919398075,22.2200577168366
"zcta14",-45.8820901385424,29.5977973652389,33.0427652322637,11.2286521176335,22.9849193554546,30.5253294818583
"zcta15",-162.804265317998,1.70529948477657,6.04805196174733,0.687525786550969,-8.75185911267043,38.3042701192938
"zcta16",-40.1097352524263,145.542165642147,68.8291387714202,53.1792369047176,58.0261728752057,100.309326748466
"zcta17",-12.9295557134434,15.3197445097635,13.0063797014384,2.61134263616634,12.0049527255436,19.0314809683212
"zcta18",-119.202060251995,17.3575903363461,14.1018687488848,2.98510463763624,17.5827370825475,39.1749958481091
"zcta19",-49.7438418449676,12.9014925029302,11.5003192107482,-7.31908379797394,-3.8150829593093,9.39654056367169
"zcta20",-15.9584440316325,5.08200090474639,15.0062476589073,-5.11882582611417,7.43361647116141,-1.0221426873744
"zcta21",-209.462207595654,16.5247025327702,1.96147565085193,55.1957329325187,10.3403573226914,26.8929724344407
"zcta22",-1.08585560371577,10.273244979949,5.02353356720306,8.17759707460181,9.90026342941794,9.90743001066292
"zcta23",-339.862006963954,-152.089791632747,-157.432727567054,-50.3179620927244,-221.046373869922,-87.9549093382718
"zcta24",-8.0771548018883,46.0392547083297,25.9280816146916,50.0445869089753,39.0244060414936,49.095853343638
"zcta25",-177.646488928115,-9.26305839446444,-1.84232470388757,2.29113785674689,6.24499010246854,-0.623225277004074
"zcta26",-98.291034218684,31.0394291917929,29.5600842031459,10.3188236467304,25.7121508989986,45.6177546666995
"zcta27",-166.477568299918,-9.23883869280245,-26.8176597777514,-21.4486519580776,-7.07261024051558,-16.8155996700858
"zcta28",-215.553088673094,-32.1800184102309,-17.205063230911,-30.1498789142433,-17.1818631530933,-23.4369916796183
"zcta29",-201.519316673761,2.20584764314363,-12.5025325449028,-25.0765920069292,-4.99693642680804,-21.326348278579
"zcta30",-269.757574616216,-23.1980898370832,-7.58320068934306,-63.0977675040573,-4.66243804831775,-13.6624522425274
"zcta31",-245.268375325697,37.638241294289,26.3288470285046,56.7314413724311,69.2765523563869,35.9328653710343
