"","2020","2027","2036","S1","S2","S3"
"zcta1",0.0774742422784532,0.00842337194080993,0.0289640069288425,-0.289994569426012,-0.657315392539003,0.0836760230558921
"zcta2",-0.868120372491569,-0.911819799964559,-0.542316773631339,0.325591447421913,-1.44081379772878,-0.818462145149957
"zcta3",0.190903729757571,-0.307295107764295,-0.16131941027379,0.195898021489435,-1.52011435817443,-0.430437310986014
"zcta4",2.19336462814421,-0.322468091860986,1.79309623452098,-0.116656850104259,-0.303759549384643,1.40819654169568
"zcta5",-0.310723149323225,-1.25380193686908,-1.72708858770361,-1.30406582675182,-1.68799427251596,-1.80336137772993
"zcta6",0.00108371199389304,-0.0546640829360191,-0.0646551504642535,0.000956182712499068,0.00181199980234245,-0.00304627928645006
"zcta7",-0.00496618755362786,-0.0000844820290689165,-0.00211569011406998,-0.00946141388188687,-0.00175723179359019,-0.00539101470311056
"zcta8",0.172835055928803,0.334716903256501,6.48295389100378,6.88743490723387,0.774616330131048,6.90669003635218
"zcta9",-0.0461430735913732,-0.135096694705256,-0.406776097045463,-0.203051161053736,1.73372405479396,1.75292627455434
"zcta10",-0.0106248554590688,-0.0257084240962932,-0.142314773964934,-0.0124101310705554,-0.0744691045940229,-0.110601964236507
"zcta11",-0.00870469108439351,-0.0125053241647358,-0.00817720036892044,-0.0107987790490074,-0.00867089804456578,-0.0303023987236657
"zcta12",0.030519154496515,0.0604813851017495,0.0606389457827047,0.0596839267165117,0.0591932425265641,0.0549871983807191
"zcta13",-0.546252876312721,-1.88606455890433,-1.03812350707922,0.344428216434849,0.235245536637232,0.431466657579091
"zcta14",0.0243094297912616,-0.194111953211043,-0.374382858124364,-0.0310668004811785,-0.151604221159575,-0.143336089015185
"zcta15",0.0103244226217084,0.123749380441568,0.0203341606069275,0.00986076569159406,-0.00513996070515028,-0.0764286294380078
"zcta16",-0.662831364067478,-0.744327913721098,-0.15633453043612,-4.38109185127337,-0.210551707372199,-1.02776044448535
"zcta17",2.79193003553066,3.06725176908631,2.72526603306496,2.76587117910544,2.81521064380394,3.05938168341148
"zcta18",0.157472792024425,0.111096194535091,-0.395385688801405,0.152747929825398,0.17551736867747,-0.0785345931413318
"zcta19",-0.4414152777463,0.00105247262789035,-0.00969636271598495,-0.350997651151897,-0.259248650532418,-0.312210037871118
"zcta20",0.756759588476347,0.799963792095686,0.739933436192819,0.529776465715533,0.721168298182832,0.48610033504585
"zcta21",-0.140898451916505,-0.317976358539387,-0.28088586216537,-0.356425129428971,-0.294895982883716,-0.327909590334113
"zcta22",0.175349828214022,-0.147621813595589,2.70449449688856,2.86573111431306,0.640900297884944,2.32556358314282
"zcta23",-0.006468370485477,-0.10121614010293,-0.00875463395904925,0.00605247237068482,0.00141700021933934,0.00959371788296025
"zcta24",-3.24316364983705,-0.953747238845115,-0.679254065464139,-3.09278954305624,-0.138804211573785,-0.432608328846431
"zcta25",-0.00967726841164215,-0.0657128618553471,-0.0466237655205898,-0.0101362237039791,-0.0356618140099353,-0.0184646440280177
"zcta26",-1.47101145247573,-0.315881673401534,-0.341193928419787,-0.0596450645042541,-0.319155590681991,-1.02084226310512
"zcta27",-0.00972314888797688,-0.0166960759807425,-0.0230619079541443,-0.00551798786221613,-0.00737942880167277,-0.00721405009381579
"zcta28",0.164174894753948,0.0906058437647017,0.128711099404932,0.146909929332375,0.153682748055176,0.0839947761287224
"zcta29",0.000220023979132439,-0.0104188102219382,-0.0478955626836253,-0.0146594140082824,-0.000832759409127832,-0.0456042230736776
"zcta30",-0.0187062116492251,-0.00544413686587848,0.0033469257376109,-0.00480509865063272,-0.0397314904880825,-0.00512370595777236
"zcta31",0.0247471282918984,-0.0178475607429761,0.0173107857575753,0.0307227362249545,-0.0187741123945206,-0.0347376587739263
"zcta32",-0.00742591790659597,0.00314769135921343,0.00877842176024022,-0.00370726224335753,-0.00553350964521397,0.000255657000321235
"zcta33",0.000999946898493339,-0.000361271414231535,-0.00314951669360588,-0.0217665760711643,0.0019879367770728,-0.110136025010881
"zcta34",-0.114470829778925,-0.0396295614291907,0,-0.172418701555613,-0.216601969068434,-0.4977189720868
"zcta35",0.0409729358348151,-0.0800630637974264,-0.00357540828918458,-0.125447163603628,-0.0152432512708672,-0.00358621646542176
"zcta36",0.0175380255631214,0.0698404633265588,0.0623018206702196,-0.125528238845208,-0.079152284759877,0.0066761873725234
"zcta37",0.164749288688532,0.465418804347251,0.000925634218326851,0.703039000435506,0.00236588508340584,0.505974198509356
"zcta38",-0.162297928193267,-0.0986408391054414,-0.65838302759586,-0.1082722712909,-0.0316667056115322,-0.138772223634761
"zcta39",0.00830126580872981,0.00789409055525546,0.0094811019995786,-0.00229787661087793,0.00914210478428826,-0.191561138067729
"zcta40",0.0209499746524334,-0.0224404320458363,-0.0368589597178749,0.0195991302469024,-0.0241829643919648,0.00148890210310535
"zcta41",-0.000804286490037145,-0.160876810204046,-0.00142432397676058,0.00299886577498973,-0.161970190265945,-0.512276342146158
"zcta42",-0.0068607095014407,-0.0741613464772112,-0.0422627851905555,-0.044756870775079,-0.0351005601983717,-0.0273855901321789
"zcta43",-0.0405261706674604,-0.0230569474182239,-0.0467622823936413,-0.12800221052723,-0.0367059015163476,-0.0259558121310061
"zcta44",-0.000280657108362411,0.0346757431235678,0.0121693427241444,0.0138589815334374,-0.0139961013655185,-0.00190105753714464
"zcta45",-0.0543011620670319,0.114224319405432,0.0954076978216964,0.257115600160156,-0.18163183872274,-0.0227962911286244
"zcta46",0.583899864262084,0.531728685727548,0.530599273031393,0.794074088649605,0.195371420186536,0.296811896361701
"zcta47",-0.129867275565989,-0.273493465852545,-0.288486613595568,-0.0317916989595108,-1.85649559197111,-0.436552852979328
"zcta48",-0.126803543759851,-0.335246179517637,-0.330507982656684,-0.0207812997049923,-0.144395643894473,-0.0352066943842009
"zcta49",-0.00578956686235213,-0.0060963098131454,-0.0041132977482847,-0.00312102581712689,-0.0405326166803194,-0.00947381160028156
