,bike,walk,motorcycle,car,truck,bus,one.party,,
bus,0,0,0,0.000520731,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.000466466,0.00021203,0,0,highway fatal,
motorcycle,0,0,0,0.001432009,0.000260365,0,0.004165845,highway fatal,
car,0,0.001738645,0.000520731,0.016793563,0.004816758,0,0.032285299,highway fatal,
truck,8.77775E-05,0.00042406,0.001562192,0.007550594,0.003384749,0,0.00833169,highway fatal,
bus,0,0,0,0.000260365,0,0,0.000260365,highway fatal,
bike,0.000221944,2.85928E-05,0,0.004388873,0.00171166,8.77775E-05,0.001361259,local serious,
walk,0,0.000151948,4.2406E-05,0.007209017,0.001696239,0,0,local serious,
motorcycle,0.000438887,0.000593684,0.006248768,0.046735574,0.008201507,0.000260365,0.09503334,local serious,
car,0.010664962,0.01730164,0.03280603,0.135259781,0.035409683,0.000260365,0.211156271,local serious,
truck,0.004388873,0.003307666,0.013669179,0.046605391,0.014580458,0,0.055197447,local serious,
bus,0.000175555,0,0.000260365,0.000390548,0.002733836,0,0,local serious,
bike,0,0,0,0.00035111,0.000263332,0,0.000325518,arterial serious,
walk,0,1.38134E-05,0,0.000975338,0.000296842,0,0,arterial serious,
motorcycle,0,0,0.002082923,0.00637895,0.001822557,0,0.02890055,arterial serious,
car,0.000526665,0.001484209,0.009503334,0.051161784,0.016923746,0,0.073423019,arterial serious,
truck,0.00035111,0.000254436,0.004816758,0.022000869,0.009763699,0.000260365,0.021089591,arterial serious,
bus,0,0,0,0,0.000260365,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.000890526,0.000127218,0,0,highway serious,
motorcycle,0.000175555,8.4812E-05,0.000130183,0.007029864,0.001822557,0,0.021870687,highway serious,
car,0.000438887,0.000720902,0.011456074,0.054806899,0.009763699,0,0.090867495,highway serious,
truck,8.77775E-05,0.00021203,0.00247347,0.024083792,0.005077124,0,0.02056886,highway serious,
bus,0,0,0,0.000260365,0,0,0.000520731,highway serious,
 ,,,,,,,,,
bike,0,0,0,2.53525E-05,3.23648E-06,0,5.75311E-07,local fatal,zcta33
walk,0,6.35676E-06,2.26803E-06,7.48449E-05,5.67007E-05,0,0,local fatal,
motorcycle,1.07883E-06,0,2.02302E-05,0.000161842,6.87828E-05,8.0921E-06,0.000517894,local fatal,
car,2.37342E-05,0.000442266,0.000234671,0.000772795,0.000234671,0,0.002087761,local fatal,
truck,1.18671E-05,0.000102061,0.000117335,0.000441019,9.30591E-05,0,0.000509802,local fatal,
bus,1.07883E-06,0,0,8.0921E-06,3.23684E-05,0,8.0921E-06,local fatal,
bike,0,0,0,2.15766E-06,0,0,0,arterial fatal,
walk,0,1.27135E-06,0,1.13401E-05,4.53606E-06,0,0,arterial fatal,
motorcycle,0,0,8.0921E-06,7.28289E-05,4.45065E-05,0,0.000242763,arterial fatal,
car,4.31531E-06,9.75252E-05,7.28289E-05,0.000586677,0.000214441,0,0.000825394,arterial fatal,
truck,1.07883E-06,3.40204E-05,9.30591E-05,0.000380329,0.000113289,0,0.00019421,arterial fatal,
bus,0,0,0,1.61842E-05,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,2.49483E-05,1.13401E-05,0,0,highway fatal,
motorcycle,0,0,0,4.45065E-05,8.0921E-06,0,0.000129474,highway fatal,
car,0,9.29892E-05,1.61842E-05,0.00052194,0.000149704,0,0.00100342,highway fatal,
truck,1.07883E-06,2.26803E-05,4.85526E-05,0.000234671,0.000105197,0,0.000258947,highway fatal,
bus,0,0,0,8.0921E-06,0,0,8.0921E-06,highway fatal,
bike,1.07871E-06,6.04741E-07,0,5.39414E-05,2.10371E-05,1.07883E-06,6.61608E-06,local serious,
walk,0,1.39849E-05,2.26803E-06,0.000385565,9.07211E-05,0,0,local serious,
motorcycle,5.39414E-06,3.17524E-05,0.00019421,0.001452532,0.000254901,8.0921E-06,0.002953616,local serious,
car,0.000131078,0.000925356,0.001019604,0.004203845,0.001100525,8.0921E-06,0.006562692,local serious,
truck,5.39414E-05,0.000176906,0.000424835,0.001448486,0.000453158,0,0.001715525,local serious,
bus,2.15766E-06,0,8.0921E-06,1.21381E-05,8.4967E-05,0,0,local serious,
bike,0,0,0,4.31531E-06,3.23648E-06,0,1.58211E-06,arterial serious,
walk,0,1.27135E-06,0,5.21647E-05,1.58762E-05,0,0,arterial serious,
motorcycle,0,0,6.47368E-05,0.000198256,5.66447E-05,0,0.000898223,arterial serious,
car,6.47297E-06,7.9381E-05,0.000295362,0.001590097,0.000525986,0,0.002281972,arterial serious,
truck,4.31531E-06,1.36082E-05,0.000149704,0.000683782,0.000303454,8.0921E-06,0.00065546,arterial serious,
bus,0,0,0,0,8.0921E-06,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,4.76286E-05,6.80409E-06,0,0,highway serious,
motorcycle,2.15766E-06,4.53606E-06,4.04605E-06,0.000218487,5.66447E-05,0,0.000679736,highway serious,
car,5.39414E-06,3.85565E-05,0.000356052,0.001703387,0.000303454,0,0.002824142,highway serious,
truck,1.07883E-06,1.13401E-05,7.68749E-05,0.000748519,0.000157796,0,0.000639276,highway serious,
bus,0,0,0,8.0921E-06,0,0,1.61842E-05,highway serious,
 ,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,zcta34
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,9.27586E-06,7.42069E-05,3.15379E-05,3.71035E-06,0.000237462,local fatal,
car,0,0,0.0001076,0.000354338,0.0001076,0,0.000957269,local fatal,
truck,0,0,5.38E-05,0.000202214,4.2669E-05,0,0.000233752,local fatal,
bus,0,0,0,3.71035E-06,1.48414E-05,0,3.71035E-06,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,3.71035E-06,3.33931E-05,2.04069E-05,0,0.00011131,arterial fatal,
car,0,0,3.33931E-05,0.000269,9.83242E-05,0,0.000378455,arterial fatal,
truck,0,0,4.2669E-05,0.000174386,5.19448E-05,0,8.90483E-05,arterial fatal,
bus,0,0,0,7.42069E-06,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,2.04069E-05,3.71035E-06,0,5.93655E-05,highway fatal,
car,0,0,7.42069E-06,0.000239317,6.86414E-05,0,0.000460083,highway fatal,
truck,0,0,2.22621E-05,0.0001076,4.82345E-05,0,0.000118731,highway fatal,
bus,0,0,0,3.71035E-06,0,0,3.71035E-06,highway fatal,
bike,0,0,0,0,0,0,0,local serious,
walk,0,0,0,0,0,0,0,local serious,
motorcycle,0,0,8.90483E-05,0.000666007,0.000116876,3.71035E-06,0.001354276,local serious,
car,0,0,0.000467504,0.001927525,0.000504607,3.71035E-06,0.003009091,local serious,
truck,0,0,0.000194793,0.000664152,0.000207779,0,0.000786593,local serious,
bus,0,0,3.71035E-06,5.56552E-06,3.89586E-05,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,2.96828E-05,9.09035E-05,2.59724E-05,0,0.000411848,arterial serious,
car,0,0,0.000135428,0.000729083,0.000241172,0,0.001046318,arterial serious,
truck,0,0,6.86414E-05,0.000313524,0.000139138,3.71035E-06,0.000300538,arterial serious,
bus,0,0,0,0,3.71035E-06,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,1.85517E-06,0.000100179,2.59724E-05,0,0.000311669,highway serious,
car,0,0,0.000163255,0.000781028,0.000139138,0,0.001294911,highway serious,
truck,0,0,3.52483E-05,0.000343207,7.23517E-05,0,0.000293117,highway serious,
bus,0,0,0,3.71035E-06,0,0,7.42069E-06,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.000788644,0.000100678,0,3.93203E-05,local fatal,zcta35
walk,0,5.21572E-05,2.44451E-05,0.000806687,0.000611127,0,0,local fatal,
motorcycle,3.35593E-05,0,0.000286424,0.002291389,0.00097384,0.000114569,0.007332444,local fatal,
car,0.000738305,0.004766789,0.003322514,0.010941381,0.003322514,0,0.029558915,local fatal,
truck,0.000369152,0.001100028,0.001661257,0.006244034,0.001317549,0,0.007217874,local fatal,
bus,3.35593E-05,0,0,0.000114569,0.000458278,0,0.000114569,local fatal,
bike,0,0,0,6.71186E-05,0,0,0,arterial fatal,
walk,0,1.04314E-05,0,0.000122225,4.88901E-05,0,0,arterial fatal,
motorcycle,0,0,0.000114569,0.001031125,0.000630132,0,0.003437083,arterial fatal,
car,0.000134237,0.001051138,0.001031125,0.008306284,0.00303609,0,0.011686083,arterial fatal,
truck,3.35593E-05,0.000366676,0.001317549,0.005384764,0.001603972,0,0.002749666,arterial fatal,
bus,0,0,0,0.000229139,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.000268896,0.000122225,0,0,highway fatal,
motorcycle,0,0,0,0.000630132,0.000114569,0,0.001833111,highway fatal,
car,0,0.001002248,0.000229139,0.007389729,0.002119535,0,0.01420661,highway fatal,
truck,3.35593E-05,0.000244451,0.000687417,0.003322514,0.001489403,0,0.003666222,highway fatal,
bus,0,0,0,0.000114569,0,0,0.000114569,highway fatal,
bike,7.37256E-05,1.43207E-05,0,0.001677965,0.000654406,3.35593E-05,0.000452184,local serious,
walk,0,0.000114746,2.44451E-05,0.004155662,0.000977803,0,0,local serious,
motorcycle,0.000167797,0.000342231,0.002749666,0.020565214,0.003608937,0.000114569,0.041817844,local serious,
car,0.004077456,0.00997359,0.014435749,0.059518822,0.015581443,0.000114569,0.092915813,local serious,
truck,0.001677965,0.001906716,0.006014895,0.020507929,0.006415888,0,0.024288721,local serious,
bus,6.71186E-05,0,0.000114569,0.000171854,0.001202979,0,0,local serious,
bike,0,0,0,0.000134237,0.000100678,0,0.000108131,arterial serious,
walk,0,1.04314E-05,0,0.000562237,0.000171116,0,0,arterial serious,
motorcycle,0,0,0.000916555,0.002806951,0.000801986,0,0.012717207,arterial serious,
car,0.000201356,0.000855578,0.004181784,0.022512894,0.007447013,0,0.032308581,arterial serious,
truck,0.000134237,0.00014667,0.002119535,0.009681117,0.004296354,0.000114569,0.009280124,arterial serious,
bus,0,0,0,0,0.000114569,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.000513347,7.33352E-05,0,0,highway serious,
motorcycle,6.71186E-05,4.88901E-05,5.72847E-05,0.003093375,0.000801986,0,0.009623833,highway serious,
car,0.000167797,0.000415566,0.005041055,0.024116866,0.004296354,0,0.039984733,highway serious,
truck,3.35593E-05,0.000122225,0.00108841,0.010597673,0.002234104,0,0.009050985,highway serious,
bus,0,0,0,0.000114569,0,0,0.000229139,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.001113852,0.000142194,0,5.78299E-05,local fatal,zcta36
walk,0,7.01558E-05,3.30176E-05,0.001089581,0.00082544,0,0,local fatal,
motorcycle,4.7398E-05,0,0.000388479,0.003107829,0.001320827,0.000155391,0.009945054,local fatal,
car,0.001042755,0.006438431,0.004506353,0.014839885,0.004506353,0,0.040090998,local fatal,
truck,0.000521378,0.001485792,0.002253176,0.008468835,0.001787002,0,0.009789662,local fatal,
bus,4.7398E-05,0,0,0.000155391,0.000621566,0,0.000155391,local fatal,
bike,0,0,0,9.47959E-05,0,0,0,arterial fatal,
walk,0,1.40312E-05,0,0.000165088,6.60352E-05,0,0,arterial fatal,
motorcycle,0,0,0.000155391,0.001398523,0.000854653,0,0.004661744,arterial fatal,
car,0.000189592,0.001419757,0.001398523,0.011265881,0.004117874,0,0.015849929,arterial fatal,
truck,4.7398E-05,0.000495264,0.001787002,0.007303399,0.002175481,0,0.003729395,arterial fatal,
bus,0,0,0,0.000310783,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.000363194,0.000165088,0,0,highway fatal,
motorcycle,0,0,0,0.000854653,0.000155391,0,0.002486263,highway fatal,
car,0,0.001353721,0.000310783,0.01002275,0.002874742,0,0.019268542,highway fatal,
truck,4.7398E-05,0.000330176,0.000932349,0.004506353,0.002020089,0,0.004972527,highway fatal,
bus,0,0,0,0.000155391,0,0,0.000155391,highway fatal,
bike,0.000108431,2.01422E-05,0,0.002369898,0.00092426,4.7398E-05,0.000665043,local serious,
walk,0,0.000154343,3.30176E-05,0.005612991,0.001320704,0,0,local serious,
motorcycle,0.00023699,0.000462246,0.003729395,0.027892768,0.004894831,0.000155391,0.056717885,local serious,
car,0.005758853,0.013471179,0.019579325,0.080725866,0.021133239,0.000155391,0.126022478,local serious,
truck,0.002369898,0.002575373,0.008158052,0.027815072,0.008701922,0,0.032942991,local serious,
bus,9.47959E-05,0,0.000155391,0.000233087,0.00163161,0,0,local serious,
bike,0,0,0,0.000189592,0.000142194,0,0.000159032,arterial serious,
walk,0,1.40312E-05,0,0.000759405,0.000231123,0,0,arterial serious,
motorcycle,0,0,0.001243132,0.003807091,0.00108774,0,0.017248453,arterial serious,
car,0.000284388,0.001155616,0.005671788,0.030534423,0.010100445,0,0.043820393,arterial serious,
truck,0.000189592,0.000198106,0.002874742,0.013130579,0.00582718,0.000155391,0.012586709,arterial serious,
bus,0,0,0,0,0.000155391,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.00069337,9.90528E-05,0,0,highway serious,
motorcycle,9.47959E-05,6.60352E-05,7.76957E-05,0.00419557,0.00108774,0,0.013052883,highway serious,
car,0.00023699,0.000561299,0.006837224,0.032709903,0.00582718,0,0.054231621,highway serious,
truck,4.7398E-05,0.000165088,0.001476219,0.014373711,0.003030134,0,0.012275926,highway serious,
bus,0,0,0,0.000155391,0,0,0.000310783,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.032771749,0.004183627,0,0.002597565,local fatal,zcta37
walk,0,0.003507719,0.001024922,0.033822436,0.025623057,0,0,local fatal,
motorcycle,0.001394542,0,0.007486816,0.059894526,0.025455173,0.002994726,0.191662483,local fatal,
car,0.030679935,0.199859846,0.086847063,0.285996361,0.086847063,0,0.772639385,local fatal,
truck,0.015339967,0.046121503,0.043423531,0.163212583,0.034439353,0,0.188667757,local fatal,
bus,0.001394542,0,0,0.002994726,0.011978905,0,0.002994726,local fatal,
bike,0,0,0,0.002789085,0,0,0,arterial fatal,
walk,0,0.000701544,0,0.005124612,0.002049845,0,0,arterial fatal,
motorcycle,0,0,0.002994726,0.026952537,0.016470995,0,0.089841789,arterial fatal,
car,0.00557817,0.044071658,0.026952537,0.217117657,0.079360247,0,0.305462082,arterial fatal,
truck,0.001394542,0.015373834,0.034439353,0.140752136,0.041926168,0,0.071873431,arterial fatal,
bus,0,0,0,0.005989453,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.011274145,0.005124612,0,0,highway fatal,
motorcycle,0,0,0,0.016470995,0.002994726,0,0.047915621,highway fatal,
car,0,0.042021814,0.005989453,0.193159846,0.055402436,0,0.371346061,highway fatal,
truck,0.001394542,0.010249223,0.017968358,0.086847063,0.038931442,0,0.095831242,highway fatal,
bus,0,0,0,0.002994726,0,0,0.002994726,highway fatal,
bike,0.004870434,0.000954543,0,0.069727125,0.027193579,0.001394542,0.029871993,local serious,
walk,0,0.007716981,0.001024922,0.174236789,0.040996892,0,0,local serious,
motorcycle,0.006972712,0.014348912,0.071873431,0.537553371,0.094333878,0.002994726,1.093075099,local serious,
car,0.169436913,0.418168294,0.377335513,1.555760312,0.407282776,0.002994726,2.428723028,local serious,
truck,0.069727125,0.079943939,0.157223131,0.536056007,0.167704673,0,0.634881975,local serious,
bus,0.002789085,0,0.002994726,0.00449209,0.031444626,0,0,local serious,
bike,0,0,0,0.00557817,0.004183627,0,0.007143303,arterial serious,
walk,0,0.000701544,0,0.023573213,0.007174456,0,0,arterial serious,
motorcycle,0,0,0.02395781,0.073370794,0.020963084,0,0.332414619,arterial serious,
car,0.008367255,0.03587228,0.10930751,0.588463717,0.194657209,0,0.844512816,arterial serious,
truck,0.00557817,0.006149534,0.055402436,0.253054372,0.112302236,0.002994726,0.24257283,arterial serious,
bus,0,0,0,0,0.002994726,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.021523368,0.003074767,0,0,highway serious,
motorcycle,0.002789085,0.002049845,0.001497363,0.08085761,0.020963084,0,0.251557009,highway serious,
car,0.006972712,0.017423679,0.131767957,0.630389886,0.112302236,0,1.045159478,highway serious,
truck,0.001394542,0.005124612,0.0284499,0.277012183,0.058397163,0,0.236583377,highway serious,
bus,0,0,0,0.002994726,0,0,0.005989453,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.007457582,0.000952032,0,0.000544189,local fatal,zcta38
walk,0,0.000526102,0.000197342,0.006512297,0.004933558,0,0,local fatal,
motorcycle,0.000317344,0,0.00185059,0.014804723,0.006292007,0.000740236,0.047375112,local fatal,
car,0.006981566,0.038481752,0.021466848,0.07069255,0.021466848,0,0.190980922,local fatal,
truck,0.003490783,0.008880404,0.010733424,0.040342869,0.008512716,0,0.046634876,local fatal,
bus,0.000317344,0,0,0.000740236,0.002960944,0,0.000740236,local fatal,
bike,0,0,0,0.000634688,0,0,0,arterial fatal,
walk,0,0.00010522,0,0.000986712,0.000394685,0,0,arterial fatal,
motorcycle,0,0,0.000740236,0.006662125,0.004071299,0,0.022207084,arterial fatal,
car,0.001269376,0.00848572,0.006662125,0.053667119,0.019616257,0,0.075504085,arterial fatal,
truck,0.000317344,0.002960135,0.008512716,0.034791098,0.010363306,0,0.017765667,arterial fatal,
bus,0,0,0,0.001480472,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.002170766,0.000986712,0,0,highway fatal,
motorcycle,0,0,0,0.004071299,0.000740236,0,0.011843778,highway fatal,
car,0,0.008091035,0.001480472,0.04774523,0.013694368,0,0.09178928,highway fatal,
truck,0.000317344,0.001973423,0.004441417,0.021466848,0.00962307,0,0.023687556,highway fatal,
bus,0,0,0,0.000740236,0,0,0.000740236,highway fatal,
bike,0.001020355,0.000169204,0,0.015867195,0.006188206,0.000317344,0.006258178,local serious,
walk,0,0.001157425,0.000197342,0.033548194,0.007893693,0,0,local serious,
motorcycle,0.00158672,0.002762792,0.017765667,0.132872385,0.023317438,0.000740236,0.270186188,local serious,
car,0.038557285,0.080515666,0.093269752,0.38455267,0.100672114,0.000740236,0.600331502,local serious,
truck,0.015867195,0.015392701,0.038862397,0.132502267,0.041453223,0,0.15693006,local serious,
bus,0.000634688,0,0.000740236,0.001110354,0.007772479,0,0,local serious,
bike,0,0,0,0.001269376,0.000952032,0,0.001496521,arterial serious,
walk,0,0.00010522,0,0.004538873,0.001381396,0,0,arterial serious,
motorcycle,0,0,0.005921889,0.018135785,0.005181653,0,0.08216621,arterial serious,
car,0.001904063,0.006906981,0.027018619,0.1454564,0.048115348,0,0.208746589,arterial serious,
truck,0.001269376,0.001184054,0.013694368,0.062549953,0.027758855,0.000740236,0.059959127,arterial serious,
bus,0,0,0,0,0.000740236,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.004144189,0.000592027,0,0,highway serious,
motorcycle,0.000634688,0.000394685,0.000370118,0.019986375,0.005181653,0,0.062179835,highway serious,
car,0.00158672,0.003354819,0.03257039,0.155819705,0.027758855,0,0.258342409,highway serious,
truck,0.000317344,0.000986712,0.007032243,0.068471842,0.014434605,0,0.058478654,highway serious,
bus,0,0,0,0.000740236,0,0,0.001480472,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.000521896,6.6625E-05,0,2.44507E-05,local fatal,zcta39
walk,0,1.4068E-05,1.06541E-05,0.000351585,0.000266352,0,0,local fatal,
motorcycle,2.22083E-05,0,0.000201716,0.001613726,0.000685834,8.06863E-05,0.005163923,local fatal,
car,0.000488583,0.002077548,0.002339903,0.007705542,0.002339903,0,0.020817065,local fatal,
truck,0.000244292,0.000479434,0.001169951,0.004397403,0.000927892,0,0.005083237,local fatal,
bus,2.22083E-05,0,0,8.06863E-05,0.000322745,0,8.06863E-05,local fatal,
bike,0,0,0,4.44167E-05,0,0,0,arterial fatal,
walk,0,2.81361E-06,0,5.32705E-05,2.13082E-05,0,0,arterial fatal,
motorcycle,0,0,8.06863E-05,0.000726177,0.000443775,0,0.002420589,arterial fatal,
car,8.88333E-05,0.000458126,0.000726177,0.005849757,0.002138187,0,0.008230002,arterial fatal,
truck,2.22083E-05,0.000159811,0.000927892,0.003792256,0.001129608,0,0.001936471,arterial fatal,
bus,0,0,0,0.000161373,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.000117195,5.32705E-05,0,0,highway fatal,
motorcycle,0,0,0,0.000443775,8.06863E-05,0,0.001290981,highway fatal,
car,0,0.000436818,0.000161373,0.005204266,0.001492697,0,0.010005101,highway fatal,
truck,2.22083E-05,0.000106541,0.000484118,0.002339903,0.001048922,0,0.002581962,highway fatal,
bus,0,0,0,8.06863E-05,0,0,8.06863E-05,highway fatal,
bike,4.58451E-05,5.86493E-06,0,0.001110416,0.000433062,2.22083E-05,0.000281183,local serious,
walk,0,3.09497E-05,1.06541E-05,0.001811196,0.000426164,0,0,local serious,
motorcycle,0.000111042,0.000149157,0.001936471,0.014483191,0.002541618,8.06863E-05,0.029450499,local serious,
car,0.002698312,0.00434687,0.010166474,0.041916532,0.010973337,8.06863E-05,0.065436588,local serious,
truck,0.001110416,0.000831019,0.004236031,0.014442847,0.004518433,0,0.017105495,local serious,
bus,4.44167E-05,0,8.06863E-05,0.000121029,0.000847206,0,0,local serious,
bike,0,0,0,8.88333E-05,6.6625E-05,0,6.72395E-05,arterial serious,
walk,0,2.81361E-06,0,0.000245044,7.45787E-05,0,0,arterial serious,
motorcycle,0,0,0.00064549,0.001976814,0.000564804,0,0.008956179,arterial serious,
car,0.00013325,0.000372893,0.00294505,0.015854858,0.005244609,0,0.022753536,arterial serious,
truck,8.88333E-05,6.39246E-05,0.001492697,0.006817992,0.003025736,8.06863E-05,0.00653559,arterial serious,
bus,0,0,0,0,8.06863E-05,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.000223736,3.19623E-05,0,0,highway serious,
motorcycle,4.44167E-05,2.13082E-05,4.03432E-05,0.00217853,0.000564804,0,0.006777649,highway serious,
car,0.000111042,0.00018112,0.003550197,0.016984466,0.003025736,0,0.028159518,highway serious,
truck,2.22083E-05,5.32705E-05,0.00076652,0.007463483,0.001573383,0,0.006374218,highway serious,
bus,0,0,0,8.06863E-05,0,0,0.000161373,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.000494443,6.31204E-05,0,7.10952E-05,local fatal,zcta40
walk,0,0.000106963,1.63221E-05,0.000538629,0.000408052,0,0,local fatal,
motorcycle,2.10401E-05,0,6.22668E-05,0.000498134,0.000211707,2.49067E-05,0.00159403,local fatal,
car,0.000462883,0.003182807,0.000722295,0.002378591,0.000722295,0,0.006425932,local fatal,
truck,0.000231441,0.000734494,0.000361147,0.001357416,0.000286427,0,0.001569123,local fatal,
bus,2.10401E-05,0,0,2.49067E-05,9.96269E-05,0,2.49067E-05,local fatal,
bike,0,0,0,4.20803E-05,0,0,0,arterial fatal,
walk,0,2.13927E-05,0,8.16104E-05,3.26442E-05,0,0,arterial fatal,
motorcycle,0,0,2.49067E-05,0.00022416,0.000136987,0,0.000747201,arterial fatal,
car,8.41605E-05,0.00070185,0.00022416,0.001805737,0.000660028,0,0.002540485,arterial fatal,
truck,2.10401E-05,0.000244831,0.000286427,0.001170616,0.000348694,0,0.000597761,arterial fatal,
bus,0,0,0,4.98134E-05,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.000179543,8.16104E-05,0,0,highway fatal,
motorcycle,0,0,0,0.000136987,2.49067E-05,0,0.000398507,highway fatal,
car,0,0.000669205,4.98134E-05,0.001606483,0.000460774,0,0.003088433,highway fatal,
truck,2.10401E-05,0.000163221,0.00014944,0.000722295,0.000323787,0,0.000797015,highway fatal,
bus,0,0,0,2.49067E-05,0,0,2.49067E-05,highway fatal,
bike,0.000133304,2.75764E-05,0,0.001052007,0.000410283,2.10401E-05,0.000817595,local serious,
walk,0,0.000235319,1.63221E-05,0.002774755,0.000652883,0,0,local serious,
motorcycle,0.000105201,0.000228509,0.000597761,0.004470755,0.000784562,2.49067E-05,0.009090951,local serious,
car,0.002556376,0.006659411,0.003138246,0.012939038,0.003387313,2.49067E-05,0.020199346,local serious,
truck,0.001052007,0.001273123,0.001307603,0.004458302,0.001394776,0,0.005280224,local serious,
bus,4.20803E-05,0,2.49067E-05,3.73601E-05,0.000261521,0,0,local serious,
bike,0,0,0,8.41605E-05,6.31204E-05,0,0.000195512,arterial serious,
walk,0,2.13927E-05,0,0.000375408,0.000114255,0,0,arterial serious,
motorcycle,0,0,0.000199254,0.000610215,0.000174347,0,0.002764645,arterial serious,
car,0.000126241,0.000571273,0.000909095,0.004894169,0.001618936,0,0.007023694,arterial serious,
truck,8.41605E-05,9.79325E-05,0.000460774,0.002104617,0.000934002,2.49067E-05,0.002017444,arterial serious,
bus,0,0,0,0,2.49067E-05,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.000342764,4.89663E-05,0,0,highway serious,
motorcycle,4.20803E-05,3.26442E-05,1.24534E-05,0.000672481,0.000174347,0,0.002092164,highway serious,
car,0.000105201,0.000277475,0.001095895,0.005242863,0.000934002,0,0.008692443,highway serious,
truck,2.10401E-05,8.16104E-05,0.000236614,0.002303871,0.000485681,0,0.00196763,highway serious,
bus,0,0,0,2.49067E-05,0,0,4.98134E-05,highway serious,
 ,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,zcta41
walk,0,1.44024E-06,7.6979E-07,2.54031E-05,1.92447E-05,0,0,local fatal,
motorcycle,0,0,1.02861E-05,8.22887E-05,3.49727E-05,4.11443E-06,0.000263324,local fatal,
car,0,0.000150109,0.000119319,0.000392928,0.000119319,0,0.001061524,local fatal,
truck,0,3.46405E-05,5.96593E-05,0.000224237,4.7316E-05,0,0.000259209,local fatal,
bus,0,0,0,4.11443E-06,1.64577E-05,0,4.11443E-06,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,2.88047E-07,0,3.84895E-06,1.53958E-06,0,0,arterial fatal,
motorcycle,0,0,4.11443E-06,3.70299E-05,2.26294E-05,0,0.000123433,arterial fatal,
car,0,3.31009E-05,3.70299E-05,0.000298296,0.000109032,0,0.000419672,arterial fatal,
truck,0,1.15468E-05,4.7316E-05,0.000193378,5.76021E-05,0,9.87464E-05,arterial fatal,
bus,0,0,0,8.22887E-06,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,8.46768E-06,3.84895E-06,0,0,highway fatal,
motorcycle,0,0,0,2.26294E-05,4.11443E-06,0,6.58309E-05,highway fatal,
car,0,3.15614E-05,8.22887E-06,0.000265381,7.6117E-05,0,0.00051019,highway fatal,
truck,0,7.69789E-06,2.46866E-05,0.000119319,5.34876E-05,0,0.000131662,highway fatal,
bus,0,0,0,4.11443E-06,0,0,4.11443E-06,highway fatal,
bike,0,0,0,0,0,0,0,local serious,
walk,0,3.16852E-06,7.6979E-07,0.000130864,3.07916E-05,0,0,local serious,
motorcycle,0,1.07771E-05,9.87464E-05,0.000738541,0.000129605,4.11443E-06,0.001501768,local serious,
car,0,0.000314074,0.000518419,0.002137448,0.000559563,4.11443E-06,0.003336805,local serious,
