,bike,walk,motorcycle,car,truck,bus,one.party,,
bus,0,0,0,8.54108E-06,0,0,1.70822E-05,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.006039706,0.000771026,0,0.000503608,local fatal,zcta3
walk,0,0.000738477,0.000196834,0.006495524,0.004920852,0,0,local fatal,
motorcycle,0.000257009,0,0.001311606,0.010492849,0.004459461,0.000524642,0.033577117,local fatal,
car,0.005654193,0.038382643,0.015214631,0.050103354,0.015214631,0,0.135357753,local fatal,
truck,0.002827096,0.008857533,0.007607316,0.028593014,0.006033388,0,0.033052475,local fatal,
bus,0.000257009,0,0,0.000524642,0.00209857,0,0.000524642,local fatal,
bike,0,0,0,0.000514018,0,0,0,arterial fatal,
walk,0,0.000147695,0,0.00098417,0.000393668,0,0,arterial fatal,
motorcycle,0,0,0.000524642,0.004721782,0.002885533,0,0.015739274,arterial fatal,
car,0.001028035,0.008463865,0.004721782,0.038036578,0.013903025,0,0.05351353,arterial fatal,
truck,0.000257009,0.002952511,0.006033388,0.024658195,0.007344994,0,0.012591419,arterial fatal,
bus,0,0,0,0.001049285,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.002165175,0.00098417,0,0,highway fatal,
motorcycle,0,0,0,0.002885533,0.000524642,0,0.008394279,highway fatal,
car,0,0.008070197,0.001049285,0.033839438,0.009705885,0,0.065055664,highway fatal,
truck,0.000257009,0.001968341,0.003147855,0.015214631,0.006820352,0,0.016788558,highway fatal,
bus,0,0,0,0.000524642,0,0,0.000524642,highway fatal,
bike,0.000944265,0.000192848,0,0.012850438,0.005011671,0.000257009,0.005791489,local serious,
walk,0,0.00162465,0.000196834,0.033461791,0.007873363,0,0,local serious,
motorcycle,0.001285044,0.002755677,0.012591419,0.09417332,0.016526237,0.000524642,0.191494495,local serious,
car,0.031226565,0.080308299,0.066104949,0.272551754,0.071351374,0.000524642,0.425485029,local serious,
truck,0.012850438,0.015353057,0.027543729,0.093910999,0.029379977,0,0.1112242,local serious,
bus,0.000514018,0,0.000524642,0.000786964,0.005508746,0,0,local serious,
bike,0,0,0,0.001028035,0.000771026,0,0.001384921,arterial serious,
walk,0,0.000147695,0,0.004527184,0.001377838,0,0,arterial serious,
motorcycle,0,0,0.00419714,0.01285374,0.003672497,0,0.058235312,arterial serious,
car,0.001542053,0.006889192,0.01914945,0.103092242,0.034101759,0,0.147949172,arterial serious,
truck,0.001028035,0.001181004,0.009705885,0.044332287,0.019674092,0.000524642,0.042496039,arterial serious,
bus,0,0,0,0,0.000524642,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.004133515,0.000590502,0,0,highway serious,
motorcycle,0.000514018,0.000393668,0.000262321,0.014165346,0.003672497,0,0.044069966,highway serious,
car,0.001285044,0.003346179,0.023084268,0.110437236,0.019674092,0,0.183100216,highway serious,
truck,0.000257009,0.00098417,0.004984103,0.048529427,0.010230528,0,0.041446754,highway serious,
bus,0,0,0,0.000524642,0,0,0.001049285,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.014606218,0.001864624,0,0.001369817,local fatal,zcta4
walk,0,0.001965328,0.000470854,0.015538179,0.011771348,0,0,local fatal,
motorcycle,0.000621541,0,0.002820184,0.02256147,0.009588625,0.001128073,0.072196703,local fatal,
car,0.013673907,0.091816512,0.032714131,0.107731018,0.032714131,0,0.29104296,local fatal,
truck,0.006836953,0.021188426,0.016357066,0.061480005,0.012972845,0,0.07106863,local fatal,
bus,0.000621541,0,0,0.001128073,0.004512294,0,0.001128073,local fatal,
bike,0,0,0,0.001243082,0,0,0,arterial fatal,
walk,0,0.000393066,0,0.00235427,0.000941708,0,0,arterial fatal,
motorcycle,0,0,0.001128073,0.010152661,0.006204404,0,0.033842205,arterial fatal,
car,0.002486165,0.020246718,0.010152661,0.081785328,0.029893948,0,0.115063496,arterial fatal,
truck,0.000621541,0.007062809,0.012972845,0.053019454,0.015793029,0,0.027073764,arterial fatal,
bus,0,0,0,0.002256147,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.005179393,0.00235427,0,0,highway fatal,
motorcycle,0,0,0,0.006204404,0.001128073,0,0.018049176,highway fatal,
car,0,0.01930501,0.002256147,0.07276074,0.02086936,0,0.139881113,highway fatal,
truck,0.000621541,0.004708539,0.006768441,0.032714131,0.014664955,0,0.036098352,highway fatal,
bus,0,0,0,0.001128073,0,0,0.001128073,highway fatal,
bike,0.002568406,0.000518858,0,0.03107706,0.012120053,0.000621541,0.015752892,local serious,
walk,0,0.004323721,0.000470854,0.080045164,0.018834156,0,0,local serious,
motorcycle,0.003107706,0.006591955,0.027073764,0.202489192,0.035534315,0.001128073,0.411746824,local serious,
car,0.075517256,0.192108394,0.14213726,0.586034178,0.153417995,0.001128073,0.914867601,local serious,
truck,0.03107706,0.036726605,0.059223858,0.201925155,0.063172115,0,0.23915158,local serious,
bus,0.001243082,0,0.001128073,0.00169211,0.011844772,0,0,local serious,
bike,0,0,0,0.002486165,0.001864624,0,0.003766996,arterial serious,
walk,0,0.000393066,0,0.01082964,0.003295977,0,0,arterial serious,
motorcycle,0,0,0.009024588,0.027637801,0.007896514,0,0.125216157,arterial serious,
car,0.003729247,0.016479887,0.041174682,0.221666441,0.073324777,0,0.318116724,arterial serious,
truck,0.002486165,0.002825123,0.02086936,0.09532221,0.042302756,0.001128073,0.091373953,arterial serious,
bus,0,0,0,0,0.001128073,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.009887932,0.001412562,0,0,highway serious,
motorcycle,0.001243082,0.000941708,0.000564037,0.030457984,0.007896514,0,0.094758173,highway serious,
car,0.003107706,0.008004516,0.049635234,0.23745947,0.042302756,0,0.393697648,highway serious,
truck,0.000621541,0.00235427,0.010716698,0.104346798,0.021997433,0,0.089117806,highway serious,
bus,0,0,0,0.001128073,0,0,0.002256147,highway serious,
 ,,,,,,,,,
bike,0,0,0,0.010362602,0.001322885,0,0.002111249,local fatal,zcta5
walk,0,0.001638771,0.000245709,0.008108384,0.006142715,0,0,local fatal,
motorcycle,0.000440962,0,0.000921006,0.007368047,0.00313142,0.000368402,0.023577751,local fatal,
car,0.00970116,0.047913176,0.010683669,0.035182426,0.010683669,0,0.09504781,local fatal,
truck,0.00485058,0.011056887,0.005341834,0.020077929,0.004236627,0,0.023209349,local fatal,
bus,0.000440962,0,0,0.000368402,0.001473609,0,0.000368402,local fatal,
bike,0,0,0,0.000881924,0,0,0,arterial fatal,
walk,0,0.000327754,0,0.001228543,0.000491417,0,0,arterial fatal,
motorcycle,0,0,0.000368402,0.003315621,0.002026213,0,0.011052071,arterial fatal,
car,0.001763847,0.01056547,0.003315621,0.026709172,0.009762663,0,0.037577041,arterial fatal,
truck,0.000440962,0.003685629,0.004236627,0.017314911,0.005157633,0,0.008841657,arterial fatal,
bus,0,0,0,0.000736805,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.002702795,0.001228543,0,0,highway fatal,
motorcycle,0,0,0,0.002026213,0.000368402,0,0.005894438,highway fatal,
car,0,0.010074052,0.000736805,0.023761953,0.006815444,0,0.045681893,highway fatal,
truck,0.000440962,0.002457086,0.002210414,0.010683669,0.004789231,0,0.011788876,highway fatal,
bus,0,0,0,0.000368402,0,0,0.000368402,highway fatal,
bike,0.003958593,0.000588205,0,0.02204809,0.008598755,0.000440962,0.024279368,local serious,
walk,0,0.003605296,0.000245709,0.041770461,0.009828344,0,0,local serious,
motorcycle,0.002204809,0.00343992,0.008841657,0.066128225,0.011604675,0.000368402,0.134466864,local serious,
car,0.05357686,0.100249107,0.046418698,0.191385029,0.050102722,0.000368402,0.298774319,local serious,
truck,0.02204809,0.01916527,0.019341124,0.065944024,0.020630533,0,0.078101302,local serious,
bus,0.000881924,0,0.000368402,0.000552604,0.003868225,0,0,local serious,
bike,0,0,0,0.001763847,0.001322885,0,0.005805936,arterial serious,
walk,0,0.000327754,0,0.005651298,0.00171996,0,0,arterial serious,
motorcycle,0,0,0.002947219,0.009025858,0.002578817,0,0.040892663,arterial serious,
car,0.002645771,0.008599801,0.013446686,0.072391065,0.023946154,0,0.103889467,arterial serious,
truck,0.001763847,0.001474252,0.006815444,0.03113,0.013815089,0.000368402,0.029840592,arterial serious,
bus,0,0,0,0,0.000368402,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.00515988,0.000737126,0,0,highway serious,
motorcycle,0.000881924,0.000491417,0.000184201,0.009946864,0.002578817,0,0.030945799,highway serious,
car,0.002204809,0.004177046,0.016209704,0.077548698,0.013815089,0,0.128572426,highway serious,
truck,0.000440962,0.001228543,0.003499822,0.034077219,0.007183846,0,0.029103787,highway serious,
bus,0,0,0,0.000368402,0,0,0.000736805,highway serious,
 ,,,,,,,,,
bike,0,0,0,6.08129E-05,7.76335E-06,0,1.50466E-06,local fatal,zcta6
walk,0,5.48233E-06,3.12408E-06,0.000103094,7.81019E-05,0,0,local fatal,
motorcycle,2.58778E-06,0,4.45059E-05,0.000356047,0.00015132,1.78024E-05,0.001139352,local fatal,
car,5.69313E-05,0.000609195,0.000516269,0.001700126,0.000516269,0,0.004593011,local fatal,
truck,2.84656E-05,0.000140583,0.000258134,0.000970229,0.000204727,0,0.001121549,local fatal,
bus,2.58778E-06,0,0,1.78024E-05,7.12095E-05,0,1.78024E-05,local fatal,
bike,0,0,0,5.17557E-06,0,0,0,arterial fatal,
walk,0,1.09647E-06,0,1.56204E-05,6.24815E-06,0,0,arterial fatal,
motorcycle,0,0,1.78024E-05,0.000160221,9.7913E-05,0,0.000534071,arterial fatal,
car,1.03511E-05,0.000134335,0.000160221,0.001290672,0.000471763,0,0.001815841,arterial fatal,
truck,2.58778E-06,4.68611E-05,0.000204727,0.000836711,0.000249233,0,0.000427257,arterial fatal,
bus,0,0,0,3.56047E-05,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,3.43648E-05,1.56204E-05,0,0,highway fatal,
motorcycle,0,0,0,9.7913E-05,1.78024E-05,0,0.000284838,highway fatal,
car,0,0.000128087,3.56047E-05,0.001148253,0.000329344,0,0.002207494,highway fatal,
truck,2.58778E-06,3.12408E-05,0.000106814,0.000516269,0.000231431,0,0.000569676,highway fatal,
bus,0,0,0,1.78024E-05,0,0,1.78024E-05,highway fatal,
bike,2.82124E-06,9.08243E-07,0,0.000129389,5.04618E-05,2.58778E-06,1.73036E-05,local serious,
walk,0,1.20611E-05,3.12408E-06,0.000531093,0.000124963,0,0,local serious,
motorcycle,1.29389E-05,4.37371E-05,0.000427257,0.003195525,0.000560775,1.78024E-05,0.006497864,local serious,
car,0.000314416,0.001274623,0.002243098,0.00924833,0.002421122,1.78024E-05,0.01443772,local serious,
truck,0.000129389,0.000243678,0.000934624,0.003186624,0.000996933,0,0.003774102,local serious,
