"","male","female","",""
"ageCat7","0.401527887569881","0.682913823198276","",""
"ageCat8","0.581864788760141","0.652153217747914","",""
"","","","",""
"ageCat1","0.154616739008521","0.103792359212317","relative.cycle.time",""
"ageCat2","2.05960117214848","1.16905804287732","",""
"ageCat3","1.88016662866158","1","",""
"ageCat4","1.73556272353168","0.768174586001232","",""
"ageCat5","1.67146452210472","0.220962679273077","",""
"ageCat6","0.540913352050971","0.305090005937159","",""
"ageCat7","0.571588932353322","0.456581314994719","",""
"ageCat8","0.191666948111115","0","",""
"","","","",""
"ageCat1","0.999297490418019","1.00090543272385","relative.walk.speed",""
"ageCat2","1.00009894670806","0.999538882653894","",""
"ageCat3","1.0000471549886","1","",""
"ageCat4","1.00022474630757","0.999965587673237","",""
"ageCat5","0.999593624285845","0.999890497164606","",""
"ageCat6","1.00006176165563","0.999725828571269","",""
"ageCat7","0.998826862829668","0.999950479252119","",""
"ageCat8","0.999952849607939","0.999853864684347","",""
"","","","",""
"ageCat1","1.00084134207846","1.00037468518741","relative.cycle.speed",""
"ageCat2","0.999888192083662","1.00000435202417","",""
"ageCat3","0.999917736797445","1","",""
"ageCat4","0.999887443323151","0.999911612301387","",""
"ageCat5","0.99987801959031","0.999852277715297","",""
"ageCat6","0.999796804529384","1.00029733601588","",""
"ageCat7","1.00044686702513","0.999335326037751","",""
"ageCat8","1.00024415117662","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta6"
"ageCat2","35.1686888454012","0","",""
"ageCat3","7.01808219178082","1","",""
"ageCat4","2.93440773569702","11.2628310502283","",""
"ageCat5","0","0","",""
"ageCat6","7.52511415525114","0","",""
"ageCat7","26.827397260274","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","40.7","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.01461103197214","0","",""
"ageCat3","1.0132556041363","1","",""
"ageCat4","0.997851982034759","1.01020584673932","",""
"ageCat5","0","0","",""
"ageCat6","1.01060769507371","0","",""
"ageCat7","1.01294221392261","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","1002.457002457","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta7"
"ageCat2","0","0","",""
"ageCat3","1.00485813431313","1","",""
"ageCat4","1.99023758176025","1.27771381914676","",""
"ageCat5","1.06374906443492","1.28503462245042","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
