"","walk","cycle",""
"zcta1","3.64027486910995","0.877198952879581","2012"
"zcta2","36.9565853658537","3.766",""
"zcta3","21.2300985828712","1.68270486752927",""
"zcta4","25.6896357668908","2.08155299391611",""
"zcta5","40.2337955655768","6.02392484028561",""
"zcta6","8.70582524271845","0.276601941747573",""
"zcta7","4.18432","1.993824",""
"zcta8","29.9438878664168","3.94788967340383",""
"zcta9","27.4897880711795","3.67259478672986",""
"zcta10","15.1714124293785","0.882580037664784",""
"zcta11","4.04714187799863","1.02549920036555",""
"zcta12","8.95303910614525","0.961854748603352",""
"zcta13","49.2866617236567","85.724865884508",""
"zcta14","37.7844398649709","64.6632693515466",""
"zcta15","11.8750409836066","2.46955233291299",""
"zcta16","2.89625","11.0771354166667",""
"zcta17","27.5886398250773","3.09268265098394",""
"zcta18","7.89992205410362","1.23698762035763",""
"zcta19","31.4763077991665","3.02844231659721",""
"zcta20","12.9176149425287","1.75344320486815",""
"zcta21","24.6756330154554","1.39385399539625",""
"zcta22","26.0707146777388","2.88046650917508",""
"zcta23","11.5912222222222","0",""
"zcta24","29.5378244395327","2.85233659614777",""
"zcta25","3.38492854383932","1.67291618385477",""
"zcta26","32.3506433944351","1.8419385817571",""
"zcta27","6.645313174946","1.28861771058315",""
"zcta28","6.09718670076726","1.48230179028133",""
"zcta29","7.49446908602151","0.665235215053763",""
"zcta30","9.38687246963563","3.80515182186235",""
"zcta31","16.4071348314607","2.8859925093633",""
"zcta32","7.8820929419986","1.57042627533194",""
"zcta33","19.6092452830189","0.207358490566038",""
"zcta34","0","0",""
"zcta35","11.2308959156785","0.984057971014493",""
"zcta36","13.7112866546978","1.31408138839019",""
"zcta37","20.8978275541287","1.79869853893439",""
"zcta38","13.2494810302283","1.59291563849476",""
"zcta39","4.7168345323741","0.954028776978417",""
"zcta40","39.3845095828636","3.04267192784667",""
"zcta41","9.436","0",""
"zcta42","20.7351502260037","2.392786492954",""
"zcta43","8.41444558521561","1.06191221765914",""
"zcta44","7.82371601208459","0.963293051359516",""
"zcta45","36.5519613002599","3.19115136540128",""
"zcta46","31.3847064371611","2.84779297335534",""
"zcta47","24.7959540394506","3.0524324588243",""
"zcta48","12.342645631068","2.51077669902913",""
"zcta49","6.16788366336634","1.09569925742574",""
"zcta50","18.4797349739707","1.85415522953147",""
"zcta51","7.11564245810056","1.19441340782123",""
"zcta52","9.8525","0",""
"zcta53","31.3147033540563","3.35338494896001",""
"zcta54","11.4020831141504","1.54965982816062",""
"zcta55","21.4254866163349","2.55846396705559",""
"zcta56","13.2895762711864","2.14076271186441",""
"zcta57","26.0341370341773","2.7012398910879",""
"zcta58","34.0738656680358","3.4476429089152",""
"zcta59","14.4453136531365","1.009963099631",""
"zcta60","28.671511627907","0",""
"zcta61","4.3889580209895","0.680637181409295",""
"zcta62","15.7495348288076","1.97582054309327",""
"zcta63","6.08992310106717","0.387878217200251",""
"zcta64","8.02981900452489","1.15753393665158",""
"zcta65","20.9522516556291","1.27135761589404",""
"zcta66","33.0523037644322","4.60343281041673",""
"zcta67","22.5243885896669","1.40740075802912",""
"zcta68","9.0191425304878","1.12548208841463",""
"zcta69","38.1805962521295","6.06308347529813",""
"zcta70","46.8008825413775","6.94948077949813",""
"zcta71","15.4833333333333","0",""
"zcta72","6.4977566539924","0.973079847908745",""
"zcta73","1.75123829344433","0",""
"zcta74","10.9143971631206","2.50567375886525",""
"zcta75","11.9525333333333","1.72568",""
"zcta76","19.8960523560209","2.19307271669575",""
"zcta77","0","0",""
"zcta78","2.13295575221239","2.0606017699115",""
"zcta79","0.670655021834061","0",""
"zcta80","3.1992429022082","0",""
"zcta81","0","0",""
"zcta82","12.5018829740431","1.56546854377475",""
"zcta83","0","0",""
"zcta84","9.15035142348754","2.01556717081851",""
"zcta85","1.40636363636364","0",""
"zcta86","0","0",""
"zcta87","0","2.66651162790698",""
"zcta88","12.1575632183908","1.88787739463602",""
"zcta89","14.4339258890598","1.87992217898833",""
"zcta90","21.0844279145253","2.3757852312686",""
"zcta91","34.2556591414785","2.80595364884122",""
"zcta92","35.7122768002607","3.30666748126426",""
"zcta93","19.7792745735379","2.04499584246731",""
"zcta94","21.9416919460984","2.25755813224694",""
"zcta95","41.6777928004777","13.7536117034889",""
"zcta96","149.10724845679","21.9086820987654",""
"zcta97","161.966014644351","22.9625078451883",""
"zcta98","47.7085710852061","6.06903897768698",""
"zcta99","120.66361763494","14.8207189946436",""
"zcta100","78.3219859941774","7.9545479581399",""
"zcta101","73.5489347536618","8.81636857523302",""
"zcta102","53.3081542748725","6.27679532787857",""
"zcta103","50.6234503635739","5.36035545985083",""
"zcta104","35.8802321167883","5.09598773722628",""
"zcta105","38.8505831214433","4.19608257658312",""
"zcta106","39.0000294526933","4.19735101395625",""
"zcta107","42.5143765620661","5.34744793113024",""
"zcta108","44.2767292182638","6.4820746808916",""
"zcta109","33.4458099318604","4.90775087755523",""
"zcta110","34.2347906769596","3.93018062153603",""
"zcta111","32.9239052783803","3.72746836587129",""
"zcta112","25.9517003514938","2.57769212334239",""
"zcta113","12.0906726907631","2.52590361445783",""
"zcta114","31.2838091955608","3.01944141908504",""
"zcta115","27.8204934513927","4.12547408227264",""
"zcta116","33.5159596519426","6.08472177575791",""
"zcta117","30.2209110193568","4.42223455433918",""
"zcta118","32.7721767015707","2.83915235602094",""
"zcta119","8.86439316239316","0.614923076923077",""
"zcta120","38.6891022796046","4.21302602380472",""
"zcta121","36.12825572381","3.13016745051424",""
"zcta122","37.0673117364821","3.39113757784054",""
"zcta123","27.9873586445763","2.19152396920294",""
"zcta124","28.4629548868953","4.19311928574495",""
"zcta125","33.0133140328998","3.30046321040442",""
"zcta126","17.6843119266055","2.24602064220183",""
"zcta127","4.56868932038835","2.11631067961165",""
"zcta128","6.38411945392491","0.614662116040956",""
"zcta129","2.31886723507917","1.88343483556638",""
"zcta130","1.10235006119951","0.988225214198286",""
"zcta131","2.9421668099742","0.937145313843508",""
"zcta132","0","0",""
"zcta133","1.79971794871795","0.436153846153846",""
"zcta134","7.05351851851852","1.2487037037037",""
"zcta135","0.674660633484163","0.986334841628959",""
"zcta136","32.6767424242424","0.293257575757576",""
"zcta137","29.4074983797796","1.64721322099806",""
"zcta138","13.8257670126874","0.96118800461361",""
"zcta139","2.625","0",""
"zcta140","26.0497720797721","2.62884113799607",""
"zcta141","4.12050632911392","1.07398734177215",""
"zcta142","2.91331683168317","5.39554455445545",""
"zcta143","2.23771739130435","0.225521739130435",""
"zcta144","1.19838842975207","1.01181818181818",""
"zcta145","23.9802271880819","2.62472625698324",""
"zcta146","47.0735737671888","4.19323905706946",""
"zcta147","30.8359893384363","3.33945544013122",""
"zcta148","0","0",""
"zcta149","0.892530973451327","0",""
"zcta150","0","0",""
"zcta151","2.74722791050436","0.0427379598028062",""
