,male,female,id
ageCat7,105,96, 
ageCat8,31,34, 
, , , 
ageCat1,42,26,zcta129
ageCat2,88,61, 
ageCat3,104,98, 
ageCat4,86,95, 
ageCat5,172,171, 
ageCat6,104,119, 
ageCat7,63,75, 
ageCat8,33,41, 
, , , 
ageCat1,22,10,zcta130
ageCat2,36,23, 
ageCat3,48,45, 
ageCat4,59,53, 
ageCat5,92,93, 
ageCat6,71,60, 
ageCat7,31,24, 
ageCat8,13,7, 
, , , 
ageCat1,7,9,zcta131
ageCat2,23,29, 
ageCat3,26,13, 
ageCat4,31,27, 
ageCat5,39,36, 
ageCat6,17,12, 
ageCat7,5,11, 
ageCat8,6,4, 
, , , 
ageCat1,2,2,zcta132
ageCat2,1,2, 
ageCat3,7,3, 
ageCat4,7,7, 
ageCat5,7,4, 
ageCat6,11,10, 
ageCat7,1,2, 
ageCat8,1,2, 
, , , 
ageCat1,17,10,zcta133
ageCat2,51,29, 
ageCat3,49,39, 
ageCat4,43,41, 
ageCat5,97,86, 
ageCat6,52,53, 
ageCat7,21,13, 
ageCat8,14,16, 
, , , 
ageCat1,39,61,zcta134
ageCat2,98,108, 
ageCat3,111,133, 
ageCat4,132,107, 
ageCat5,141,155, 
ageCat6,92,113, 
ageCat7,71,59, 
ageCat8,29,42, 
, , , 
ageCat1,12,6,zcta135
ageCat2,26,20, 
ageCat3,34,26, 
ageCat4,30,33, 
ageCat5,90,82, 
ageCat6,50,59, 
ageCat7,39,25, 
ageCat8,12,19, 
, , , 
ageCat1,401,435,zcta136
ageCat2,852,798, 
ageCat3,1189,1049, 
ageCat4,969,977, 
ageCat5,985,999, 
ageCat6,486,521, 
ageCat7,303,380, 
ageCat8,176,290, 
, , , 
ageCat1,379,427,zcta137
ageCat2,850,885, 
ageCat3,1134,1119, 
ageCat4,997,1140, 
ageCat5,977,1028, 
ageCat6,438,470, 
ageCat7,263,272, 
ageCat8,121,218, 
, , , 
ageCat1,25,18,zcta138
ageCat2,48,49, 
ageCat3,53,61, 
ageCat4,73,56, 
ageCat5,117,86, 
ageCat6,39,44, 
ageCat7,34,25, 
ageCat8,9,24, 
, , , 
ageCat1,22,11,zcta139
ageCat2,46,28, 
ageCat3,61,62, 
ageCat4,75,59, 
ageCat5,116,116, 
ageCat6,68,61, 
ageCat7,27,22, 
ageCat8,7,15, 
, , , 
ageCat1,1374,1271,zcta140
ageCat2,2493,2301, 
ageCat3,2974,3083, 
ageCat4,2928,2821, 
ageCat5,2219,2141, 
ageCat6,783,894, 
ageCat7,422,426, 
ageCat8,163,217, 
, , , 
ageCat1,31,32,zcta141
ageCat2,95,80, 
ageCat3,78,81, 
ageCat4,138,132, 
ageCat5,250,238, 
ageCat6,134,136, 
ageCat7,49,45, 
ageCat8,24,24, 
, , , 
ageCat1,897,943,zcta142
ageCat2,1958,1833, 
ageCat3,2912,2705, 
ageCat4,2307,2322, 
ageCat5,3220,3335, 
ageCat6,1897,2102, 
ageCat7,1180,1277, 
ageCat8,714,1041, 
, , , 
ageCat1,48,39,zcta143
ageCat2,105,117, 
ageCat3,138,133, 
ageCat4,157,160, 
ageCat5,213,220, 
ageCat6,119,104, 
ageCat7,38,47, 
ageCat8,21,19, 
, , , 
ageCat1,3,5,zcta144
ageCat2,3,6, 
ageCat3,4,9, 
ageCat4,6,5, 
ageCat5,14,10, 
ageCat6,11,11, 
ageCat7,7,3, 
ageCat8,0,0, 
, , , 
ageCat1,106,93,zcta145
ageCat2,247,213, 
ageCat3,357,275, 
ageCat4,264,281, 
ageCat5,399,417, 
ageCat6,168,140, 
ageCat7,86,90, 
ageCat8,27,58, 
, , , 
ageCat1,1797,1818,zcta146
ageCat2,3246,3122, 
ageCat3,4801,4480, 
ageCat4,4013,3820, 
ageCat5,3470,3600, 
ageCat6,1395,1693, 
ageCat7,864,1097, 
ageCat8,466,911, 
, , , 
ageCat1,1207,1083,zcta147
ageCat2,2742,2590, 
ageCat3,3781,3536, 
ageCat4,3394,3478, 
ageCat5,3596,3647, 
ageCat6,1679,1863, 
ageCat7,1069,1207, 
ageCat8,491,704, 
, , , 
ageCat1,67,57,zcta148
ageCat2,106,124, 
ageCat3,379,273, 
ageCat4,362,283, 
ageCat5,407,410, 
ageCat6,250,199, 
ageCat7,89,91, 
ageCat8,29,35, 
, , , 
ageCat1,22,20,zcta149
ageCat2,76,40, 
ageCat3,216,137, 
ageCat4,165,105, 
ageCat5,154,153, 
ageCat6,104,70, 
ageCat7,52,30, 
ageCat8,13,9, 
, , , 
ageCat1,1,0,zcta150
ageCat2,1,0, 
ageCat3,0,0, 
ageCat4,1,1, 
ageCat5,1,0, 
ageCat6,1,2, 
ageCat7,0,0, 
ageCat8,0,0, 
, , , 
ageCat1,622,553,zcta151
ageCat2,1165,1153, 
ageCat3,1856,1564, 
ageCat4,2262,2012, 
ageCat5,2339,2273, 
ageCat6,990,841, 
ageCat7,337,278, 
ageCat8,98,108, 
, , , 
