,male,female,id
ageCat2,79,64, 
ageCat3,79,72, 
ageCat4,83,93, 
ageCat5,159,153, 
ageCat6,87,70, 
ageCat7,40,41, 
ageCat8,14,14, 
, , , 
ageCat1,4,3,zcta31
ageCat2,12,16, 
ageCat3,32,30, 
ageCat4,20,22, 
ageCat5,52,55, 
ageCat6,37,33, 
ageCat7,24,19, 
ageCat8,4,7, 
, , , 
ageCat1,55,52,zcta32
ageCat2,179,147, 
ageCat3,223,199, 
ageCat4,179,176, 
ageCat5,299,304, 
ageCat6,151,133, 
ageCat7,54,53, 
ageCat8,24,27, 
, , , 
ageCat1,4,8,zcta33
ageCat2,16,18, 
ageCat3,31,17, 
ageCat4,23,29, 
ageCat5,38,34, 
ageCat6,17,20, 
ageCat7,7,9, 
ageCat8,5,7, 
, , , 
ageCat1,199,184,zcta34
ageCat2,488,488, 
ageCat3,1519,570, 
ageCat4,2236,639, 
ageCat5,2207,819, 
ageCat6,681,504, 
ageCat7,282,272, 
ageCat8,128,137, 
, , , 
ageCat1,45,39,zcta35
ageCat2,90,101, 
ageCat3,163,125, 
ageCat4,128,140, 
ageCat5,279,224, 
ageCat6,194,167, 
ageCat7,117,89, 
ageCat8,39,46, 
, , , 
ageCat1,97,84,zcta36
ageCat2,157,138, 
ageCat3,220,183, 
ageCat4,215,195, 
ageCat5,233,200, 
ageCat6,88,85, 
ageCat7,50,44, 
ageCat8,22,26, 
, , , 
ageCat1,1768,1734,zcta37
ageCat2,3149,3054, 
ageCat3,3493,3445, 
ageCat4,4567,4496, 
ageCat5,3465,3798, 
ageCat6,3033,4026, 
ageCat7,2451,2689, 
ageCat8,978,1208, 
, , , 
ageCat1,266,279,zcta38
ageCat2,917,801, 
ageCat3,1092,964, 
ageCat4,913,1015, 
ageCat5,1697,1688, 
ageCat6,733,783, 
ageCat7,406,430, 
ageCat8,191,272, 
, , , 
ageCat1,17,13,zcta39
ageCat2,29,30, 
ageCat3,49,46, 
ageCat4,65,58, 
ageCat5,96,88, 
ageCat6,57,39, 
ageCat7,16,15, 
ageCat8,7,12, 
, , , 
ageCat1,40,32,zcta40
ageCat2,76,69, 
ageCat3,131,168, 
ageCat4,35,74, 
ageCat5,47,35, 
ageCat6,7,9, 
ageCat7,3,7, 
ageCat8,2,4, 
, , , 
ageCat1,21,24,zcta41
ageCat2,56,37, 
ageCat3,77,62, 
ageCat4,39,41, 
ageCat5,58,48, 
ageCat6,12,16, 
ageCat7,7,9, 
ageCat8,10,10, 
, , , 
ageCat1,226,185,zcta42
ageCat2,393,385, 
ageCat3,413,387, 
ageCat4,596,634, 
ageCat5,395,359, 
ageCat6,107,122, 
ageCat7,37,38, 
ageCat8,16,21, 
, , , 
ageCat1,123,143,zcta43
ageCat2,390,357, 
ageCat3,491,433, 
ageCat4,384,419, 
ageCat5,887,909, 
ageCat6,481,468, 
ageCat7,255,265, 
ageCat8,131,149, 
, , , 
ageCat1,17,14,zcta44
ageCat2,45,33, 
ageCat3,57,55, 
ageCat4,66,42, 
ageCat5,94,89, 
ageCat6,51,49, 
ageCat7,28,30, 
ageCat8,14,18, 
, , , 
ageCat1,1289,1238,zcta45
ageCat2,2488,2284, 
ageCat3,3629,3566, 
ageCat4,2862,2825, 
ageCat5,2875,2956, 
ageCat6,993,1154, 
ageCat7,647,967, 
ageCat8,366,575, 
, , , 
ageCat1,860,811,zcta46
ageCat2,1918,1987, 
ageCat3,2905,2814, 
ageCat4,2646,2936, 
ageCat5,3132,3470, 
ageCat6,1435,1643, 
ageCat7,718,935, 
ageCat8,478,1103, 
, , , 
ageCat1,856,805,zcta47
ageCat2,2110,1942, 
ageCat3,3144,2926, 
ageCat4,2929,2877, 
ageCat5,3784,3949, 
ageCat6,1583,1689, 
ageCat7,733,963, 
ageCat8,446,822, 
, , , 
ageCat1,48,45,zcta48
ageCat2,148,156, 
ageCat3,184,165, 
ageCat4,162,191, 
ageCat5,325,365, 
ageCat6,172,154, 
ageCat7,81,75, 
ageCat8,50,56, 
, , , 
ageCat1,27,27,zcta49
ageCat2,84,88, 
ageCat3,108,90, 
ageCat4,88,89, 
ageCat5,217,226, 
ageCat6,119,95, 
ageCat7,47,30, 
ageCat8,25,20, 
, , , 
ageCat1,860,852,zcta50
ageCat2,2046,2011, 
ageCat3,3077,2759, 
ageCat4,2602,2705, 
ageCat5,4614,5002, 
ageCat6,2576,2678, 
ageCat7,1380,1432, 
ageCat8,754,1378, 
, , , 
ageCat1,25,17,zcta51
ageCat2,67,48, 
ageCat3,71,72, 
ageCat4,79,60, 
ageCat5,101,98, 
ageCat6,48,40, 
ageCat7,37,27, 
ageCat8,12,13, 
, , , 
ageCat1,52,72,zcta52
ageCat2,134,151, 
ageCat3,175,173, 
ageCat4,182,166, 
ageCat5,290,337, 
ageCat6,189,180, 
ageCat7,101,105, 
ageCat8,61,75, 
, , , 
ageCat1,1948,1881,zcta53
ageCat2,3664,3407, 
ageCat3,5683,5749, 
ageCat4,5060,5221, 
ageCat5,5201,5763, 
ageCat6,2165,2482, 
ageCat7,1318,1706, 
ageCat8,655,1070, 
, , , 
ageCat1,126,107,zcta54
ageCat2,367,325, 
ageCat3,400,335, 
ageCat4,345,359, 
ageCat5,664,703, 
ageCat6,312,329, 
ageCat7,149,131, 
ageCat8,50,71, 
, , , 
ageCat1,541,498,zcta55
ageCat2,1185,1114, 
ageCat3,1733,1564, 
ageCat4,1460,1418, 
ageCat5,1728,1746, 
ageCat6,668,702, 
ageCat7,308,416, 
ageCat8,158,216, 
, , , 
ageCat1,26,29,zcta56
ageCat2,67,52, 
ageCat3,94,82, 
ageCat4,79,74, 
ageCat5,120,122, 
ageCat6,43,46, 
ageCat7,32,28, 
ageCat8,18,23, 
, , , 
ageCat1,741,664,zcta57
ageCat2,1548,1508, 
ageCat3,2465,2318, 
ageCat4,2080,2194, 
ageCat5,2593,2735, 
ageCat6,1094,1273, 
ageCat7,531,720, 
ageCat8,312,557, 
, , , 
ageCat1,1565,1451,zcta58
ageCat2,3008,2954, 
ageCat3,4559,4583, 
ageCat4,4660,4712, 
ageCat5,3815,4082, 
ageCat6,1308,1627, 
ageCat7,690,882, 
ageCat8,458,838, 
, , , 
ageCat1,0,1,zcta59
ageCat2,3,2, 
ageCat3,7,6, 
ageCat4,2,5, 
ageCat5,9,8, 
ageCat6,2,3, 
ageCat7,3,2, 
ageCat8,2,0, 
, , , 
ageCat1,9,5,zcta60
ageCat2,16,15, 
ageCat3,14,10, 
ageCat4,17,15, 
ageCat5,11,10, 
ageCat6,4,6, 
ageCat7,3,2, 
ageCat8,3,6, 
, , , 
ageCat1,37,30,zcta61
ageCat2,84,88, 
ageCat3,131,112, 
ageCat4,108,102, 
ageCat5,152,164, 
ageCat6,62,59, 
ageCat7,31,34, 
ageCat8,12,20, 
, , , 
ageCat1,805,827,zcta62
ageCat2,2063,1942, 
ageCat3,2540,2384, 
ageCat4,2264,2466, 
ageCat5,3577,3961, 
ageCat6,1610,1724, 
ageCat7,891,925, 
ageCat8,499,636, 
, , , 
