"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0","0.894650943613084","",""
"ageCat3","0","1","",""
"ageCat4","1.61007042312073","1.47057444314185","",""
"ageCat5","0.198167687030524","0","",""
"ageCat6","0","1.93513091051192","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0.197444288608384","2.47058823529412","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0.0119014796434151","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","0.999609375","",""
"ageCat3","0","1","",""
"ageCat4","1.00018751807403","0.999609375","",""
"ageCat5","1.00951583883908","0","",""
"ageCat6","0","0.999756182075194","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1.00276243093923","1","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","1.02702702702703","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta2"
"ageCat2","3.43531194623331","3.73327516531962","",""
"ageCat3","1.25809951322557","1","",""
"ageCat4","1.20664339946118","0.920557609294636","",""
"ageCat5","1.24279596803821","1.88958302718589","",""
"ageCat6","0","0.501561351947098","",""
"ageCat7","1.00737579833833","0","",""
"ageCat8","3.82292432035268","0","",""
"","","","",""
"ageCat1","4.27027649769585","0","relative.cycle.time",""
"ageCat2","3.04665898617512","3.10115207373272","",""
"ageCat3","0.467525921658986","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.00206977609443","1.00438127644785","",""
"ageCat3","1.00054570551678","1","",""
"ageCat4","1.00410959069248","1.00271268076411","",""
"ageCat5","1.00158265987078","1.00329071424596","",""
"ageCat6","0","0.999946829850689","",""
"ageCat7","1.00076419480747","0","",""
"ageCat8","1.00206040820054","0","",""
"","","","",""
"ageCat1","1.0000160012801","0","relative.cycle.speed",""
"ageCat2","0.999132571447419","0.999294921229481","",""
"ageCat3","0.991093857044988","1","",""
"ageCat4","0","0","",""
"ageCat5","0","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.360543009234078","0.312407479167778","relative.walk.time","zcta3"
"ageCat2","1.6200156698225","1.55412861939998","",""
"ageCat3","0.741132420175434","1","",""
"ageCat4","1.02770269724553","1.10361319952594","",""
"ageCat5","0.763807168641834","0.971160494319494","",""
"ageCat6","0.776672474359424","1.1377541192546","",""
"ageCat7","0.713397136565481","0.486376417919399","",""
"ageCat8","0.655666091926836","0.531228963700762","",""
"","","","",""
"ageCat1","0.930453397014295","0.187583508101343","relative.cycle.time",""
"ageCat2","3.01428973013493","1.49853214238037","",""
"ageCat3","0.999314124118913","1","",""
"ageCat4","0.514394460816627","0.274901306417688","",""
"ageCat5","0.967309424433828","0.41886499780246","",""
"ageCat6","0.481743989007983","0.0747761442154825","",""
"ageCat7","0.257054656151471","0.807397302572461","",""
"ageCat8","0.28285878424063","0","",""
"","","","",""
"ageCat1","1.00061535548613","1.00102561188444","relative.walk.speed",""
"ageCat2","1.0004914709553","1.00079945892776","",""
"ageCat3","1.00117479858261","1","",""
"ageCat4","1.00013503046394","1.00068915262128","",""
"ageCat5","1.00009144679854","1.00050656642137","",""
"ageCat6","1.0010033861901","1.00086707123537","",""
"ageCat7","1.00059714957002","1.00076493488955","",""
"ageCat8","0.999700137050803","1.0015827263172","",""
"","","","",""
"ageCat1","0.998960889556231","0.999103912219973","relative.cycle.speed",""
"ageCat2","1.00012774111135","1.00047316263355","",""
"ageCat3","0.999989510061599","1","",""
"ageCat4","1.00061435076003","1.00060728936822","",""
"ageCat5","0.999335646180865","1.00018682228935","",""
"ageCat6","0.999508681613417","0.997190887954583","",""
"ageCat7","0.999016872914003","0.999801103677267","",""
"ageCat8","1.00018608703717","0","",""
"","","","",""
"ageCat1","0.322627027117436","0.340212461123314","relative.walk.time","zcta4"
"ageCat2","1.50684251727499","1.7046443952614","",""
"ageCat3","0.745061561123855","1","",""
"ageCat4","0.666181708179882","0.865015432745479","",""
