"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0","20.8064516129032","",""
"ageCat3","27.0740740740741","1","",""
"ageCat4","133.020408163265","56.1296296296296","",""
"ageCat5","370.75","0","",""
"ageCat6","0","158.236111111111","",""
"ageCat7","0","0","",""
"ageCat8","58.9","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","61.4146341463415","0","",""
"ageCat3","74.2222222222222","1","",""
"ageCat4","81.7959183673469","0","",""
"ageCat5","47.6818181818182","0","",""
"ageCat6","101.898305084746","0","",""
"ageCat7","31.1964285714286","0","",""
"ageCat8","0","122.69387755102","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0","297.674418604651","",""
"ageCat3","303.693570451436","1","",""
"ageCat4","300.092052776925","300.890795117123","",""
"ageCat5","300.128731686385","0","",""
"ageCat6","0","299.65768454314","",""
"ageCat7","0","0","",""
"ageCat8","298.811544991511","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1000.79428117554","0","",""
"ageCat3","1000","1","",""
"ageCat4","1000","0","",""
"ageCat5","1000.95328884652","0","",""
"ageCat6","1000","0","",""
"ageCat7","999.427590154551","0","",""
"ageCat8","0","1000","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta2"
"ageCat2","17.8384013109978","34.1321619325079","",""
"ageCat3","7.82371327992231","1","",""
"ageCat4","8.58293054360061","6.27548295356016","",""
"ageCat5","1.72426350553784","17.0958087797126","",""
"ageCat6","3.46758922068463","19.0570830298616","",""
"ageCat7","7.43437727603787","2.18673315031654","",""
"ageCat8","15.5734401553775","10.1849963583394","",""
"","","","",""
"ageCat1","0.764388687135468","0","relative.cycle.time",""
"ageCat2","6.83172389127325","0.0562112541726276","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","1.92040577448303","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0.993876433071174","0.994500275475236","",""
"ageCat3","0.994128682826042","1","",""
"ageCat4","0.993868351487848","0.996571626478613","",""
"ageCat5","0.993260990945064","0.994395773786009","",""
"ageCat6","0.996238376200569","0.997004629209404","",""
"ageCat7","0.992386786928002","0.984960672286132","",""
"ageCat8","0.991716941815933","0.994424030393711","",""
"","","","",""
"ageCat1","0.997659282941311","0","relative.cycle.speed",""
"ageCat2","1.00491498681725","1.02880571909167","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","0","1.00431034482759","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.407998333007708","0.274089715643177","relative.walk.time","zcta3"
"ageCat2","1.45574249217585","1.11579401113729","",""
"ageCat3","1.19858608552443","1","",""
"ageCat4","0.498219840602933","0.746767420514334","",""
"ageCat5","0.563861493580274","0.965162150449967","",""
"ageCat6","0.50590896928029","0.729831019085611","",""
"ageCat7","0.448071039480699","0.449048628160237","",""
"ageCat8","0.259034302648405","0.829875707119168","",""
"","","","",""
"ageCat1","3.63213965311005","2.48013536171431","relative.cycle.time",""
"ageCat2","21.4127320875087","19.9000855468929","",""
"ageCat3","10.7686088650235","1","",""
"ageCat4","4.52347237306876","5.66953191647194","",""
"ageCat5","3.15395077976785","1.19749910418818","",""
"ageCat6","1.80146750524109","3.14534348046214","",""
"ageCat7","2.9206039107458","1.43378971662589","",""
"ageCat8","1.82453573457639","4.02658381697702","",""
"","","","",""
"ageCat1","1.00076628387335","1.00081287259004","relative.walk.speed",""
"ageCat2","0.999831318075369","1.00026568113701","",""
"ageCat3","1.00010339090443","1","",""
"ageCat4","1.00052417619574","0.999598471662349","",""
"ageCat5","0.999555638915925","0.999565535417446","",""
"ageCat6","0.999621838068092","0.999722419360338","",""
"ageCat7","0.999211325571991","0.99980409910903","",""
"ageCat8","0.999982381507485","1.00009005854504","",""
"","","","",""
"ageCat1","1.00097181729835","1","relative.cycle.speed",""
"ageCat2","0.999651648862053","0.999955181068483","",""
"ageCat3","0.999714998218739","1","",""
"ageCat4","0.999857020303117","0.999601706970128","",""
"ageCat5","0.999538745387454","0.999418266433973","",""
"ageCat6","1.00036805299963","1.00023963575365","",""
"ageCat7","1.0002828854314","0.999272727272727","",""
"ageCat8","1.00247985120893","0.999782182531039","",""
"","","","",""
"ageCat1","0.446852379998613","0.385233163188676","relative.walk.time","zcta4"
"ageCat2","1.91849388266045","1.93738397785689","",""
"ageCat3","0.951040568694642","1","",""
"ageCat4","0.835040811412853","1.12165810437724","",""
"ageCat5","0.889236378575671","1.07756997583031","",""
"ageCat6","0.665494190935674","0.960051999993805","",""
"ageCat7","0.579930955997415","0.763296901933102","",""
"ageCat8","0.522518891201907","0.831833191908055","",""
"","","","",""
"ageCat1","1.12300212150633","0.358515891717986","relative.cycle.time",""
"ageCat2","4.67178641222375","2.28224911439716","",""
"ageCat3","2.72882145175139","1","",""
"ageCat4","1.37626025253911","0.478699093536716","",""
"ageCat5","1.9115273727104","0.296842986009066","",""
"ageCat6","1.23699763549739","0.402319428521034","",""
"ageCat7","1.21933530887271","0.20742714418907","",""
"ageCat8","1.47689367205927","0.751386324652132","",""
"","","","",""
"ageCat1","1.00039438890411","0.999009457603065","relative.walk.speed",""
"ageCat2","0.99985675602627","1.0000261804514","",""
"ageCat3","0.999638754847078","1","",""
"ageCat4","0.999973363126823","0.999736153532857","",""
"ageCat5","0.9995451820345","0.999775977652663","",""
"ageCat6","0.999883951528663","0.99958449772024","",""
"ageCat7","1.00002172140669","0.999702943063421","",""
"ageCat8","0.999752962122916","0.999411084408592","",""
"","","","",""
"ageCat1","0.999428538195609","1.00007869987802","relative.cycle.speed",""
"ageCat2","1.00008544099695","1.00007869987802","",""
"ageCat3","1.00031814668227","1","",""
"ageCat4","1.00003355571244","0.999950926950983","",""
"ageCat5","1.00005486862102","1.0005179087932","",""
"ageCat6","0.999587260713456","0.999370142094701","",""
"ageCat7","0.999836561797564","0.998699972506332","",""
"ageCat8","0.999964600767932","0.99972321565016","",""
"","","","",""
"ageCat1","0.294535071298181","0.296994984818021","relative.walk.time","zcta5"
"ageCat2","1.05732422347466","1.1556667705646","",""
"ageCat3","0.892900310646367","1","",""
"ageCat4","0.841447020885022","0.983459666049191","",""
"ageCat5","0.796109682211027","1.06812866401931","",""
"ageCat6","0.727095444786604","0.868753025941283","",""
"ageCat7","0.648452791990115","0.642668050766013","",""
"ageCat8","0.556020336144382","0.763435967108122","",""
"","","","",""
"ageCat1","0.201122380280983","0.0635884483375604","relative.cycle.time",""
"ageCat2","0.751108609280037","0.561825082126642","",""
"ageCat3","1.59884033702693","1","",""
"ageCat4","1.36549758869886","0.539289352716962","",""
"ageCat5","1.2175346003097","0.445754828200832","",""
"ageCat6","0.684245421470096","0.331966776963798","",""
"ageCat7","0.896803856590135","0.208356777906513","",""
"ageCat8","0.512356574398388","0.265412649816486","",""
"","","","",""
"ageCat1","0.99963390112422","1.00036451147885","relative.walk.speed",""
"ageCat2","0.999820905669557","1.00008516953026","",""
"ageCat3","1.00008487773244","1","",""
"ageCat4","0.999999286350441","0.999884953677549","",""
"ageCat5","0.999946111410149","0.999989674246403","",""
"ageCat6","1.00019890397996","1.00028394673647","",""
"ageCat7","1.0000954809081","1.00019021183097","",""
"ageCat8","1.00016945541752","0.999995634926737","",""
"","","","",""
"ageCat1","1.00034784178007","0.999826750856882","relative.cycle.speed",""
"ageCat2","1.00002442666755","1.00001259746818","",""
"ageCat3","0.99999144242866","1","",""
"ageCat4","1.00005957933941","0.999905893851791","",""
"ageCat5","1.0001262626966","1.00003295499811","",""
"ageCat6","1.00003284086229","1.00009041824899","",""
"ageCat7","0.999951056470529","1.00038361391543","",""
"ageCat8","0.999747039564609","0.999714961953811","",""
"","","","",""
"ageCat1","213","0","relative.walk.time","zcta6"
"ageCat2","132.210526315789","684","",""
"ageCat3","326.111111111111","1","",""
"ageCat4","0","278.85","",""
"ageCat5","182.264705882353","516.25","",""
"ageCat6","536.769230769231","132.714285714286","",""
"ageCat7","120.2","80.6428571428571","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","372.923076923077","0","",""
"ageCat5","12.6470588235294","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","302.816901408451","0","relative.walk.speed",""
"ageCat2","300.955414012739","300.30959752322","",""
"ageCat3","300.511073253833","1","",""
"ageCat4","0","299.085529854761","",""
"ageCat5","299.177021139261","299.636803874092","",""
"ageCat6","299.226139294927","297.093649085038","",""
"ageCat7","299.500831946755","297.608503100089","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","1000","0","",""
"ageCat5","1004.6511627907","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta7"
"ageCat2","0.27688325545918","0.583801801969335","",""
"ageCat3","0.404677536597845","1","",""
"ageCat4","0.778794800889049","1.51567864855064","",""
"ageCat5","0.993213396637223","0.849568082217581","",""
"ageCat6","0","0.32302441102151","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","27.5","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","10.4285714285714","0","",""
"ageCat5","18.1898734177215","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0.995484600062992","0.999834088266919","",""
"ageCat3","1.0000274312696","1","",""
"ageCat4","0.998092788533116","0.999712904726131","",""
"ageCat5","0.997135905570684","0.999255422411578","",""
"ageCat6","0","0.999154589371981","",""
"ageCat7","0","0","",""
