"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","290.434782608696","0","",""
"ageCat3","107.692307692308","1","",""
"ageCat4","134.548387096774","0","",""
"ageCat5","326.945652173913","74.4239130434783","",""
"ageCat6","152.454545454545","0","",""
"ageCat7","0","0","",""
"ageCat8","131","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0.923364366586289","1","",""
"ageCat4","0","0","",""
"ageCat5","0.292442526920057","0.651172026608659","",""
"ageCat6","0.181538868024232","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","300","0","",""
"ageCat3","300","1","",""
"ageCat4","299.208822824263","0","",""
"ageCat5","300.009973735829","300.569592522273","",""
"ageCat6","299.821109123435","0","",""
"ageCat7","0","0","",""
"ageCat8","299.672846237732","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","0.999688699802843","1","",""
"ageCat4","0","0","",""
"ageCat5","0.999792444997924","0.999792444997924","",""
"ageCat6","0.999792444997924","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","5.12079977783949","relative.walk.time","zcta2"
"ageCat2","0.745415835668543","2.49833136019722","",""
"ageCat3","2.25950881090535","1","",""
"ageCat4","1.22074352565883","0","",""
"ageCat5","1.25573584057339","0.571361084245436","",""
"ageCat6","0.273689407263415","0","",""
"ageCat7","0.33552771289021","0.0929034864052915","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","140.363636363636","0","",""
"ageCat3","0","1","",""
"ageCat4","475.923076923077","0","",""
"ageCat5","0","15.1034482758621","",""
"ageCat6","0","104.941176470588","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0.999313422243646","relative.walk.speed",""
"ageCat2","1.00276209829156","1.00105802565436","",""
"ageCat3","0.999026837437291","1","",""
"ageCat4","0.998877482241925","0","",""
"ageCat5","0.99999687977784","1.00139540657976","",""
"ageCat6","1.0036609044219","0","",""
"ageCat7","1.00644631973746","1.01477455716586","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","1002.59067357513","0","",""
"ageCat3","0","1","",""
"ageCat4","999.838370777437","0","",""
"ageCat5","0","1013.69863013699","",""
"ageCat6","0","1002.24215246637","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.778105384733117","0.24294703193175","relative.walk.time","zcta3"
