"","walk","cycle",""
"zcta1","6.03454767726161","3.31165036674817","S1"
"zcta2","34.9495762711864","2.95216101694915",""
"zcta3","29.8966876872143","1.70763912974933",""
"zcta4","26.6716314654536","1.82389773432192",""
"zcta5","63.4876400179542","8.43041793426762",""
"zcta6","27.0868312757202","0.859012345679012",""
"zcta7","9.52067307692308","1.02836538461538",""
"zcta8","30.7784010896899","3.68624056999162",""
"zcta9","29.3978966396851","4.13515998152128",""
"zcta10","17.56446485623","3.15067092651757",""
"zcta11","6.18605911330049","0.721810344827586",""
"zcta12","15.7976627534685","1.42427961579509",""
"zcta13","50.1517286182543","84.0735788868989",""
"zcta14","41.0255241252568","64.3801081042125",""
"zcta15","12.9269109947644","2.39764397905759",""
"zcta16","27.0138314176245","21.7480076628352",""
"zcta17","28.7349983637979","3.10220326305456",""
"zcta18","9.64409038807925","1.60352382511872",""
"zcta19","31.0592927999529","3.44517058165548",""
"zcta20","17.5100797766254","2.14291118202367",""
"zcta21","44.3067692307692","2.62028438228438",""
"zcta22","25.1726232704003","3.05501430296866",""
"zcta23","10.9240776699029","3.10038834951456",""
"zcta24","29.5601919535345","2.72054327808471",""
"zcta25","3.98870574745593","1.67094023219149",""
"zcta26","31.7770670564266","2.0006064900936",""
"zcta27","8.38994456495541","1.15934442034225",""
"zcta28","9.06847877669391","1.22637490113367",""
"zcta29","7.94449101796407","2.41",""
"zcta30","13.222476635514","2.03346728971963",""
"zcta31","16.795661641541","1.45170854271357",""
"zcta32","8.96182967959528","1.43163575042159",""
"zcta33","24.488125","0",""
"zcta34","10.3175","8.1",""
"zcta35","17.2910904733373","2.5652546434991",""
"zcta36","23.1926754890679","0.55307249712313",""
"zcta37","19.2251315146864","1.97223470313263",""
"zcta38","15.6671004165753","1.9838193378645",""
"zcta39","7.84170597484277","0.773632075471698",""
"zcta40","31.092269066793","3.44604926575083",""
"zcta41","29.76","0",""
"zcta42","18.0983463316002","3.28352975158868",""
"zcta43","8.24444877505568","1.19424183370453",""
"zcta44","19.7654224572623","1.41199237486164",""
"zcta45","36.0355153987892","3.53713187680969",""
"zcta46","32.6143785499985","2.93920480032624",""
"zcta47","23.5123733142037","2.55025968436155",""
"zcta48","10.9627442528736","2.04907147988506",""
"zcta49","5.21001014713343","0.984652460679858",""
"zcta50","20.4249249806651","2.42468522815159",""
"zcta51","11.5432403644008","1.68784863349685",""
"zcta52","4.19902777777778","2.0125",""
"zcta53","37.2836572183521","3.7441460485227",""
"zcta54","11.8299454949944","2.3040511679644",""
"zcta55","22.975219941349","2.85711772098869",""
"zcta56","7.07008641975309","3.50371604938272",""
"zcta57","25.1724924966846","2.97178509108676",""
"zcta58","34.9202751159196","3.74728593508501",""
"zcta59","7.28738396624473","2.86379746835443",""
"zcta60","2.69011627906977","0",""
"zcta61","5.39067914067914","0.44968814968815",""
"zcta62","15.4787119969115","1.77165331531705",""
"zcta63","8.8368266965788","0.728820527201346",""
"zcta64","15.0973262186328","1.24439284684165",""
"zcta65","24.4182306338028","1.69472711267606",""
"zcta66","52.6609798499256","5.85336341289864",""
"zcta67","22.7159122562674","1.08152506963788",""
"zcta68","10.1718918502542","0.82922662147589",""
"zcta69","41.5931328963617","4.66527690700105",""
"zcta70","45.795684640032","8.81133849003705",""
"zcta71","0","0",""
"zcta72","8.90047244094488","0.149370078740157",""
"zcta73","2.00833601286174","0",""
"zcta74","15.1782534246575","1.60412671232877",""
"zcta75","12.8932993706922","2.86610878034162",""
"zcta76","9.90055036555646","2.02555036555646",""
"zcta77","2.91963636363636","0",""
"zcta78","1.834875","0",""
"zcta79","1.76589905362776","0.133817034700315",""
"zcta80","1.78988130563798","0",""
"zcta81","0","0",""
"zcta82","14.826062767475","1.43087018544936",""
"zcta83","0","0",""
"zcta84","11.1687267636307","2.07533639262659",""
"zcta85","3.03290441176471","0",""
"zcta86","0.799411764705882","0",""
"zcta87","4.69875","7.75125",""
"zcta88","22.741726840394","2.12348619401174",""
"zcta89","13.9271558823529","2.10135294117647",""
"zcta90","20.8217261070242","2.20331618909595",""
"zcta91","34.1567816197981","3.02053237751364",""
"zcta92","39.1556677322883","3.36774878828504",""
"zcta93","19.2585737033667","2.18339740673339",""
"zcta94","21.8138932258877","2.35971681051258",""
"zcta95","41.6370427871731","13.2176163632443",""
"zcta96","155.192701688555","24.6099924953096",""
"zcta97","186.044978806076","36.1178570587543",""
"zcta98","51.7815995241085","7.36090055851152",""
"zcta99","142.493869041035","16.5325080190244",""
"zcta100","79.0181546954065","8.22064598803969",""
"zcta101","95.83056125551","10.6646021431829",""
"zcta102","60.0179580524345","7.8344734082397",""
"zcta103","53.7279210810811","6.27099162162162",""
"zcta104","36.261734983928","5.0252833196079",""
"zcta105","40.7346753246753","5.06501812141347",""
"zcta106","40.0179483739534","4.4467173486373",""
"zcta107","41.5563237233842","5.56168927831166",""
"zcta108","46.4147528716589","7.28318726529711",""
"zcta109","36.3656804305081","5.35315636965746",""
"zcta110","35.2605327650506","4.32512608772864",""
"zcta111","33.1786327149483","3.4666020335355",""
"zcta112","25.495192649269","2.7584118959785",""
"zcta113","12.2","2.12278890600924",""
"zcta114","37.1052572303433","4.21967534237956",""
"zcta115","30.798532396257","3.91462431397323",""
"zcta116","46.3194377299002","8.12376773515502",""
"zcta117","46.9820689655172","6.56783757848843",""
"zcta118","40.3919161836826","4.01015176103433",""
"zcta119","20.7626458616011","3.66127544097693",""
"zcta120","37.9230706061073","4.90520596199996",""
"zcta121","40.2364677117134","3.83786892737992",""
"zcta122","34.2812894190218","3.32244445143828",""
"zcta123","29.7154101426497","2.65131806696775",""
"zcta124","29.6482018841482","4.23550412644036",""
"zcta125","33.9703459680578","2.80767505113364",""
"zcta126","26.4329438202247","1.38796629213483",""
"zcta127","2.44907894736842","1.91210526315789",""
"zcta128","7.39711105150215","1.44388143776824",""
"zcta129","1.80446058091286","1.42345435684647",""
"zcta130","1.65013447432763","2.59256723716381",""
"zcta131","2.31935643564356","2.82437293729373",""
"zcta132","0","0",""
"zcta133","3.37176064441887","2.25756041426928",""
"zcta134","4.71220689655172","1.06424137931034",""
"zcta135","2.21802325581395","1.68976744186047",""
"zcta136","40.3292946058091","1.76858921161826",""
"zcta137","36.955136312003","2.33549791745551",""
"zcta138","14.8714516129032","1.50588709677419",""
"zcta139","1.48315151515152","0.0963030303030303",""
"zcta140","25.8826156180693","2.51228341309677",""
"zcta141","4.27351674641148","3.08803827751196",""
"zcta142","3.57931034482759","3.33310344827586",""
"zcta143","3.41313575525813","0.918699808795411",""
"zcta144","4.0325641025641","0",""
"zcta145","25.4274712643678","2.84189655172414",""
"zcta146","50.7703620534789","4.37443008821023",""
"zcta147","37.6580349658063","3.87059232296492",""
"zcta148","3.04679487179487","0.375576923076923",""
"zcta149","3.51787994891443","0.0515836526181354",""
"zcta150","1.49275","0",""
"zcta151","2.37182689514958","0.159802497821667",""
