"","2020","2027","2036","S1","S2","S3"
"zcta1",-5.92253508604341,-0.212382127177011,-0.394558970351563,-0.233609365318776,-0.20548942745176,-1.22871003657872
"zcta2",-1.30491995906128,0.410489059598689,1.1825434574082,1.05321056044103,1.35249067385051,3.08290320091918
"zcta3",-3.10179638002248,-0.441678521868493,-0.646846681514155,-0.49247079712649,-0.442847372373,-0.126357382701301
"zcta4",-2.21314370651017,-0.0185371128181942,-0.199169220092569,0.0240498456667129,0.282349728760299,0.0354864877083004
"zcta5",-0.76432660056359,0.122086615807362,0.266899431100016,-0.0304106417385557,0.0684350840857599,0.127870278171102
"zcta6",-6.45641203407133,-0.128466604723114,0.61652737154177,-0.725093209372987,-0.491482267349221,0.780101029850006
"zcta7",-5.48251416020831,-0.18207103558493,0.220880115001536,0.431990143739933,-0.0970748909789499,-0.0581585615193332
"zcta8",-0.40445199406768,0.247242469627753,0.217037849750295,-0.0573823206988683,0.0895217231349431,0.0704478159348944
"zcta9",-0.243203282129692,0.332846147243337,0.135458553824245,0.125554949901757,0.364867317339513,0.318435982262623
"zcta10",-0.542386234557239,0.342540045072583,0.287702264335541,0.246739675844579,0.320902792505708,0.492486847259761
"zcta11",-1.7942207775242,-0.205499437015902,-0.155353921701107,0.205851024788957,-0.378025016067155,-0.180657794796083
"zcta12",-0.45380870285751,1.37226721718568,1.24417130613651,0.732534588438854,1.18713706688456,0.723964860684627
"zcta13",-1.19580131302302,0.995176031033774,1.223200870908,0.469286596750259,0.517532366075076,0.432781560217241
"zcta14",-0.886995333326784,0.599923261580443,0.670506053561927,0.216412983692528,0.453897191771922,0.593934558704952
"zcta15",-3.18915655715622,0.0275176753944189,0.11400543007056,0.00957458288938997,-0.185679180112283,0.730819058642793
"zcta16",-0.816999525437827,2.83871898774849,1.33156560478898,0.991861794224527,1.10115230797034,1.9150092154332
"zcta17",-0.250368000307204,0.298950227911639,0.251526534598929,0.0481607572262142,0.232632121084458,0.37344149771775
"zcta18",-2.33923304580495,0.32107823005606,0.265465137352058,0.0529587020726716,0.336199241774085,0.74810767388332
"zcta19",-0.968745624620612,0.252074446851293,0.228067604930505,-0.140018943796129,-0.0736556901334635,0.18366304101803
"zcta20",-0.299223383336004,0.0943556293395622,0.297847874710408,-0.11226980937269,0.13262477677951,-0.0213235816736559
"zcta21",-4.1001928449323,0.301881958698015,0.00650550685244088,1.04456960259633,0.180465543213116,0.506109236024421
"zcta22",-0.0202660866493355,0.197318009188153,0.099585178359227,0.16247078498143,0.192664112070323,0.194120871828617
"zcta23",-6.60111945035668,-2.934768194604,-3.05115612784159,-0.978818700750571,-4.25128730135823,-1.68523468681583
"zcta24",-0.158333628877074,0.894136361341226,0.502733169865194,0.975366027317528,0.76207011077448,0.957773592715592
