,,Age std changes of death from PA,,,,,,,Age std changes of deaths from TI,,,,,,,Age std changes of DALYs from PA,,,,,,,Age std changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta19,95624,-1.056706851,-0.000729791,0.006163672,-0.824714643,-0.595387302,-0.725440385,,-0.968745625,0.252074447,0.228067605,-0.140018944,-0.07365569,0.183663041,,-4.949702221,0.247771861,-2.456815616,-5.520000975,-4.503703385,-6.074076064,,-49.74384184,12.9014925,11.50031921,-7.319083798,-3.815082959,9.396540564
zcta20,95626,17.90481723,18.7457728,17.61017714,12.60771078,16.99023403,11.47841442,,-0.299223383,0.094355629,0.297847875,-0.112269809,0.132624777,-0.021323582,,5.524762621,6.242542417,4.781436953,3.142058794,5.004118361,3.029780947,,-15.95844403,5.082000905,15.00624766,-5.118825826,7.433616471,-1.022142687
zcta21,95627,-6.090521741,-13.24731465,-12.04300082,-14.82168456,-12.67102029,-13.59661741,,-4.100192845,0.301881959,0.006505507,1.044569603,0.180465543,0.506109236,,-1.533454582,-4.438531148,-3.534164638,-4.793584975,-3.428416886,-3.961790316,,-209.4622076,16.52470253,1.961475651,55.19573293,10.34035732,26.89297243
zcta22,95628,0.308596011,-0.23675776,5.350067727,5.632896645,1.159113109,4.629396691,,-0.020266087,0.197318009,0.099585178,0.162470785,0.192664112,0.194120872,,-3.700401972,-5.782710547,19.86198744,21.84489506,3.763341134,13.74073208,,-1.085855604,10.27324498,5.023533567,8.177597075,9.900263429,9.907430011
zcta23,95629,-0.268112998,-7.458292632,-0.906736348,0.243366108,0.041654947,0.804035083,,-6.60111945,-2.934768195,-3.051156128,-0.978818701,-4.251287301,-1.685234687,,-0.20601743,-1.963551173,-0.393150022,0.253728257,0.175196037,0.632060572,,-339.862007,-152.0897916,-157.4327276,-50.31796209,-221.0463739,-87.95490934
zcta24,95630,-5.744261101,-1.811006206,-1.224262029,-5.490665563,-0.249968341,-0.786330874,,-0.158333629,0.894136361,0.50273317,0.975366027,0.762070111,0.957773593,,-29.72747309,-11.21861471,-9.795098985,-27.35549036,-2.084005654,-3.24776964,,-8.077154802,46.03925471,25.92808161,50.04458691,39.02440604,49.09585334
zcta25,95631,-0.123290249,-0.902239934,-0.619015644,-0.107836722,-0.472329774,-0.208271429,,-3.473565733,-0.187856385,-0.04023215,0.041712298,0.112550888,-0.018499266,,-0.309479264,-0.870190363,-0.747310404,-0.334574249,-0.50316188,-0.441139728,,-177.6464889,-9.263058394,-1.842324704,2.291137857,6.244990102,-0.623225277
zcta26,95632,-6.998687083,-1.328577303,-1.428573608,-0.166413338,-1.330441769,-4.910601161,,-1.917061849,0.601835713,0.571817716,0.203047807,0.498425026,0.883738376,,-15.46303354,-6.4484475,-6.374325415,-2.324037617,-7.038236589,-12.11790562,,-98.29103422,31.03942919,29.5600842,10.31882365,25.7121509,45.61775467
zcta27,95633,-0.272502079,-0.457310032,-0.626340637,-0.140455488,-0.288054978,-0.183570132,,-3.242496693,-0.189245608,-0.534040948,-0.425888981,-0.135445201,-0.3310386,,-0.285844692,-0.305189074,-0.435816562,-0.167345073,0.071374665,-0.155953635,,-166.4775683,-9.238838693,-26.81765978,-21.44865196,-7.072610241,-16.81559967
zcta28,95634,4.851616934,3.283571451,4.142635036,4.516045653,4.642761831,3.227045444,,-4.216228776,-0.633545637,-0.345579992,-0.601125152,-0.33531612,-0.477000001,,1.161670932,0.407236884,0.714346193,0.944076485,1.307580279,-0.025774064,,-215.5530887,-32.18001841,-17.20506323,-30.14987891,-17.18186315,-23.43699168
zcta29,95635,-0.1181518,-0.831522788,-5.462635599,-1.116008561,-0.127120116,-5.275734864,,-3.913492314,0.042452489,-0.249931065,-0.485785033,-0.101176749,-0.416447054,,0.058586596,-0.358887701,-0.441047735,-0.169546272,-0.037702039,-0.397396227,,-201.5193167,2.205847643,-12.50253254,-25.07659201,-4.996936427,-21.32634828
zcta30,95636,-1.081675681,-0.276087641,0.246969084,-0.338917784,-5.77927121,-0.551291286,,-5.25080263,-0.457462312,-0.152398061,-1.24909367,-0.082198103,-0.263450249,,-0.379119381,-0.190933211,0.112459144,-0.262130216,-0.367995927,0.026462854,,-269.7575746,-23.19808984,-7.583200689,-63.0977675,-4.662438048,-13.66245224
zcta31,95637,8.376710277,-5.395899645,7.108139603,8.573933045,-3.200939997,-8.17186713,,-4.78708407,0.722870004,0.514631165,1.102024081,1.338967692,0.671229592,,0.228309787,-0.141593716,0.042901863,0.360449035,-0.394678834,-0.540265942,,-245.2683753,37.63824129,26.32884703,56.73144137,69.27655236,35.93286537
zcta32,95638,-0.37078006,0.024695542,0.279210213,-0.278071152,-0.370833823,-0.096550279,,-0.828633314,0.566358531,0.24414051,-0.052183179,-0.247396076,0.108507343,,-0.150701026,0.12878471,0.322287239,-0.031973018,-0.197033001,-0.090466827,,-41.84250322,29.18839307,12.70614961,-2.470971927,-12.00592144,6.244218451
zcta33,95639,0.2977026,-0.098457492,-0.674674294,-7.102697869,0.549792181,-34.80317818,,3.02050387,1.463173931,0.450260836,3.359289863,2.284913979,2.523039097,,0.09933157,-0.006330068,-0.039783863,-0.442822934,0.143110624,-1.007751605,,153.5504277,75.14112927,23.64031344,172.7594229,116.6601112,130.1013273
