,,Age std changes of death from PA,,,,,,,Age std changes of deaths from TI,,,,,,,Age std changes of DALYs from PA,,,,,,,Age std changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta71,95697,0.153996968,0.171831179,0.171832829,0.171834443,0.161331474,-2.832020039,,0.806598707,4.865816045,0.642786217,4.488502288,2.746211135,5.121582456,,0.033237431,0.059798328,0.059800785,0.059803188,0.044160878,-0.775055086,,39.44026849,250.187112,32.60618075,226.6001493,138.517324,262.1037383
zcta72,95698,-4.662057724,-0.459623459,-5.74578391,-0.11290293,-0.741543572,-1.08366424,,-3.045358414,0.264023326,-1.718919333,0.634175305,0.039018754,-1.549706625,,-0.374506965,-0.087854923,-0.368449783,-0.018652016,-0.131806886,-0.082034966,,-155.211815,16.24905634,-84.356798,33.11163456,2.131976804,-79.20324456
zcta73,95701,-0.068014492,-0.127899035,-0.069287988,-1.662372917,-0.003210169,0.007163567,,-9.468171143,-0.14747417,0.400761466,0.272277056,0.575051151,1.176686509,,0.008916296,0.034478129,-0.044236173,-0.197034903,-0.008552376,-0.006854388,,-485.3474353,-7.654275268,20.23859008,14.04339253,29.46289253,60.62145887
zcta74,95703,0.069442254,-0.395412753,-0.891489562,-13.40416887,0.134593858,-0.315327965,,-3.197657399,-0.48606571,0.040018637,0.38469944,-0.082252031,-0.217217033,,-0.011749805,-0.3339634,-0.372431401,-0.886509322,0.001170209,-0.066711232,,-164.2373445,-23.25992385,3.994848589,20.47522286,-2.702328646,-10.67822555
zcta75,95709,1.209651096,1.506703195,1.251272777,-4.532019116,1.007389568,0.7840255,,-3.336873143,0.09386324,0.010180493,-0.528731593,-0.303423778,-0.152816859,,0.793283475,0.961806281,0.80788324,-2.628685698,-0.256375543,0.196442645,,-170.9899275,4.72913171,0.290589546,-27.11866548,-15.06930141,-7.92966694
zcta76,95713,1.237448886,0.323988883,-0.604212043,0.766749243,0.378202299,0.754724145,,-3.799465294,0.669414401,0.618466782,0.51004059,0.75290068,0.457810286,,2.66925571,1.225734567,0.523843583,1.457202273,1.354204898,1.147480858,,-196.3894031,33.26629757,30.63682763,24.83424591,37.63742788,22.38137
zcta77,95714,-6.418630976,-0.438071048,-0.518872368,-0.683562851,-1.04810679,0,,-9.134738841,-4.282821117,-3.06459409,-0.637973892,-1.837011821,0.681901374,,-0.986796044,-0.097113561,-0.172703817,-0.23834119,-0.232349114,0,,-468.027199,-219.3613867,-156.9500083,-32.66625435,-94.07091348,34.91100112
zcta78,95715,2.704025409,2.718117626,2.255740435,2.429574348,2.665765984,2.603571514,,-7.340116726,1.280885976,1.181144071,1.925769596,1.390436623,1.491181118,,0.092837444,0.09662487,0.0750277,0.083442453,0.086270735,0.07719641,,-392.0709042,69.26483795,62.95734251,103.2657455,74.32305089,80.46168642
zcta79,95717,-0.388528135,0.040447548,-0.208732842,0.050347182,0.101851502,-0.45666105,,-11.24797509,-0.169212343,0.213128566,-1.304147977,-1.20212415,0.507463785,,-0.082540226,-0.001191265,-0.049604014,0.003815524,0.012462671,-0.086275519,,-573.8743235,-8.274302976,11.414965,-66.22937297,-61.24471735,27.43830568
zcta80,95720,-1.66022521,-0.260637484,-0.177023619,-2.677249131,-0.030613798,-0.06312872,,-5.645190502,-0.273867577,-1.073713674,-0.246496803,0.273391565,0.892688978,,-0.107235846,-0.021515863,-0.028643919,-0.014088656,-0.001952071,0.002437217,,-288.9997786,-13.97325345,-55.01951887,-13.03034038,13.40302092,45.40890764
zcta81,95721,0,0,0,0,0,0,,-16.34291555,-0.689111036,-5.936125701,-1.792201165,-8.137382198,-0.891282571,,0,0,0,0,0,0,,-825.7193199,-34.77400615,-299.7071345,-90.44958182,-410.9192766,-44.9770726
zcta82,95722,4.178019105,5.065564014,4.531546688,4.232716977,3.752586471,2.833122058,,-3.117924354,-0.066046896,0.00062188,0.109483001,-0.13093839,0.080789879,,1.605117571,2.017963136,1.616755514,0.819379502,0.864049591,-0.067879786,,-160.2081785,-3.351980162,-0.009668282,5.976550125,-6.040677106,4.540596048
zcta83,95724,0,-1.276493186,-2.437950311,0,0,0,,-3.189300617,2.2545422,2.826275114,2.789727333,2.707512588,1.50793183,,0,-0.020863222,-0.039167294,0,0,0,,-181.4850148,128.210204,160.7091328,158.6318478,153.9588666,85.76153869
zcta84,95726,-0.664450583,-1.009785504,-0.135227634,-0.855276271,-5.589344534,-0.500610146,,-4.04516189,-0.204501627,-0.058912573,-0.168577344,-0.32700343,-0.314794772,,-1.05467957,-1.794227661,0.008357084,-1.351407297,-2.966307847,-0.786179273,,-207.3928327,-10.09304825,-2.833536672,-8.29822832,-16.40139251,-15.74403045
zcta85,95728,-0.006701461,0.012281463,0.050066999,-3.534764069,0.078254742,-3.780185888,,-9.661682335,1.767211844,-0.200986808,0.664007552,-0.202872937,1.07555914,,0.006859791,0.006076426,0.019547936,-0.846412089,0.028848748,-0.495644096,,-495.8676007,89.99653502,-9.977209206,34.55694898,-10.8717879,56.57479608
zcta86,95735,0,-1.209958524,-1.202033473,-0.423092008,0,-0.083581245,,-2.378177553,0.000331006,-2.107957679,0.716653453,1.480042098,0.723157141,,0,-0.081969233,-0.057627057,-0.020283542,0,-0.001077243,,-120.9236669,0.01682705,-107.1812373,36.42922433,75.22804535,36.75979784
zcta87,95736,-7.502573016,4.86131E-06,-0.378632903,-27.93499306,-31.32300714,-0.706010873,,-3.991731555,0.600301896,1.113149018,2.264533039,4.425912534,-1.815937679,,-1.062725998,6.14721E-06,-0.103405288,-1.158312719,-0.313522716,-0.109794521,,-203.6998742,31.28875274,57.52063855,115.4186608,226.8905446,-92.83322467
zcta88,95742,-14.00039984,-8.227171702,-6.551382353,-1.363608139,-8.030809969,-7.003130153,,0.272952572,1.61886985,1.063957862,1.22869519,1.771715061,1.371798968,,-3.245208075,-2.395075187,-2.367460778,-0.920292905,-3.035345255,-2.307735494,,14.96792973,84.53629733,55.86211337,64.32209332,92.44129996,71.70132785
zcta89,95746,1.536586534,1.187685427,0.56029814,1.593210155,1.357814959,0.77816242,,-0.411244177,0.05835667,-0.090840134,-0.17297425,-0.06765432,-0.044504507,,2.12081235,0.933495662,1.162873608,2.016672999,1.12743461,0.220203287,,-21.06423398,3.121219864,-4.517248528,-8.996636162,-3.416160848,-2.109519969
zcta90,95747,-0.502754024,-0.575146362,-0.907849943,0.407527756,-0.12107162,-0.122065397,,-0.444805576,0.596362041,0.136231636,0.302291852,0.472537895,0.170718489,,-4.697398758,-6.42881136,-9.747632171,1.761240455,-4.285435132,-4.12247987,,-22.89765269,30.85215048,7.081256612,15.49863999,24.45124803,8.917202894
zcta91,95757,-1.486512109,-2.515138042,-1.864881043,-1.751411823,-2.006129237,-1.681451811,,0.012964962,1.399439729,1.27412035,1.202479739,1.128503391,1.175558458,,-3.495433933,-5.958983504,-5.555410595,-3.762828708,-4.268938724,-4.142604894,,0.751141224,71.97006658,65.48785809,61.62183718,57.944773,60.26444681
zcta92,95758,5.589648063,5.529992012,0.038816732,4.212975167,1.232198067,4.578759079,,0.106894386,1.490794755,1.520521063,1.234482463,1.291285186,1.320756983,,14.83982997,11.73355477,-3.928298491,5.673521129,-0.017374586,5.442377966,,5.621772013,76.78893186,78.21315379,63.61322861,66.51506019,68.08186368
zcta93,95762,-0.611169412,3.607318061,3.758575871,-0.461897911,-1.184716455,-0.480407877,,-0.519764346,0.54745376,0.379167053,0.949940761,0.630074368,0.651923371,,-4.522946681,0.362457909,0.493136687,-5.1690408,-6.522442792,-5.066268448,,-26.45682418,28.12134128,19.5740875,48.61031996,32.34055401,33.44927492
zcta94,95765,-0.122336847,-0.031554516,-0.502264584,-0.453988573,-2.399623548,-0.425983577,,-0.592951652,0.530513846,0.370893438,0.424928102,0.467982063,0.509474916,,-0.720361735,-1.235136167,-3.032998246,-1.330131127,-10.09786194,-1.525176001,,-30.46543316,27.43010774,19.11743643,21.75003588,24.66007493,26.03205515
zcta95,95776,-1.397435085,-1.088637386,6.095881496,1.418321377,1.116018149,1.841168022,,-2.266596325,-0.198103086,-0.24279722,-0.492653533,-0.42669923,-0.23416422,,-2.129219607,-2.167084964,3.818745749,1.479072792,0.615314041,1.370179111,,-116.3434117,-10.25708664,-12.60620822,-25.10971114,-21.68756679,-11.69394576
zcta96,95811,7.587384118,7.796955628,0.403056714,2.633182957,2.423279249,2.077810066,,-0.059958063,1.572037655,0.855890276,1.720983117,1.457631404,1.721132046,,3.307273672,3.853149814,-3.184027869,-0.93969572,-1.756999477,-2.068307615,,-2.999471658,79.04578905,42.97235639,87.15411234,73.34073501,86.02888685
zcta97,95814,0.242988773,-2.354332882,-7.605298457,-7.531654073,-6.963253591,-9.10862344,,0.760002188,3.254584927,2.406029892,3.903807741,3.394079552,3.900898442,,-1.742465826,-8.022092361,-18.32322373,-16.2839,-16.22652417,-22.21282856,,37.8410437,162.1589487,120.2726239,195.478096,170.3572168,193.5932659
zcta98,95815,6.08849315,-1.006584682,-1.237821287,-0.501234799,5.425310999,-0.028552476,,-0.595957134,-0.366462404,-0.116294484,-0.689773265,-0.193053613,-0.391759484,,7.195876755,-3.506374082,-6.843129825,-6.141316164,3.095077845,-5.532955835,,-30.6313759,-18.22004656,-5.922528316,-35.24478831,-9.758729415,-19.83793094
zcta99,95816,-2.07388413,-7.435248865,-9.334868384,-8.900956888,-9.037763612,-7.857037924,,-0.460754159,0.886521849,0.63042965,0.710203706,0.187058551,0.578961501,,-3.528084249,-14.16007309,-20.94342421,-17.40036042,-17.7613939,-16.78488698,,-23.47062482,46.19481736,32.57152107,37.0774296,9.809384473,30.5308866
zcta100,95817,2.515185539,3.461693065,-0.699274673,-0.209687514,2.972313846,0.423892239,,-0.91513049,-0.423034474,-0.252989862,-0.300838761,-0.277339368,-0.308319709,,4.028908493,4.187987142,-2.118784922,0.30878122,3.160028442,0.366248722,,-47.10966461,-20.93344002,-12.68206582,-15.43282977,-14.02599787,-15.76899653
zcta101,95818,2.470432751,-0.354742509,-3.591382451,-4.318371909,-3.803487362,-5.228499987,,-0.295599203,0.124131827,0.541430596,0.322593759,0.170303383,0.261234396,,0.853536135,-9.53333447,-23.92619537,-20.63710449,-19.99206231,-24.52767931,,-14.72347133,8.301133981,28.72627306,17.69664426,10.15141617,14.97053182
zcta102,95819,-1.249006414,-0.883805751,-2.413148226,-0.14228603,-2.490785356,-1.64664069,,-0.499739601,0.269936596,0.242651756,-0.153279717,0.162227735,-0.00774513,,-2.238348825,-5.022067441,-9.413734952,-3.535284092,-10.15787012,-7.744866771,,-25.32794608,14.37127487,12.98390064,-7.587594951,8.81049937,0.171138604
zcta103,95820,-2.384642997,-1.239994353,-3.279185567,-2.299198687,-1.696789187,-7.5000644,,-0.815579719,-0.330501367,-0.324716859,-0.340233287,-0.230935289,-0.183023455,,-7.957089642,-6.329112968,-16.11160632,-10.4304125,-7.46586022,-23.19420163,,-41.96738186,-16.50708213,-16.54717836,-17.36206788,-12.02626319,-9.302067108
zcta104,95821,6.729459357,6.821307815,7.117197339,6.683473615,7.704846376,6.535693674,,-0.268404585,0.092707542,0.13618178,-0.122035608,0.072748835,-0.034258562,,27.58839455,27.06467692,27.62899321,26.49810285,28.66923556,24.44171954,,-13.75951051,5.161886175,7.072069244,-6.19211416,4.063891434,-1.461513345
zcta105,95822,-6.268013887,-5.113727791,-6.055333625,-6.198807727,-6.808804316,-6.279196655,,-1.011010562,-0.234134382,-0.124236281,-0.208648606,-0.324723668,-0.18487634,,-36.33170205,-30.40329913,-41.05940108,-39.86403129,-43.46471286,-42.39918173,,-52.02697452,-11.58068475,-6.453881099,-10.69072074,-16.60635473,-9.127584338
zcta106,95823,1.096874485,5.701788689,5.723868104,1.998677163,0.230501237,0.453517576,,-0.892743871,0.193162536,0.112660059,0.104631341,0.079035462,0.060779128,,2.910406465,15.56196779,15.51171435,5.200185029,-3.008916131,-2.613784686,,-45.9025298,10.26634747,5.908779831,5.419939576,4.105163398,3.227485167
zcta107,95824,-1.643521955,-0.153961293,-1.669588031,-2.45248222,-0.478460406,-0.613462099,,-1.567101502,-1.059751013,-1.123264522,-0.640765305,-0.462755065,-0.608664246,,-4.007300658,-2.930169163,-6.584980057,-6.57281197,-4.481297062,-4.223381276,,-80.85797058,-54.26148577,-57.73778307,-33.02542937,-23.86016288,-31.23867359
zcta108,95825,6.641271897,6.112781987,5.76734269,6.912500727,6.49318764,5.703565053,,-0.295331826,0.066484451,0.157852908,-0.120168565,0.046751677,0.012872936,,30.70263841,27.11683419,24.27841915,30.39087059,28.11884278,25.72841328,,-15.35383093,3.701811773,8.059080478,-6.120600987,2.368936741,0.742522973
zcta109,95826,0.127286227,-1.496596767,-2.124478624,-0.025377636,-0.404672075,-2.295149456,,-0.111047233,0.666509066,0.665268284,0.51303384,0.625189741,0.539757333,,1.77899314,-4.612143074,-10.72730485,-0.45705707,-3.692343694,-11.66753206,,-5.470673597,34.7692815,34.58267949,26.53268953,32.3060871,28.0216172
zcta110,95827,-6.303127522,-8.212536775,-8.146334151,-0.190293387,-7.225015159,-7.491309909,,-0.077911096,0.696210256,0.546120248,0.648427779,0.589348121,0.324013927,,-9.346711908,-15.44886629,-17.56990355,-2.888773176,-14.80037207,-15.4374575,,-4.024836074,36.07985122,28.3908629,33.27690528,30.47379317,17.01305332
zcta111,95828,-0.179327378,-0.468775998,-4.607251723,0.137305151,-0.211683503,-5.493111271,,-1.331382814,-0.383725405,-0.347271212,-0.583149737,-0.122176127,-0.273173347,,2.681286152,-6.760576632,-16.88053939,0.864751421,-1.258645266,-22.69261639,,-68.36233104,-19.37174491,-17.6076984,-29.81138561,-6.281452509,-13.59975163
zcta112,95829,2.899124461,7.79465613,6.890697091,2.625703166,7.164294006,7.027440578,,-0.906917641,0.081792167,-0.057043981,-0.19295649,-0.062151374,-0.017374145,,1.871850301,5.218035393,4.078046799,0.28441251,5.485486342,3.939972732,,-46.63028812,3.823985947,-3.015701195,-9.990428436,-3.473442436,-1.03984855
zcta113,95830,-1.695075183,0.013268533,0.574558341,-0.494582279,-1.393547191,0.031240513,,-0.441809034,0.585682421,-0.003211728,2.047849552,-0.070186805,-0.576647112,,-0.343684187,-0.133214431,0.103463017,-0.001783077,-0.152199429,-0.197159786,,-21.49149226,30.10875473,0.708594819,104.9858079,-2.770762467,-28.49157444
zcta114,95831,1.23786272,0.509970991,5.043893676,-0.852643441,-1.189231871,5.589601627,,-0.582839363,0.048114554,0.233816538,-0.1882716,0.028214645,0.10868417,,8.785509338,0.925327799,21.06273969,-11.09644088,-12.35169583,26.30528338,,-29.9210218,2.895186964,12.32286768,-9.24414004,1.633444568,5.961155575
zcta115,95832,0.430603151,-4.364820312,-4.136508668,-4.89602377,-4.93708757,-3.638387618,,-1.19774365,-0.866569821,-0.633092027,-1.556836497,-0.969910589,-1.23874608,,-0.044819196,-1.991768075,-3.172705394,-3.623191183,-3.728580467,-2.173441976,,-61.72525278,-43.88679484,-32.46858509,-79.37595195,-49.31009191,-63.37860158
zcta116,95833,5.039094002,4.746696178,-3.676956216,-1.515739002,-1.945436209,-3.123874887,,-0.540759357,0.009241307,0.061459892,0.046510727,0.035743601,0.166595288,,3.786534845,-2.380028174,-18.37916608,-13.95988401,-15.5068351,-19.59098694,,-27.35709862,1.800065662,3.714935397,3.3513442,2.935495708,9.915132791
zcta117,95834,-1.603999828,-7.386699069,-9.645300139,-12.03085404,-8.199141128,-10.65087397,,-0.33349562,0.645820146,0.439714769,0.937383242,0.552209208,1.073725678,,-3.844762464,-9.845216287,-14.92788694,-17.94079617,-12.63583199,-16.45101299,,-16.73096035,34.32461276,23.48873699,49.3241312,29.12974353,56.26477629
zcta118,95835,-0.300301752,-1.308443341,-2.7666992,-8.643153014,-2.531180252,-7.484638306,,-0.438255183,0.746459841,0.2104691,0.936960822,0.741899913,0.841637445,,-0.539860031,-3.731962273,-11.70221643,-16.30838959,-10.42287968,-17.29215916,,-22.17132526,39.42823613,11.36629169,48.57923061,38.69638939,44.04918702
zcta119,95837,0.300858972,1.475204421,0.546167978,-27.15546665,-5.082521857,-5.734363752,,-0.112261013,1.004221846,0.6282229,1.688295718,0.271080397,0.606696013,,0.020576235,0.072937896,-0.044717324,-0.694683868,-0.311121721,-0.241540115,,-4.798600512,52.64846824,33.57837289,87.65696993,15.5377614,33.19756519
zcta120,95838,-1.372611102,4.422761293,-0.690341882,-0.442200186,-1.260866613,-1.126060332,,-0.801670871,-0.528228564,-0.421673553,-0.97039151,-0.469392384,-0.511923973,,-7.010826836,4.794694673,-5.710050266,-2.828397279,-5.441954788,-6.08369753,,-41.24320328,-26.85792127,-21.43008252,-50.03259549,-24.15234005,-26.43025835
zcta121,95841,-1.435312137,1.644170298,-0.826940554,0.943275968,0.131431389,-0.145454822,,-0.316976906,0.092538199,0.24810579,-0.031775189,0.318435723,0.213446527,,-2.750045545,2.199310819,-3.630076614,-0.281525924,0.142543004,-0.707988253,,-16.15699012,5.238704465,12.77466166,-1.332888054,16.39116985,10.95368234
zcta122,95842,4.315059414,5.857122516,4.781779929,0.107771426,4.587617785,0.063986367,,-0.446188938,0.147492399,0.158787122,-0.14682958,0.033760039,0.012272113,,4.374418555,7.424995999,3.407495078,-0.226426302,2.970866901,-3.87791962,,-23.21586011,7.478660701,7.707802402,-7.839007647,1.513241607,0.681415675
zcta123,95843,-5.577218765,-5.497737025,-5.937964266,-5.825854122,-6.46712615,-6.105284892,,-0.612100388,0.093550641,-0.033401434,-0.001838353,0.194465807,0.370359206,,-8.284640256,-11.02059167,-11.2322005,-11.5125258,-9.482621613,-13.06408647,,-31.45991389,5.097510363,-1.518125869,0.016064868,10.13059472,19.17926573
zcta124,95864,6.015371637,1.982962271,5.483978577,1.009627608,6.080874602,5.398886022,,-0.277147902,0.123348306,0.089742771,-0.188265031,0.023891583,-0.226717161,,20.00053868,6.00212106,16.96338943,1.774441048,20.55999731,15.45682994,,-13.87712375,6.769880116,5.058789333,-9.50637517,1.580355705,-11.12137038
zcta125,95901,5.730412585,0.52066358,0.622077853,0.538114903,4.966392902,0.437034763,,-3.611280861,0.309956755,0.427223524,0.329936237,0.20075473,0.37561859,,11.56569198,-1.221470147,-0.435608737,-0.385688835,9.27167908,0.4989286,,-185.1998975,16.48001379,22.43155192,17.14380585,10.46873248,19.4364042
zcta126,95903,0.395468714,0.289710128,0.150101848,-0.133919769,-0.86592157,0.287247345,,-4.615756291,-2.859249466,-3.566611181,-2.652837504,-2.66585983,-2.582157267,,0.040196049,0.002634014,0.022788314,-0.014363759,-0.057047162,-0.051470534,,-266.6202288,-165.2826956,-204.3597046,-151.5322946,-151.7153051,-147.4658483
zcta127,95914,0.545009375,0.490970825,0.573462846,-27.82966735,0.195176274,0.593855441,,-3.805513644,1.803614198,1.044148373,3.109722763,2.319613895,1.655076224,,0.217740892,0.214690468,0.203624957,-1.320973516,0.22676884,0.23445008,,-195.0540467,92.20233649,54.18987069,158.7415474,118.2783412,85.08817985
zcta128,95918,-0.324490525,-1.04678722,0.190768233,0.076997968,-0.119163701,-0.778740089,,-6.137080261,-1.282431822,-0.277150771,-0.664263067,-0.499399304,-0.531786371,,-0.430435493,-0.477782756,-0.031655436,-0.201660871,-0.348826653,-0.738013573,,-314.6439981,-65.4638759,-14.15693889,-33.96841298,-24.80542091,-27.06212698
zcta129,95919,0.261009469,-0.060963423,-0.015743245,0.280865451,-0.970818782,0.282001611,,-7.619631981,-0.859234699,-0.411074007,-0.673046857,0.713933204,-0.966024105,,0.152038972,-0.127038581,-0.107018971,0.2095189,-0.33455727,0.189197411,,-390.6746029,-42.99485256,-20.66364981,-34.60973284,36.77465917,-49.49788867
zcta130,95922,0.048637104,0.019288966,-0.275195107,-0.090146455,-0.346467594,-0.006387546,,-10.42596832,-1.192780081,-0.8419536,-1.006630464,0.187244518,-0.321310392,,-0.024834252,-0.039863158,-0.077057653,-0.083780351,-0.140346149,-0.0010632,,-533.7350898,-60.86673859,-42.73593122,-51.49817553,9.826698664,-16.40457275
zcta131,95925,0.539596854,0.066510529,0.511209991,0.290087165,-0.443793456,0.644631826,,-7.083651459,-0.370340009,0.181024722,0.339336789,1.130842162,0.861308066,,0.007577653,-0.034054626,0.003127891,-0.012829554,-0.047899218,0.027933336,,-363.2342084,-19.05822787,9.663858175,16.92049947,57.67826929,44.00335199
zcta132,95930,0,0,0,0,0,0,,-25.67903339,-5.268084514,-1.526498365,-1.956675411,-1.286357481,-1.076697624,,0,0,0,0,0,0,,-1316.706369,-269.8454015,-78.16779899,-100.1997654,-65.86942933,-55.13250702
zcta133,95935,0.060727812,0.051258695,-4.019755759,-0.217789616,-0.331167102,-1.289905157,,-6.280650606,0.268925207,0.620257875,-0.338364942,-0.044398853,-1.068199573,,0.010229735,0.007150604,-0.426849176,-0.106052366,-0.184541567,-0.219206892,,-321.6008118,14.30753151,31.43121428,-17.04015037,-1.477468227,-54.18486802
zcta134,95937,2.450737266,5.229125643,4.589010988,4.273025914,5.257147399,3.561201678,,-2.158636755,0.377901001,-0.022997628,0.17164836,-0.233446504,-0.223361046,,0.321417504,1.073525487,0.789875087,0.769546591,1.07523816,-0.130964146,,-110.4701055,19.43335943,-1.135880644,8.371225286,-11.6807873,-10.57502889
zcta135,95941,-0.232705213,-0.033728238,-0.273812993,-17.18627467,0.477187517,-2.965852761,,-9.231022439,-0.473932908,0.177770647,0.25943674,1.557819824,-1.936278683,,-0.031709321,-0.03472529,-0.131445131,-0.921598649,0.222232697,-0.966326279,,-471.6008105,-22.47644685,9.16536027,13.91790988,80.36050306,-98.00722261
zcta136,95948,14.79213206,11.94005291,0.734808113,13.21867488,8.308284994,0.211832262,,-8.777578873,-1.937018579,-0.952843804,-2.318834461,-2.365264085,-1.29364428,,16.6665261,8.747771802,-1.408594512,10.8653397,8.255200833,-0.337789172,,-452.1419508,-99.98447387,-48.88181474,-118.6460363,-121.0425072,-66.36070241
zcta137,95953,-0.125709551,-1.960275048,-2.187766292,-8.578271961,-0.591214609,-1.248536003,,-6.546375291,0.136385641,0.218157896,0.337154808,0.275864895,0.804822617,,0.52474672,-2.47579241,-2.68418947,-9.183724435,-0.574254528,-1.454729221,,-336.4534193,7.550983438,11.67157768,17.99229322,14.14629405,41.21582519
zcta138,95957,0.091199042,-0.454925639,-1.194318422,-0.152925111,-4.782311687,-0.888875104,,-2.143050627,-0.200115845,-0.128873456,0.473057204,0.189251219,0.063487219,,0.055443996,-0.104519268,-0.207911394,-0.070450247,-0.373430058,-0.20743116,,-110.8920656,-11.05465081,-6.195088722,24.30034075,8.67604841,2.639037152
zcta139,95960,0.403286371,-0.357477207,0.322504261,-1.433229482,0.643855233,0.499066428,,-10.0991742,-0.532341061,0.502325657,-1.558776841,-0.373199252,-0.692700732,,0.366874059,-0.066464556,0.274566575,-0.510741156,0.511643077,0.396482513,,-519.0790261,-26.84383133,25.42216195,-80.37556862,-19.90781522,-36.42877197
zcta140,95961,1.30953726,2.662190341,1.726265331,-4.036234381,1.268898054,1.750001123,,-3.062678367,0.168022323,0.339626509,-0.448867265,-0.723632182,0.350532257,,-0.312669115,2.068390707,0.455380188,-3.882953888,1.228700928,0.762344837,,-157.2778084,8.407999384,17.32758452,-23.01949799,-37.14469412,17.72750475
zcta141,95962,-12.45937482,-0.792165254,-0.238007012,-0.184441809,-0.198360829,-0.56880046,,-5.681685243,0.361382778,0.622151357,0.143238565,0.948264829,-0.212355298,,-1.256293127,-0.266919639,-0.146894728,-0.224636871,-0.078615611,-0.292959441,,-292.0176366,18.7659881,31.86860424,7.119705662,48.92566934,-10.98643198
zcta142,95966,0.866508342,0.782211237,-2.831109062,-118.4824409,-0.040426617,-1.409764537,,-8.160666874,-1.945107632,-0.245282188,-3.124898196,-0.90704485,-0.178427803,,13.53518481,11.5615719,-25.62830258,-427.3306836,-2.769362596,-8.47363876,,-418.8430672,-98.46799708,-11.87542206,-159.441821,-46.13697748,-10.00182185
zcta143,95977,-0.236244753,-3.048695102,-5.098379901,0.034833258,-1.598290744,0.222032148,,-2.321723449,-1.231291781,-0.62523925,0.112247001,-0.253441799,0.166531964,,0.144046842,-0.552616016,-1.542260417,0.001744214,-0.386759386,0.221452178,,-119.7779423,-62.14032204,-31.03094572,5.983808753,-12.84147489,8.756761812
zcta144,95981,0.964914279,0.635941045,0.742588524,-0.622346582,0.509531625,-0.331441471,,-6.958686253,-0.227528788,-0.693628296,-0.161826948,0.899081905,-3.110709894,,0.058703092,0.030172549,0.042508757,-0.048270494,0.02291075,-0.045540858,,-389.2918479,-12.59717525,-38.25058306,-7.691618634,49.77110898,-171.1567743
zcta145,95982,0.094015541,-0.3523534,-5.095773792,-14.08227308,-3.645369111,-1.80319736,,-4.751260675,-0.033423809,-0.312101255,0.056762629,-0.248919148,0.25045994,,0.659088101,0.263210677,-0.670492739,-3.331485411,-0.374711922,-0.256420521,,-244.3491805,-2.003817879,-16.63931726,3.0460541,-13.0405293,12.45750754
zcta146,95991,-0.517368418,0.84199391,-0.03658061,-1.309232534,-0.155118029,-0.25559972,,-4.787722216,-0.054021442,-0.091647458,0.567394329,-3.20673E-05,0.097750209,,-0.903565526,2.038443318,0.883048321,-6.029044511,1.598916219,1.458516285,,-245.9690387,-2.921374069,-4.97450091,29.44295518,-0.073933149,4.933195364
zcta147,95993,0.719400344,0.120450706,0.712879773,-6.346789588,0.960768356,0.621922553,,-4.611674057,0.067546076,0.077329546,0.692318076,0.10813627,0.095449785,,4.341622863,-1.11919319,1.863806876,-22.91110782,2.002195556,3.036630595,,-236.8800918,3.823619449,4.399198873,36.18993743,5.690194046,4.96291056
zcta148,96145,-1.387123024,-0.076130897,-0.036307268,-0.013679422,0,-0.723834097,,-12.42740177,-3.509684486,0.101558946,-0.318133443,0.303453458,-1.892657799,,-2.71324482,-0.346147395,-0.156456253,-0.066830263,0,-1.647989546,,-636.8511155,-179.7513055,5.199767943,-16.28893398,15.53635931,-96.92093819
zcta149,96146,-0.083331115,0.181924901,-0.148777909,0.139835863,-0.664605581,0.003632908,,-8.876116569,-0.712929369,0.035594866,0.144582424,0.184183608,-0.515610301,,-0.051858975,0.170140697,-0.093876232,0.144638231,-0.299015685,0.047776231,,-454.1319767,-35.58190936,2.309822263,8.354613004,10.32623467,-25.67106688
zcta150,96155,-0.287974068,-1.94092917,-0.127921928,0,0,-0.018264047,,-1.609094412,0.239305821,0.055295602,0.077647205,-1.068320024,0.380102993,,-0.003039947,-0.01057424,-0.000696922,0,0,-0.000192801,,-84.29219718,12.52978701,2.895375255,4.065717783,-55.95633304,19.90091543
zcta151,96161,-0.003717349,0.057412741,-0.260639764,-0.748017313,0.069283491,-0.09132566,,-9.184936865,0.255996628,-0.025028999,0.479359226,0.189305661,0.097393206,,0.01573148,0.448066164,-1.008930783,-1.907901794,0.436119745,-1.160130937,,-471.4932045,13.0897236,-1.416326061,24.39938459,9.636277848,5.048749415
