"","walk","cycle",""
"zcta1","4.77221818181818","0.802751515151515","2036"
"zcta2","31.0789818181818","2.57014545454545",""
"zcta3","21.460304090644","1.89515537782221",""
"zcta4","27.240299200158","2.06801487771963",""
"zcta5","76.4222136201382","9.41198692689259",""
"zcta6","17.5952941176471","2.23882352941177",""
"zcta7","4.66998563218391","1.70806034482759",""
"zcta8","33.1459933770128","3.929091115817",""
"zcta9","30.7927219626168","3.90242367601246",""
"zcta10","20.7314124293785","2.78768361581921",""
"zcta11","5.71693567961165","0.746949838187702",""
"zcta12","9.21643640350877","0.600910087719298",""
"zcta13","58.5976453556986","87.9331373227801",""
"zcta14","44.7103564766839","74.824370984456",""
"zcta15","13.6621614785992","2.54076848249027",""
"zcta16","14.4135273972603","30.3931849315068",""
"zcta17","28.4797474587039","3.67541772554003",""
"zcta18","12.905520985592","1.05214867404469",""
"zcta19","32.1334309350491","3.52285629568131",""
"zcta20","15.2874467759228","2.5102220860775",""
"zcta21","36.041468013468","2.19286195286195",""
"zcta22","27.3168990389379","2.89809570989795",""
"zcta23","4.87454545454545","0",""
"zcta24","31.4787355146883","2.97033522808694",""
"zcta25","4.81624617024111","1.61802850672705",""
"zcta26","34.3082370978782","2.05373388090349",""
"zcta27","8.96484732824428","1.26799618320611",""
"zcta28","7.60573697408749","1.7558707160769",""
"zcta29","7.73521937321937","0.751253561253561",""
"zcta30","8.87679124886053","1.55174111212397",""
"zcta31","19.9438086642599","1.66142599277978",""
"zcta32","8.0337159400545","0.656226158038147",""
"zcta33","19.4252941176471","0",""
"zcta34","0","0",""
"zcta35","12.3740058139535","1.62432558139535",""
"zcta36","21.4484856828194","0.539185022026432",""
"zcta37","21.5744341654484","2.00511789847229",""
"zcta38","15.6197699135716","1.78555594487269",""
"zcta39","3.33066331658291","0",""
"zcta40","52.0963773584906","3.98615094339623",""
"zcta41","22.7352631578947","0.222894736842105",""
"zcta42","18.3386135517498","3.55957557706627",""
"zcta43","7.95814756816507","1.27639738393515",""
"zcta44","22.3603033948142","1.21802058273189",""
"zcta45","38.4886791426664","3.23059405206299",""
"zcta46","33.8228952077948","3.11603300855041",""
"zcta47","26.0241306360652","2.98801268202351",""
"zcta48","14.2778596247394","1.27509207783183",""
"zcta49","6.68967243510507","1.12181705809642",""
"zcta50","19.7340825549163","2.17451023783456",""
"zcta51","11.5186581045173","2.45186005314438",""
"zcta52","11.6255263157895","0",""
"zcta53","39.9468329854217","4.31370500483682",""
"zcta54","12.1947907549234","2.06323851203501",""
"zcta55","20.9713238967527","3.53147793505412",""
"zcta56","6.40005706134094","2.00293865905849",""
"zcta57","30.2026105037648","3.11822311836426",""
"zcta58","39.472151344045","4.19325012535699",""
"zcta59","47.5644488188976","3.7042125984252",""
"zcta60","8.92111111111111","0",""
"zcta61","5.2093421973408","0.0799440167949615",""
"zcta62","18.2530418577982","2.08911358423686",""
"zcta63","10.7427277981121","1.09962434983626",""
"zcta64","10.1570886075949","1.1019281719164",""
"zcta65","22.2572549019608","0.605868673050616",""
"zcta66","64.6608525278531","7.88343662360351",""
"zcta67","28.2978773358888","1.13232630570196",""
"zcta68","10.1248177697189","1.5967615593835",""
"zcta69","39.5505139593909","6.70274111675127",""
"zcta70","49.0532857634113","10.586863823934",""
"zcta71","25.2060869565217","0",""
"zcta72","26.3857347670251","0.185663082437276",""
"zcta73","1.50490861618799","0",""
"zcta74","21.3365682656827","1.26303505535055",""
"zcta75","11.40052578019","1.67204545454545",""
"zcta76","11.5471236866743","2.06677311973369",""
"zcta77","5.7044776119403","0",""
"zcta78","3.47634877384196","0",""
