"","male","female","",""
"ageCat1","0","0","relative.walk.time","zcta1"
"ageCat2","0.339438666258795","0.279537725154302","",""
"ageCat3","0.867523197715917","1","",""
"ageCat4","0","0","",""
"ageCat5","0.413828721243068","0.120880918391625","",""
"ageCat6","0.939348877785709","0.0133476088508208","",""
"ageCat7","0.0800692957411373","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","133.6","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","14.4134615384615","41.75","",""
"ageCat6","0","0","",""
"ageCat7","40.625","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","0.998517870593095","0.998517870593095","",""
"ageCat3","0.99942361793701","1","",""
"ageCat4","0","0","",""
"ageCat5","0.996834759211953","1.00028221400505","",""
"ageCat6","1.00039938300499","0.994410433856801","",""
"ageCat7","0.99995083928269","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1000","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","1000.6671114076","1000","",""
"ageCat6","0","0","",""
"ageCat7","1000","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","1.06026002795432","0","relative.walk.time","zcta2"
"ageCat2","2.40208176538249","6.95493610649601","",""
"ageCat3","1.60889244422565","1","",""
"ageCat4","2.46093317334318","0.426893828866114","",""
"ageCat5","0.909188006012817","2.68023813919143","",""
"ageCat6","2.44618792689681","1.95341385585063","",""
"ageCat7","1.37536920804874","0.33730231985724","",""
"ageCat8","0","1.55731954956618","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","166.37037037037","1","",""
"ageCat4","0","0","",""
"ageCat5","59.6785714285714","43.35","",""
"ageCat6","101.789473684211","0","",""
"ageCat7","0","0","",""
"ageCat8","0","125.888888888889","",""
"","","","",""
"ageCat1","0.997654425664406","0","relative.walk.speed",""
"ageCat2","0.993199582427602","0.995437270503853","",""
"ageCat3","0.996978080695338","1","",""
"ageCat4","0.995239845002672","0.997619502346393","",""
"ageCat5","0.996046451785454","0.996879702937905","",""
"ageCat6","0.996448381254245","0.993600951346295","",""
"ageCat7","0.993550061880028","1.00094938321949","",""
"ageCat8","0","0.99676882765118","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","1000.44523597507","1","",""
"ageCat4","0","0","",""
"ageCat5","998.204667863555","1003.46020761246","",""
"ageCat6","998.965873836608","0","",""
"ageCat7","0","0","",""
"ageCat8","0","1000.8826125331","",""
"","","","",""
"ageCat1","0.323113326964817","0.320587168226728","relative.walk.time","zcta3"
"ageCat2","1.07981296354856","1.38245989603047","",""
"ageCat3","0.906912102382805","1","",""
"ageCat4","0.486188600998291","0.879909098537191","",""
"ageCat5","0.660616859787085","0.665242414320386","",""
"ageCat6","0.430977202165859","0.626295560759144","",""
"ageCat7","0.719510369871637","0.625270735852987","",""
"ageCat8","0.415677498354008","0.598663345786056","",""
"","","","",""
"ageCat1","0.164299282907626","0.107075946577335","relative.cycle.time",""
"ageCat2","2.79115900366331","1.87762085546022","",""
"ageCat3","2.20607494257602","1","",""
"ageCat4","1.17842374172748","1.38546653545823","",""
"ageCat5","0.324213046652123","0.200257392942399","",""
"ageCat6","1.10231140543284","0.0513167968326221","",""
"ageCat7","0.583342516272168","0.0645454009470434","",""
"ageCat8","0.157078318088294","0.321911726548516","",""
"","","","",""
"ageCat1","1.00054107337666","0.999181324246454","relative.walk.speed",""
"ageCat2","1.00027011869441","1.00018129393819","",""
"ageCat3","1.00015672738226","1","",""
"ageCat4","1.00021538116895","1.00029630741265","",""
"ageCat5","1.00084955547245","1.00016005935701","",""
"ageCat6","1.00063032320528","1.00064826707309","",""
"ageCat7","1.00026128459893","1.00104893098122","",""
"ageCat8","1.0006551517683","1.00058778832746","",""
"","","","",""
"ageCat1","1.00374520543815","0.997781536881837","relative.cycle.speed",""
