,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.078850856,,0.070381356,,0.040666089,,0.043426875,,0.200728143,,0.020452675,,0.024491758,,0.08776419,,0.098455822,,0.075007987,,0.0171886,,0.033906083,,2.001947927,,1.532838456,,0.057085515,,0.517662835,,0.073861203,,0.038180776,,0.082025344,,0.05102247,,0.062391608,,0.072738966,,0.073786408,,0.064774452,,0.039783575,,0.047634866,,0.027601832,,0.029193251,,0.057399487,,0.048448598,,0.034556114,,0.034078134,,0,,0.192857143,,0.061084482,,0.013158803,,0.046957271,,0.047233611,,0.018419811,,0.082022738,,0,,0.07817591,,0.028434484,,0.033619481,,0.084217426,,0.069984562,,0.060720516,,0.04878592,,0.023444952,,0.057735499,,0.040192011,,0.047916667,,0.089142617,,0.054863181,,0.068024418,,0.083419753,,0.070758009,,0.089227202,,0.068185654,,0,,0.010699931,,0.042182222,,0.017350533,,0.029622152,,0.040365317,,0.139365903,,0.025753084,,0.01974118,,0.11107058,,0.209798989,,0,,0.003543307,,0,,0.03817637,,0.068239437,,0.048229082,,0,,0,,0.00318612,,0,,0,,0.03407581,,0,,0.049411216,,0,,0,,0.184642857,,0.050556122,,0.050033193,,0.052459003,,0.071917218,,0.080179584,,0.051983134,,0.056183009,,0.314704125,,0.585953364,,0.859914636,,0.175261575,,0.393645614,,0.195733719,,0.253915109,,0.186525843,,0.149305135,,0.119654385,,0.120594339,,0.105874885,,0.132423529,,0.173405401,,0.127453172,,0.102968389,,0.082541563,,0.065678371,,0.050543694,,0.100466014,,0.093207249,,0.193421415,,0.156376494,,0.095480874,,0.087177748,,0.116787389,,0.091374709,,0.079105873,,0.063124366,,0.100843195,,0.066849297,,0.033044944,,0.045526316,,0.034380365,,0.033890041,,0.061735941,,0.067252475,,0,,0.053751438,,0.025336207,,0.040232558,,0.042116183,,0.055598258,,0.035852535,,0.00230303,,0.059815805,,0.073524721,,0.079359606,,0.021873805,,0,,0.067679256,,0.104156475,,0.092154754,,0.008910256,,0.001226054,,0,,0.003804821
,walk,0.04309291,,0.249661017,,0.213553524,,0.190499513,,0.45347464,,0.193415638,,0.067967033,,0.219847024,,0.209982325,,0.125439297,,0.044197748,,0.112828175,,0.358268172,,0.293049259,,0.092333583,,0.192950192,,0.205241457,,0.068888161,,0.221842252,,0.125077782,,0.31651049,,0.179803361,,0.078058252,,0.211130371,,0.028490755,,0.226965778,,0.059951796,,0.064782494,,0.056740804,,0.09446729,,0.120033501,,0.064002248,,0.174821429,,0.073928571,,0.123487118,,0.165621404,,0.137327247,,0.111896514,,0.055990566,,0.222065372,,0.212380952,,0.129283651,,0.058879918,,0.141179437,,0.257408265,,0.232963211,,0.167943759,,0.078318966,,0.037234906,,0.145898133,,0.082441486,,0.03,,0.266318589,,0.084487208,,0.164104973,,0.050493827,,0.179794444,,0.249425259,,0.052151899,,0.019302326,,0.038516979,,0.110557861,,0.063116096,,0.107822325,,0.174410211,,0.376170192,,0.162234381,,0.072655985,,0.297101738,,0.327132272,,0,,0.063582677,,0.01437299,,0.108347603,,0.092094696,,0.070713851,,0.020909091,,0.013125,,0.012649842,,0.012759644,,0,,0.105889546,,0,,0.07977522,,0.021691176,,0.005714286,,0.033571429,,0.162431334,,0.0995,,0.148718435,,0.243968716,,0.279693425,,0.137561095,,0.155805957,,0.297406586,,1.108515679,,1.328904392,,0.36986252,,1.017750802,,0.564425314,,0.684509044,,0.428619725,,0.383772973,,0.259017347,,0.290985244,,0.285860476,,0.29682118,,0.33153192,,0.259726497,,0.251832268,,0.237009633,,0.182103657,,0.087125248,,0.265047713,,0.219999605,,0.330841028,,0.335587751,,0.288529291,,0.148276798,,0.270870743,,0.287405055,,0.244859319,,0.212232656,,0.211742448,,0.242654815,,0.188797753,,0.01754386,,0.052837983,,0.012863071,,0.011797066,,0.016551155,,0,,0.024096663,,0.033655172,,0.015813953,,0.288257261,,0.263916446,,0.106163594,,0.010545455,,0.184873118,,0.030550239,,0.025566502,,0.024378585,,0.028901099,,0.181598248,,0.362647458,,0.26895985,,0.021730769,,0.025146871,,0.01075,,0.01694743
,motorcycle,0.489758924,,0.273451877,,0.371046426,,0.368749329,,0.18704099,,0.67087331,,0.579741444,,0.287732179,,0.298795711,,0.552853229,,0.656393219,,0.619706739,,0.140147486,,0.245796603,,0.424202169,,0.470466174,,0.308354055,,0.517360453,,0.307316852,,0.419255637,,0.365356743,,0.318904896,,0.601363384,,0.325623199,,0.711181685,,0.325261929,,0.611703677,,0.608235807,,0.585296047,,0.664899012,,0.538163412,,0.637967695,,0.420511862,,0.676515816,,0.524898245,,0.642309494,,0.396636936,,0.42525007,,0.590607345,,0.220241571,,0.711664853,,0.343971286,,0.510202329,,0.494763384,,0.24556157,,0.280061778,,0.33605415,,0.462218016,,0.636631123,,0.457757012,,0.551720577,,0.686222718,,0.257036431,,0.529693834,,0.335498136,,0.728636949,,0.324393363,,0.277268369,,0.672754611,,0.641842691,,0.644140313,,0.477781564,,0.573181556,,0.575515056,,0.529725151,,0.275647563,,0.489127221,,0.582665827,,0.311738481,,0.276856193,,0.433666429,,0.569746457,,0.733634417,,0.538928608,,0.54418355,,0.603205119,,0.754228312,,0.673008607,,0.791222578,,0.938817084,,0.694610559,,0.536647908,,0.656283598,,0.572495991,,0.731185189,,0.840936255,,0.459553571,,0.37954402,,0.394633596,,0.362183833,,0.387832379,,0.323930091,,0.401235615,,0.329931317,,0.303820407,,0.104514641,,0.057180349,,0.184318407,,0.168277594,,0.175805923,,0.197502519,,0.224973009,,0.192718134,,0.231696315,,0.229579032,,0.214503902,,0.18027522,,0.204604454,,0.245212579,,0.252478408,,0.243813076,,0.348207833,,0.387121785,,0.335542957,,0.286352896,,0.250350232,,0.252412363,,0.305314924,,0.410389223,,0.242070964,,0.248079116,,0.271184382,,0.320877064,,0.275931521,,0.286518349,,0.59523191,,0.468268672,,0.645674111,,0.567743924,,0.60258554,,0.555094908,,0.555163571,,0.576973188,,0.716473744,,0.539879347,,0.245778068,,0.288823571,,0.614884809,,0.66748329,,0.404464803,,0.603116427,,0.628161365,,0.632834116,,0.576608582,,0.407577352,,0.165507476,,0.215717129,,0.68553022,,0.717944773,,0.944555179,,0.730378706
,car,22.03915159,,12.30533444,,16.69708916,,16.5937198,,8.416844539,,30.18929894,,26.08836499,,12.94794805,,13.44580699,,24.87839531,,29.53769486,,27.88680325,,6.306636887,,11.06084716,,19.08909761,,21.17097783,,13.87593248,,23.28122038,,13.82925833,,18.86650365,,16.44105345,,14.35072031,,27.06135229,,14.65304394,,32.00317581,,14.6367868,,27.52666548,,27.3706113,,26.3383221,,29.92045554,,24.21735355,,28.70854625,,18.9230338,,30.44321173,,23.62042104,,28.90392722,,17.84866212,,19.13625314,,26.57733053,,9.910870711,,32.02491837,,15.47870788,,22.95910482,,22.26435226,,11.05027063,,12.60278003,,15.12243675,,20.79981073,,28.64840052,,20.59906555,,24.82742595,,30.88002232,,11.56663937,,23.83622255,,15.09741613,,32.7886627,,14.59770132,,12.47707659,,30.2739575,,28.8829211,,28.98631408,,21.50017037,,25.79317002,,25.89817753,,23.83763179,,12.40414034,,22.01072496,,26.21996223,,14.02823163,,12.45852867,,19.51498929,,25.63859055,,33.01354875,,24.25178737,,24.48825976,,27.14423037,,33.94027403,,30.28538732,,35.605016,,42.24676876,,31.25747516,,24.14915587,,29.5327619,,25.7623196,,32.90333351,,37.84213145,,20.67991071,,17.0794809,,17.75851182,,16.29827247,,17.45245706,,14.57685411,,18.05560269,,14.84690925,,13.67191829,,4.703158847,,2.573115721,,8.294328306,,7.572491736,,7.91126653,,8.887613372,,10.12378543,,8.672316012,,10.42633416,,10.33105645,,9.652675587,,8.112384883,,9.20720044,,11.03456605,,11.36152835,,10.9715884,,15.66935249,,17.42048035,,15.09943307,,12.8858803,,11.26576043,,11.35855633,,13.7391716,,18.46751502,,10.8931934,,11.1635602,,12.20329717,,14.43946787,,12.41691845,,12.89332569,,26.78543596,,21.07209023,,29.05533499,,25.54847659,,27.11634928,,24.97927086,,24.98236071,,25.96379344,,32.24131847,,24.2945706,,11.06001304,,12.99706068,,27.66981641,,30.03674805,,18.20091614,,27.14023923,,28.26726144,,28.47753524,,25.94738619,,18.34098082,,7.447836434,,9.707270823,,30.84885989,,32.30751478,,42.50498304,,32.86704178
,truck,1.469276773,,0.82035563,,1.113139277,,1.106247986,,0.561122969,,2.012619929,,1.739224333,,0.863196537,,0.896387133,,1.658559687,,1.969179657,,1.859120216,,0.420442459,,0.73738981,,1.272606507,,1.411398522,,0.925062165,,1.552081359,,0.921950555,,1.25776691,,1.09607023,,0.956714687,,1.804090153,,0.976869596,,2.133545054,,0.975785786,,1.835111032,,1.82470742,,1.75588814,,1.994697036,,1.614490237,,1.913903084,,1.261535587,,2.029547449,,1.574694736,,1.926928481,,1.189910808,,1.275750209,,1.771822035,,0.660724714,,2.134994558,,1.031913859,,1.530606988,,1.484290151,,0.736684709,,0.840185335,,1.00816245,,1.386654049,,1.909893368,,1.373271037,,1.65516173,,2.058668155,,0.771109292,,1.589081503,,1.006494408,,2.185910847,,0.973180088,,0.831805106,,2.018263834,,1.925528073,,1.932420939,,1.433344691,,1.719544668,,1.726545169,,1.589175453,,0.826942689,,1.467381664,,1.747997482,,0.935215442,,0.830568578,,1.300999286,,1.70923937,,2.20090325,,1.616785824,,1.632550651,,1.809615358,,2.262684935,,2.019025821,,2.373667733,,2.816451251,,2.083831677,,1.609943725,,1.968850794,,1.717487973,,2.193555567,,2.522808764,,1.378660714,,1.13863206,,1.183900788,,1.086551498,,1.163497137,,0.971790274,,1.203706846,,0.98979395,,0.91146122,,0.313543923,,0.171541048,,0.55295522,,0.504832782,,0.527417769,,0.592507558,,0.674919028,,0.578154401,,0.695088944,,0.688737097,,0.643511706,,0.540825659,,0.613813363,,0.735637736,,0.757435223,,0.731439227,,1.0446235,,1.161365356,,1.006628872,,0.859058687,,0.751050695,,0.757237089,,0.915944773,,1.231167668,,0.726212893,,0.744237347,,0.813553145,,0.962631191,,0.827794563,,0.859555046,,1.78569573,,1.404806015,,1.937022333,,1.703231772,,1.807756619,,1.665284724,,1.665490714,,1.730919563,,2.149421232,,1.61963804,,0.737334203,,0.866470712,,1.844654427,,2.00244987,,1.213394409,,1.809349282,,1.884484096,,1.898502349,,1.729825746,,1.222732055,,0.496522429,,0.647151388,,2.056590659,,2.153834319,,2.833665536,,2.191136119
,bus,0.489758924,,0.273451877,,0.371046426,,0.368749329,,0.18704099,,0.67087331,,0.579741444,,0.287732179,,0.298795711,,0.552853229,,0.656393219,,0.619706739,,0.140147486,,0.245796603,,0.424202169,,0.470466174,,0.308354055,,0.517360453,,0.307316852,,0.419255637,,0.365356743,,0.318904896,,0.601363384,,0.325623199,,0.711181685,,0.325261929,,0.611703677,,0.608235807,,0.585296047,,0.664899012,,0.538163412,,0.637967695,,0.420511862,,0.676515816,,0.524898245,,0.642309494,,0.396636936,,0.42525007,,0.590607345,,0.220241571,,0.711664853,,0.343971286,,0.510202329,,0.494763384,,0.24556157,,0.280061778,,0.33605415,,0.462218016,,0.636631123,,0.457757012,,0.551720577,,0.686222718,,0.257036431,,0.529693834,,0.335498136,,0.728636949,,0.324393363,,0.277268369,,0.672754611,,0.641842691,,0.644140313,,0.477781564,,0.573181556,,0.575515056,,0.529725151,,0.275647563,,0.489127221,,0.582665827,,0.311738481,,0.276856193,,0.433666429,,0.569746457,,0.733634417,,0.538928608,,0.54418355,,0.603205119,,0.754228312,,0.673008607,,0.791222578,,0.938817084,,0.694610559,,0.536647908,,0.656283598,,0.572495991,,0.731185189,,0.840936255,,0.459553571,,0.37954402,,0.394633596,,0.362183833,,0.387832379,,0.323930091,,0.401235615,,0.329931317,,0.303820407,,0.104514641,,0.057180349,,0.184318407,,0.168277594,,0.175805923,,0.197502519,,0.224973009,,0.192718134,,0.231696315,,0.229579032,,0.214503902,,0.18027522,,0.204604454,,0.245212579,,0.252478408,,0.243813076,,0.348207833,,0.387121785,,0.335542957,,0.286352896,,0.250350232,,0.252412363,,0.305314924,,0.410389223,,0.242070964,,0.248079116,,0.271184382,,0.320877064,,0.275931521,,0.286518349,,0.59523191,,0.468268672,,0.645674111,,0.567743924,,0.60258554,,0.555094908,,0.555163571,,0.576973188,,0.716473744,,0.539879347,,0.245778068,,0.288823571,,0.614884809,,0.66748329,,0.404464803,,0.603116427,,0.628161365,,0.632834116,,0.576608582,,0.407577352,,0.165507476,,0.215717129,,0.68553022,,0.717944773,,0.944555179,,0.730378706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
