,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.059911728,,0.033368794,,0.032342342,,0.046996232,,0.218715636,,0.062518519,,0.005983146,,0.087929649,,0.093419166,,0.096128025,,0.021423404,,0.012903226,,1.969022507,,1.578290246,,0.047970376,,0.513975904,,0.075592036,,0.039931823,,0.080398668,,0.036973786,,0.03016464,,0.071004562,,0.047640449,,0.065199263,,0.028907453,,0.050912479,,0.028954172,,0.029670482,,0.011765823,,0.038040478,,0.084869739,,0.031824183,,0.00398374,,0,,0.026108765,,0.024662069,,0.053213468,,0.055760108,,0.005497881,,0.090687137,,0,,0.081081938,,0.035641486,,0.029894702,,0.085102711,,0.079630556,,0.067577279,,0.06248366,,0.003973023,,0.052178803,,0.017419287,,0,,0.095511642,,0.050004185,,0.068575475,,0.044347305,,0.068381558,,0.083380528,,0.067877551,,0,,0.004009936,,0.046088502,,0.0250346,,0.030793313,,0.02882716,,0.160119725,,0.023704575,,0.020427506,,0.124385572,,0.212006525,,0,,0.065685484,,0,,0.015108696,,0.05021396,,0.0390655,,0,,0.008917683,,0,,0,,0,,0.032395515,,0,,0.033523759,,0,,0,,0,,0.065474945,,0.058089358,,0.059151592,,0.065097231,,0.081004398,,0.052092221,,0.06843639,,0.311484839,,0.620365727,,0.80219799,,0.165703825,,0.440057069,,0.185962237,,0.238106079,,0.186276827,,0.153421106,,0.110641936,,0.12262935,,0.113930753,,0.138554537,,0.179620616,,0.128612526,,0.124898732,,0.085737553,,0.061355398,,0.031326531,,0.097045631,,0.094755177,,0.170768552,,0.14510545,,0.089304147,,0.093858921,,0.114860955,,0.087694149,,0.081555315,,0.061418314,,0.101238747,,0.072356339,,0.040341034,,0.018483412,,0.02987234,,0.013054627,,0.020266512,,0.053955857,,0,,0.047289294,,0.013848712,,0.003448276,,0.01440367,,0.042354241,,0.036973094,,0,,0.053394289,,0.016725,,0.1038,,0.001344196,,0.034405594,,0.055057742,,0.100460172,,0.084773271,,0,,0,,0,,0.004404842
,walk,0.036229508,,0.293156028,,0.163298487,,0.199069992,,0.511263451,,0.111592593,,0.087598315,,0.225134594,,0.226033074,,0.127782982,,0.048731915,,0.085924731,,0.357799987,,0.295087033,,0.113953163,,0.13751004,,0.202405719,,0.072931622,,0.227033974,,0.120024042,,0.246553789,,0.18855082,,0.011460674,,0.20600059,,0.036737101,,0.244718584,,0.042746769,,0.042265002,,0.058860759,,0.039549218,,0.166993988,,0.084996525,,0.107723577,,0.08097561,,0.107397043,,0.15411954,,0.153325259,,0.103378699,,0.028591102,,0.418781743,,0.497439024,,0.143665309,,0.062189126,,0.152317668,,0.267434644,,0.237808655,,0.172948187,,0.108634331,,0.062305334,,0.137666263,,0.051786164,,0.016582278,,0.282561436,,0.092611607,,0.16096955,,0.048814371,,0.188738845,,0.249577216,,0.065673469,,0.025533981,,0.063910575,,0.138772642,,0.057722065,,0.05418541,,0.136790123,,0.411539403,,0.17690227,,0.069004912,,0.283754587,,0.333616664,,0.017857143,,0.059959677,,0.012627273,,0.13736413,,0.110587513,,0.083666524,,0.039019608,,0.009908537,,0.00890625,,0.008543046,,0,,0.120929664,,0,,0.075694608,,0.003693694,,0,,0.036,,0.193256818,,0.11001758,,0.163935211,,0.249283883,,0.279470371,,0.14478448,,0.201240836,,0.29930975,,1.097394647,,1.346959614,,0.365269294,,0.998530314,,0.572486961,,0.695437598,,0.447579123,,0.368118161,,0.269861021,,0.294552491,,0.29085905,,0.30312556,,0.331631212,,0.262187049,,0.279263371,,0.232521159,,0.16946095,,0.115695733,,0.248480254,,0.219468435,,0.327602138,,0.291814929,,0.293712281,,0.175656985,,0.280456827,,0.269933511,,0.251530759,,0.21417137,,0.224022241,,0.242852186,,0.230528053,,0.013649289,,0.080363339,,0.015986622,,0.011042874,,0.019728353,,0,,0.03666287,,0.057830424,,0.010536398,,0.266422018,,0.211501439,,0.053867713,,0.006325301,,0.18006198,,0.037966667,,0.0241,,0.017678208,,0.005944056,,0.152971954,,0.332253129,,0.231250807,,0,,0.023711911,,0,,0.019340955
,motorcycle,0.493820825,,0.263581459,,0.379096355,,0.357253856,,0.180709919,,0.668344974,,0.610730758,,0.282730347,,0.289709911,,0.545455727,,0.691302866,,0.603203748,,0.1398026,,0.238242856,,0.428369933,,0.47531899,,0.302800379,,0.501223624,,0.304716594,,0.412281519,,0.415497774,,0.316729683,,0.826207865,,0.333979803,,0.704043419,,0.312667467,,0.601864781,,0.602386284,,0.573337152,,0.61889473,,0.50631191,,0.64338284,,0.492779675,,0.614270383,,0.516925283,,0.64494019,,0.375924846,,0.412165107,,0.669068008,,0.203093582,,0.595820383,,0.348503108,,0.507721248,,0.492213469,,0.23804327,,0.272339226,,0.334599158,,0.448844833,,0.630791443,,0.445854323,,0.571015319,,0.773558228,,0.255097454,,0.51911134,,0.327635481,,0.674825714,,0.316147325,,0.271338029,,0.615542216,,0.600308044,,0.663286576,,0.452329961,,0.630161593,,0.624627833,,0.593942125,,0.252383434,,0.475532834,,0.599307698,,0.310588931,,0.277154533,,0.520229592,,0.591501613,,0.713322208,,0.5626956,,0.53004419,,0.585548001,,0.837794258,,0.711571341,,0.788370759,,0.897496405,,1.140078571,,0.545883574,,0.666280075,,0.585867525,,0.817266409,,0.775358679,,0.369040952,,0.350138272,,0.387032895,,0.352308568,,0.391042915,,0.321803861,,0.413658905,,0.319824995,,0.301753854,,0.10792847,,0.062573206,,0.175985079,,0.178255081,,0.175316104,,0.20085622,,0.216120473,,0.191565034,,0.226552148,,0.231811663,,0.214087986,,0.176260609,,0.200736806,,0.241920078,,0.249546241,,0.233106624,,0.346247734,,0.482162536,,0.330753997,,0.271104265,,0.252198033,,0.268559615,,0.311833116,,0.472775123,,0.229675506,,0.241295783,,0.265244407,,0.314412217,,0.268424952,,0.289828008,,0.586194688,,0.524720853,,0.626161683,,0.498532346,,0.546541185,,0.511152171,,0.524332035,,0.555150342,,0.737201663,,0.484423536,,0.253477588,,0.29905813,,0.650240711,,0.604504389,,0.417046358,,0.562404417,,0.5181795,,0.669480594,,0.515212887,,0.427523077,,0.178601583,,0.234422887,,0.645790952,,0.716141888,,1.186606015,,0.749411932
,car,22.22193713,,11.86116565,,17.05933598,,16.07642352,,8.131946356,,30.07552381,,27.48288413,,12.72286563,,13.036946,,24.54550769,,31.10862898,,27.14416866,,6.291117003,,10.72092853,,19.27664699,,21.38935456,,13.62601707,,22.55506309,,13.71224674,,18.55266833,,18.69739981,,14.25283572,,37.17935393,,15.02909115,,31.68195384,,14.070036,,27.08391514,,27.10738279,,25.80017184,,27.85026285,,22.78403593,,28.95222781,,22.17508537,,27.64216725,,23.26163773,,29.02230857,,16.91661805,,18.54742981,,30.10806038,,9.139211168,,26.81191725,,15.68263988,,22.84745615,,22.14960609,,10.71194715,,12.25526516,,15.05696211,,20.19801747,,28.38561492,,20.06344453,,25.69568935,,34.81012025,,11.47938544,,23.3600103,,14.74359663,,30.36715714,,14.22662962,,12.21021131,,27.69939971,,27.013862,,29.84789592,,20.35484823,,28.35727169,,28.1082525,,26.7273956,,11.35725453,,21.39897752,,26.9688464,,13.97650191,,12.471954,,23.41033163,,26.61757258,,32.09949935,,25.32130202,,23.85198855,,26.34966002,,37.7007416,,32.02071037,,35.47668415,,40.38733822,,51.30353571,,24.56476081,,29.98260338,,26.36403862,,36.77698842,,34.89114055,,16.60684286,,15.75622225,,17.41648029,,15.85388556,,17.59693119,,14.48117373,,18.6146507,,14.39212479,,13.57892344,,4.856781141,,2.815794251,,7.919328548,,8.021478645,,7.889224684,,9.038529881,,9.725421285,,8.620426532,,10.19484666,,10.43152485,,9.633959358,,7.931727424,,9.033156267,,10.88640353,,11.22958087,,10.48979806,,15.58114805,,21.69731414,,14.88392986,,12.19969191,,11.3489115,,12.08518266,,14.0324902,,21.27488056,,10.33539775,,10.85831022,,11.93599834,,14.14854976,,12.07912285,,13.04226037,,26.37876096,,23.61243839,,28.17727575,,22.43395557,,24.59435334,,23.00184768,,23.59494156,,24.98176538,,33.17407481,,21.79905911,,11.40649148,,13.45761584,,29.260832,,27.2026975,,18.7670861,,25.30819875,,23.3180775,,30.12662671,,23.18457992,,19.23853845,,8.037071218,,10.54902991,,29.06059286,,32.22638494,,53.39727068,,33.72353694
,truck,1.481462475,,0.790744377,,1.137289065,,1.071761568,,0.542129757,,2.005034921,,1.832192275,,0.848191042,,0.869129733,,1.63636718,,2.073908599,,1.809611244,,0.4194078,,0.714728568,,1.285109799,,1.425956971,,0.908401138,,1.503670873,,0.914149782,,1.236844556,,1.246493321,,0.950189048,,2.478623596,,1.00193941,,2.112130256,,0.9380024,,1.805594343,,1.807158852,,1.720011456,,1.85668419,,1.518935729,,1.930148521,,1.478339024,,1.84281115,,1.550775849,,1.934820571,,1.127774537,,1.236495321,,2.007204025,,0.609280745,,1.78746115,,1.045509325,,1.523163744,,1.476640406,,0.71412981,,0.817017677,,1.003797474,,1.346534498,,1.892374328,,1.337562968,,1.713045957,,2.320674684,,0.765292362,,1.55733402,,0.982906442,,2.024477143,,0.948441974,,0.814014087,,1.846626647,,1.800924133,,1.989859728,,1.356989882,,1.890484779,,1.8738835,,1.781826374,,0.757150302,,1.426598501,,1.797923093,,0.931766794,,0.8314636,,1.560688776,,1.774504839,,2.139966623,,1.688086801,,1.59013257,,1.756644002,,2.513382773,,2.134714024,,2.365112277,,2.692489215,,3.420235714,,1.637650721,,1.998840226,,1.757602575,,2.451799228,,2.326076037,,1.107122857,,1.050414816,,1.161098686,,1.056925704,,1.173128746,,0.965411582,,1.240976714,,0.959474986,,0.905261563,,0.323785409,,0.187719617,,0.527955237,,0.534765243,,0.525948312,,0.602568659,,0.648361419,,0.574695102,,0.679656444,,0.69543499,,0.642263957,,0.528781828,,0.602210418,,0.725760235,,0.748638724,,0.699319871,,1.038743203,,1.446487609,,0.992261991,,0.813312794,,0.7565941,,0.805678844,,0.935499347,,1.41832537,,0.689026517,,0.723887348,,0.795733222,,0.94323665,,0.805274857,,0.869484025,,1.758584064,,1.574162559,,1.87848505,,1.495597038,,1.639623556,,1.533456512,,1.572996104,,1.665451025,,2.211604988,,1.453270608,,0.760432765,,0.897174389,,1.950722133,,1.813513167,,1.251139074,,1.68721325,,1.5545385,,2.008441781,,1.545638661,,1.28256923,,0.535804748,,0.703268661,,1.937372857,,2.148425663,,3.559818045,,2.248235796
,bus,0.493820825,,0.263581459,,0.379096355,,0.357253856,,0.180709919,,0.668344974,,0.610730758,,0.282730347,,0.289709911,,0.545455727,,0.691302866,,0.603203748,,0.1398026,,0.238242856,,0.428369933,,0.47531899,,0.302800379,,0.501223624,,0.304716594,,0.412281519,,0.415497774,,0.316729683,,0.826207865,,0.333979803,,0.704043419,,0.312667467,,0.601864781,,0.602386284,,0.573337152,,0.61889473,,0.50631191,,0.64338284,,0.492779675,,0.614270383,,0.516925283,,0.64494019,,0.375924846,,0.412165107,,0.669068008,,0.203093582,,0.595820383,,0.348503108,,0.507721248,,0.492213469,,0.23804327,,0.272339226,,0.334599158,,0.448844833,,0.630791443,,0.445854323,,0.571015319,,0.773558228,,0.255097454,,0.51911134,,0.327635481,,0.674825714,,0.316147325,,0.271338029,,0.615542216,,0.600308044,,0.663286576,,0.452329961,,0.630161593,,0.624627833,,0.593942125,,0.252383434,,0.475532834,,0.599307698,,0.310588931,,0.277154533,,0.520229592,,0.591501613,,0.713322208,,0.5626956,,0.53004419,,0.585548001,,0.837794258,,0.711571341,,0.788370759,,0.897496405,,1.140078571,,0.545883574,,0.666280075,,0.585867525,,0.817266409,,0.775358679,,0.369040952,,0.350138272,,0.387032895,,0.352308568,,0.391042915,,0.321803861,,0.413658905,,0.319824995,,0.301753854,,0.10792847,,0.062573206,,0.175985079,,0.178255081,,0.175316104,,0.20085622,,0.216120473,,0.191565034,,0.226552148,,0.231811663,,0.214087986,,0.176260609,,0.200736806,,0.241920078,,0.249546241,,0.233106624,,0.346247734,,0.482162536,,0.330753997,,0.271104265,,0.252198033,,0.268559615,,0.311833116,,0.472775123,,0.229675506,,0.241295783,,0.265244407,,0.314412217,,0.268424952,,0.289828008,,0.586194688,,0.524720853,,0.626161683,,0.498532346,,0.546541185,,0.511152171,,0.524332035,,0.555150342,,0.737201663,,0.484423536,,0.253477588,,0.29905813,,0.650240711,,0.604504389,,0.417046358,,0.562404417,,0.5181795,,0.669480594,,0.515212887,,0.427523077,,0.178601583,,0.234422887,,0.645790952,,0.716141888,,1.186606015,,0.749411932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
