,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.046233611,,0.047004405,,0.034364771,,0.043343843,,0.174432009,,0,,0.01,,0.092790394,,0.094073738,,0.045251623,,0.029799541,,0.016888412,,2.2190736,,1.79332989,,0.050379444,,0.582046332,,0.075208863,,0.03229811,,0.07521488,,0.032444044,,0.026251092,,0.075048521,,0,,0.068806353,,0.03557759,,0.045613573,,0.025157307,,0.025929813,,0.032606888,,0.037073625,,0.004927798,,0.00871196,,0.032142857,,0,,0.036595477,,0.036774734,,0.045191227,,0.043269428,,0.014302326,,0.073791946,,0.0146,,0.058737066,,0.036169639,,0.002533532,,0.079420449,,0.076114951,,0.062926704,,0.039134467,,0.025399002,,0.046361848,,0.008178264,,0,,0.091551662,,0.046082524,,0.073876953,,0.017262357,,0.074590688,,0.089444001,,0.0315,,0,,0.017560976,,0.036258773,,0.009577151,,0.020294385,,0.032135578,,0.121132452,,0.034718948,,0.024195779,,0.174966318,,0.225301642,,0.081142857,,0.028745247,,0,,0.0275,,0.030340889,,0.045406601,,0,,0,,0,,0,,0,,0.032285479,,0,,0.036765103,,0,,0,,0,,0.052712207,,0.052846916,,0.059156302,,0.061314178,,0.076360998,,0.041727697,,0.057775605,,0.367327686,,0.488973312,,0.625204391,,0.142376383,,0.373214196,,0.194733556,,0.209499676,,0.139659193,,0.133686942,,0.120003214,,0.102589916,,0.105606269,,0.127225272,,0.173620585,,0.12255543,,0.099645857,,0.087490646,,0.055129216,,0.04132093,,0.083694198,,0.100555556,,0.137370954,,0.111621718,,0.066639759,,0.065563584,,0.102107949,,0.094022384,,0.079929436,,0.061038208,,0.093199734,,0.072012455,,0.019101877,,0,,0.057015454,,0.031840491,,0.047955347,,0.035163934,,0,,0.018083624,,0.013444444,,0.149506173,,0.036184971,,0.037005059,,0.007278835,,0,,0.060203929,,0.030567568,,0.05038835,,0.066443966,,0.052053571,,0.044808761,,0.097205364,,0.080311041,,0,,0,,0.09106383,,0.009568789
,walk,0.022228844,,0.355198238,,0.136350599,,0.190518175,,0.351905368,,0.158204082,,0.052723577,,0.212344944,,0.19947122,,0.145762987,,0.043727292,,0.072103004,,0.366852445,,0.27955808,,0.108096803,,0.13023166,,0.192946401,,0.082072595,,0.223834129,,0.065451405,,0.225618992,,0.186799949,,0.050810811,,0.214123544,,0.03165923,,0.238728975,,0.038859159,,0.057927189,,0.034809976,,0.03917987,,0.102581227,,0.073032555,,0.072755102,,0.108461538,,0.088580402,,0.180251537,,0.146260126,,0.09816197,,0.031676357,,0.252404922,,0.0064,,0.123664102,,0.059700845,,0.058748137,,0.259861837,,0.223691675,,0.168771056,,0.076914992,,0.052917706,,0.123919066,,0.053580923,,0.089538462,,0.247348403,,0.080184466,,0.140701945,,0.067046895,,0.181131329,,0.240722707,,0.094384615,,0.063473684,,0.03151363,,0.127116734,,0.044308605,,0.074579666,,0.127230837,,0.274377385,,0.188154792,,0.095352984,,0.262398374,,0.314584599,,0.032857143,,0.07973384,,0.01395614,,0.058841912,,0.086550694,,0.074179249,,0.005185185,,0.017397882,,0.047366548,,0.032515528,,0,,0.075558993,,0,,0.062479983,,0.004918033,,0,,0.157826087,,0.13706576,,0.10674626,,0.147247229,,0.248013381,,0.263601663,,0.148808338,,0.155840095,,0.289672699,,1.023564441,,1.184280848,,0.333952287,,0.896696135,,0.547811819,,0.563493627,,0.394708237,,0.356873699,,0.25545832,,0.269403088,,0.275632347,,0.276255268,,0.315070898,,0.255380471,,0.246154544,,0.23089727,,0.176448618,,0.136455814,,0.228095076,,0.184167912,,0.256643619,,0.240940837,,0.253922367,,0.122904624,,0.270132299,,0.276476434,,0.244555122,,0.201300221,,0.218014404,,0.24017541,,0.084678284,,0.019411765,,0.055482936,,0.012760736,,0.01720329,,0.020713115,,0,,0.018385598,,0.052230769,,0.032674897,,0.238959538,,0.202075885,,0.050940649,,0.006385542,,0.178309448,,0.016216216,,0.004951456,,0.008469828,,0,,0.141343576,,0.328529355,,0.213801082,,0.037481481,,0.016930836,,0.038191489,,0.0137577
,motorcycle,0.793237051,,0.336733166,,0.485133341,,0.454025215,,0.210734607,,1.079609971,,0.962139431,,0.298512116,,0.312125533,,0.597085065,,0.785949396,,0.71612103,,0.165269435,,0.272317617,,0.559878446,,0.577604413,,0.319490862,,0.639372282,,0.333581085,,0.445454808,,0.610885153,,0.323538165,,0.936602445,,0.365707129,,0.962814503,,0.396293136,,0.791708565,,0.825847791,,0.799866135,,0.943943057,,0.920596055,,0.69088077,,0.451531778,,0.896936264,,0.814363667,,0.764253733,,0.457089697,,0.454704066,,0.79556812,,0.211070022,,0.743015714,,0.371725672,,0.549247454,,0.799570832,,0.250858342,,0.286625788,,0.344361739,,0.521689247,,0.722504168,,0.57731374,,0.664585245,,0.809777363,,0.280603434,,0.589220224,,0.347346542,,0.85210507,,0.345814659,,0.295270129,,1.010366264,,0.696396241,,0.723297622,,0.534301082,,0.744317811,,0.823771203,,0.743370454,,0.310249923,,0.628695106,,0.624251947,,0.454394291,,0.344767915,,0.636481633,,0.776797719,,1.493176103,,0.765716478,,0.703534134,,0.879235411,,1.374246164,,1.485622261,,1.489539553,,1.418176708,,1.756574725,,0.726726096,,1.447137143,,0.807511441,,1.595720375,,1.116186951,,0.864993168,,0.425078016,,0.401768345,,0.389629993,,0.440773063,,0.368365838,,0.465104717,,0.365102467,,0.357059722,,0.135214141,,0.098058662,,0.186983369,,0.198476004,,0.188313908,,0.220918054,,0.2387998,,0.205237311,,0.235538984,,0.252128205,,0.238156781,,0.19922163,,0.209832373,,0.262619952,,0.273429707,,0.26215856,,0.375376295,,0.49320602,,0.355877533,,0.28119697,,0.277487905,,0.303211533,,0.36004465,,0.505952787,,0.239247707,,0.256367601,,0.279379454,,0.342775965,,0.27820297,,0.409547068,,0.740744657,,0.938050097,,0.983131809,,0.952387102,,1.14746186,,0.998949133,,1.771762069,,0.936644749,,0.878816581,,1.052257966,,0.401386045,,0.527499668,,0.815585394,,1.192614888,,0.511181324,,0.99370816,,0.914116713,,0.79229803,,1.037248661,,0.629809933,,0.273757467,,0.35821047,,1.524514074,,1.409285035,,1.304032979,,1.494955085
,car,35.69566729,,15.15299245,,21.83100036,,20.43113468,,9.483057316,,48.58244869,,43.29627439,,13.4330452,,14.04564898,,26.86882792,,35.36772282,,32.22544635,,7.437124588,,12.25429275,,25.19453005,,25.99219857,,14.3770888,,28.77175267,,15.01114881,,20.04546636,,27.48983186,,14.55921741,,42.14711004,,16.4568208,,43.32665263,,17.8331911,,35.62688541,,37.16315059,,35.99397608,,42.47743756,,41.42682246,,31.08963467,,20.31893003,,40.36213187,,36.64636499,,34.39141799,,20.56903635,,20.46168298,,35.80056541,,9.498151007,,33.43570714,,16.72765523,,24.71613544,,35.98068746,,11.28862539,,12.89816045,,15.49627824,,23.47601612,,32.51268757,,25.97911831,,29.90633603,,36.43998132,,12.62715453,,26.51491009,,15.6305944,,38.34472814,,15.56165967,,13.2871558,,45.46648187,,31.33783083,,32.54839301,,24.0435487,,33.49430147,,37.06970414,,33.45167042,,13.96124656,,28.29127978,,28.09133761,,20.44774308,,15.51455616,,28.64167347,,34.95589734,,67.19292462,,34.45724153,,31.65903603,,39.56559348,,61.84107738,,66.85300173,,67.02927987,,63.81795186,,79.04586264,,32.70267433,,65.12117143,,36.33801485,,71.80741686,,50.22841277,,38.92469255,,19.12851072,,18.07957553,,17.53334969,,19.83478783,,16.5764627,,20.92971225,,16.42961102,,16.0676875,,6.084636324,,4.412639802,,8.414251598,,8.931420182,,8.474125869,,9.941312425,,10.74599099,,9.235678996,,10.59925427,,11.34576921,,10.71705515,,8.964973335,,9.442456793,,11.81789782,,12.3043368,,11.79713521,,16.89193328,,22.1942709,,16.01448898,,12.65386366,,12.48695572,,13.64451899,,16.20200925,,22.76787541,,10.7661468,,11.53654204,,12.57207543,,15.42491843,,12.51913363,,18.42961807,,33.33350957,,42.21225436,,44.24093142,,42.85741959,,51.6357837,,44.95271101,,79.7292931,,42.14901369,,39.54674615,,47.35160847,,18.06237201,,23.73748504,,36.70134275,,53.66766997,,23.00315958,,44.71686718,,41.13525208,,35.65341133,,46.67618973,,28.34144699,,12.31908603,,16.11947114,,68.60313333,,63.41782657,,58.68148404,,67.27297881
,truck,2.379711153,,1.010199497,,1.455400024,,1.362075645,,0.632203821,,3.238829913,,2.886418293,,0.895536347,,0.936376599,,1.791255195,,2.357848188,,2.14836309,,0.495808306,,0.81695285,,1.679635337,,1.732813238,,0.958472586,,1.918116845,,1.000743254,,1.336364424,,1.832655458,,0.970614494,,2.809807336,,1.097121386,,2.888443509,,1.188879407,,2.375125694,,2.477543373,,2.399598405,,2.831829171,,2.761788164,,2.072642311,,1.354595335,,2.690808791,,2.443091,,2.292761199,,1.37126909,,1.364112199,,2.38670436,,0.633210067,,2.229047143,,1.115177016,,1.647742363,,2.398712497,,0.752575026,,0.859877363,,1.033085216,,1.565067741,,2.167512504,,1.73194122,,1.993755736,,2.429332088,,0.841810302,,1.767660673,,1.042039627,,2.556315209,,1.037443978,,0.885810387,,3.031098791,,2.089188722,,2.169892867,,1.602903247,,2.232953432,,2.471313609,,2.230111361,,0.93074977,,1.886085319,,1.872755841,,1.363182872,,1.034303744,,1.909444898,,2.330393156,,4.479528308,,2.297149435,,2.110602402,,2.637706232,,4.122738492,,4.456866782,,4.468618658,,4.254530124,,5.269724176,,2.180178289,,4.341411429,,2.422534323,,4.787161124,,3.348560852,,2.594979503,,1.275234048,,1.205305035,,1.168889979,,1.322319189,,1.105097513,,1.39531415,,1.095307401,,1.071179167,,0.405642422,,0.294175987,,0.560950107,,0.595428012,,0.564941725,,0.662754162,,0.716399399,,0.615711933,,0.706616951,,0.756384614,,0.714470344,,0.597664889,,0.62949712,,0.787859855,,0.82028912,,0.78647568,,1.126128885,,1.47961806,,1.067632599,,0.84359091,,0.832463715,,0.909634599,,1.08013395,,1.517858361,,0.71774312,,0.769102803,,0.838138362,,1.028327896,,0.834608909,,1.228641204,,2.222233972,,2.814150291,,2.949395428,,2.857161306,,3.44238558,,2.9968474,,5.315286207,,2.809934246,,2.636449744,,3.156773898,,1.204158134,,1.582499003,,2.446756183,,3.577844664,,1.533543972,,2.981124479,,2.742350139,,2.376894089,,3.111745982,,1.8894298,,0.821272402,,1.074631409,,4.573542222,,4.227855105,,3.912098936,,4.484865254
,bus,0.793237051,,0.336733166,,0.485133341,,0.454025215,,0.210734607,,1.079609971,,0.962139431,,0.298512116,,0.312125533,,0.597085065,,0.785949396,,0.71612103,,0.165269435,,0.272317617,,0.559878446,,0.577604413,,0.319490862,,0.639372282,,0.333581085,,0.445454808,,0.610885153,,0.323538165,,0.936602445,,0.365707129,,0.962814503,,0.396293136,,0.791708565,,0.825847791,,0.799866135,,0.943943057,,0.920596055,,0.69088077,,0.451531778,,0.896936264,,0.814363667,,0.764253733,,0.457089697,,0.454704066,,0.79556812,,0.211070022,,0.743015714,,0.371725672,,0.549247454,,0.799570832,,0.250858342,,0.286625788,,0.344361739,,0.521689247,,0.722504168,,0.57731374,,0.664585245,,0.809777363,,0.280603434,,0.589220224,,0.347346542,,0.85210507,,0.345814659,,0.295270129,,1.010366264,,0.696396241,,0.723297622,,0.534301082,,0.744317811,,0.823771203,,0.743370454,,0.310249923,,0.628695106,,0.624251947,,0.454394291,,0.344767915,,0.636481633,,0.776797719,,1.493176103,,0.765716478,,0.703534134,,0.879235411,,1.374246164,,1.485622261,,1.489539553,,1.418176708,,1.756574725,,0.726726096,,1.447137143,,0.807511441,,1.595720375,,1.116186951,,0.864993168,,0.425078016,,0.401768345,,0.389629993,,0.440773063,,0.368365838,,0.465104717,,0.365102467,,0.357059722,,0.135214141,,0.098058662,,0.186983369,,0.198476004,,0.188313908,,0.220918054,,0.2387998,,0.205237311,,0.235538984,,0.252128205,,0.238156781,,0.19922163,,0.209832373,,0.262619952,,0.273429707,,0.26215856,,0.375376295,,0.49320602,,0.355877533,,0.28119697,,0.277487905,,0.303211533,,0.36004465,,0.505952787,,0.239247707,,0.256367601,,0.279379454,,0.342775965,,0.27820297,,0.409547068,,0.740744657,,0.938050097,,0.983131809,,0.952387102,,1.14746186,,0.998949133,,1.771762069,,0.936644749,,0.878816581,,1.052257966,,0.401386045,,0.527499668,,0.815585394,,1.192614888,,0.511181324,,0.99370816,,0.914116713,,0.79229803,,1.037248661,,0.629809933,,0.273757467,,0.35821047,,1.524514074,,1.409285035,,1.304032979,,1.494955085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
