,,zcta1,,zcta2,,zcta3,,zcta4,,zcta5,,zcta6,,zcta7,,zcta8,,zcta9,,zcta10,,zcta11,,zcta12,,zcta13,,zcta14,,zcta15,,zcta16,,zcta17,,zcta18,,zcta19,,zcta20,,zcta21,,zcta22,,zcta23,,zcta24,,zcta25,,zcta26,,zcta27,,zcta28,,zcta29,,zcta30,,zcta31,,zcta32,,zcta33,,zcta34,,zcta35,,zcta36,,zcta37,,zcta38,,zcta39,,zcta40,,zcta41,,zcta42,,zcta43,,zcta44,,zcta45,,zcta46,,zcta47,,zcta48,,zcta49,,zcta50,,zcta51,,zcta52,,zcta53,,zcta54,,zcta55,,zcta56,,zcta57,,zcta58,,zcta59,,zcta60,,zcta61,,zcta62,,zcta63,,zcta64,,zcta65,,zcta66,,zcta67,,zcta68,,zcta69,,zcta70,,zcta71,,zcta72,,zcta73,,zcta74,,zcta75,,zcta76,,zcta77,,zcta78,,zcta79,,zcta80,,zcta81,,zcta82,,zcta83,,zcta84,,zcta85,,zcta86,,zcta87,,zcta88,,zcta89,,zcta90,,zcta91,,zcta92,,zcta93,,zcta94,,zcta95,,zcta96,,zcta97,,zcta98,,zcta99,,zcta100,,zcta101,,zcta102,,zcta103,,zcta104,,zcta105,,zcta106,,zcta107,,zcta108,,zcta109,,zcta110,,zcta111,,zcta112,,zcta113,,zcta114,,zcta115,,zcta116,,zcta117,,zcta118,,zcta119,,zcta120,,zcta121,,zcta122,,zcta123,,zcta124,,zcta125,,zcta126,,zcta127,,zcta128,,zcta129,,zcta130,,zcta131,,zcta132,,zcta133,,zcta134,,zcta135,,zcta136,,zcta137,,zcta138,,zcta139,,zcta140,,zcta141,,zcta142,,zcta143,,zcta144,,zcta145,,zcta146,,zcta147,,zcta148,,zcta149,,zcta150,,zcta151
PersonDistance(miles per day),bike,0.019115152,,0.0612,,0.045119553,,0.049238669,,0.22409624,,0.053319328,,0.04066092,,0.093550404,,0.092915304,,0.066343826,,0.017781149,,0.014320175,,2.09362276,,1.78150639,,0.0605,,0.72390411,,0.087510891,,0.025061599,,0.083878816,,0.059765661,,0.052215488,,0.069001486,,0,,0.07072214,,0.038524044,,0.048900479,,0.030196292,,0.041799944,,0.017880342,,0.036946217,,0.039566787,,0.015616485,,0,,0,,0.038680233,,0.01284141,,0.047739786,,0.042511096,,0,,0.094921833,,0.005263158,,0.084753537,,0.030390567,,0.029001604,,0.076918741,,0.074191688,,0.071143627,,0.030357887,,0.02670581,,0.051776422,,0.058361382,,0,,0.102711844,,0.049127462,,0.084085286,,0.047689016,,0.074242462,,0.099836491,,0.088149606,,0,,0.001903429,,0.049738584,,0.02618089,,0.026234913,,0.014423165,,0.187704014,,0.026962147,,0.038018132,,0.159589376,,0.252077766,,0,,0.004444444,,0,,0.030073801,,0.039808345,,0.049207323,,0,,0,,0.057789474,,0,,0,,0.027909035,,0,,0.033143626,,0,,0,,0,,0.059024504,,0.052832468,,0.062354507,,0.065942025,,0.085050363,,0.058113882,,0.06191623,,0.371039469,,0.657786546,,0.919369181,,0.172365248,,0.441985812,,0.204844997,,0.257190032,,0.187051989,,0.151197803,,0.114158411,,0.125889973,,0.109569424,,0.13880046,,0.17403583,,0.133227872,,0.11695261,,0.0887603,,0.069215507,,0.06772482,,0.092046292,,0.105673245,,0.168723601,,0.140976941,,0.091249109,,0.050163317,,0.11601567,,0.101701801,,0.082809506,,0.065407824,,0.101152977,,0.07563745,,0.058097297,,0,,0.048758231,,0.033921569,,0.00668578,,0.019198606,,0,,0.011520533,,0.015563847,,0,,0.032755906,,0.033316299,,0.054512878,,0.067011494,,0.065093125,,0.025289187,,0.073098592,,0.01554023,,0.044,,0.057744341,,0.102512415,,0.087382141,,0,,0,,0,,0.012690763
,walk,0.03409697,,0.222072727,,0.153290844,,0.194563378,,0.545893097,,0.125756303,,0.033376437,,0.236751894,,0.219956192,,0.148038741,,0.040851537,,0.065844298,,0.418549669,,0.319377202,,0.097593385,,0.102945205,,0.203421674,,0.092200877,,0.229507494,,0.109195895,,0.257427609,,0.195116615,,0.034772727,,0.224845474,,0.034397229,,0.245065298,,0.064070338,,0.054299248,,0.055242165,,0.063418414,,0.142509025,,0.057377384,,0.138823529,,0,,0.088383721,,0.153193833,,0.154100501,,0.111561551,,0.023788945,,0.372204852,,0.162631579,,0.130982874,,0.056846905,,0.159721999,,0.27494104,,0.241593046,,0.185884796,,0.102010076,,0.04776885,,0.140959957,,0.082298494,,0.083026316,,0.285351561,,0.087091083,,0.14978054,,0.045720399,,0.215760688,,0.281964944,,0.33976378,,0.063888889,,0.03720084,,0.130377398,,0.076708727,,0.072537533,,0.158992248,,0.461877155,,0.202140632,,0.072328196,,0.282530819,,0.350394478,,0.18,,0.188494624,,0.010748477,,0.152370849,,0.08141791,,0.082490378,,0.040597015,,0.024850136,,0.010070175,,0.024508197,,0,,0.08765178,,0.110222222,,0.076953055,,0.002878229,,0.017882353,,0.078222222,,0.183740957,,0.111721779,,0.168492305,,0.26075177,,0.285996335,,0.148129499,,0.17285126,,0.309566838,,1.138702185,,1.356567173,,0.39980481,,1.100686139,,0.642777632,,0.773525577,,0.45192118,,0.41080369,,0.276765652,,0.321595742,,0.308347042,,0.315618246,,0.349566868,,0.288265643,,0.283732692,,0.252900075,,0.16824009,,0.09301259,,0.262091077,,0.232159393,,0.342749672,,0.319930635,,0.335462514,,0.136193467,,0.300778759,,0.30709574,,0.260466036,,0.225047173,,0.229433885,,0.271727635,,0.098864865,,0.015025381,,0.062398871,,0.038442266,,0.008692661,,0.01869338,,0,,0.023840178,,0.049701493,,0.031132075,,0.23511811,,0.239339699,,0.06787234,,0.028390805,,0.174846373,,0.036663873,,0.038544601,,0.042735632,,0.011433962,,0.153185087,,0.329103612,,0.244877472,,0.017,,0.023802817,,0.038837209,,0.021918443
,motorcycle,0.50264026,,0.297465455,,0.378926442,,0.368831175,,0.177422545,,0.642737995,,0.627798707,,0.276189842,,0.291542482,,0.543220304,,0.684855669,,0.597273982,,0.126907212,,0.228342918,,0.421615931,,0.384408317,,0.299460914,,0.499148489,,0.294070169,,0.413028522,,0.405300346,,0.315785417,,0.73059237,,0.325911424,,0.72400662,,0.309445151,,0.595750674,,0.611577324,,0.564789206,,0.631102344,,0.553789685,,0.606463191,,0.538442737,,0.771280952,,0.519963846,,0.621086131,,0.380748994,,0.417063657,,0.630717789,,0.203298044,,0.43130282,,0.349989097,,0.496311905,,0.494426633,,0.237757332,,0.265044525,,0.33648756,,0.462005877,,0.631643546,,0.444306924,,0.531232076,,0.725771992,,0.255523558,,0.521513041,,0.32601729,,0.662347891,,0.313246353,,0.262874766,,0.666767942,,0.655338492,,0.630372238,,0.456202863,,0.611722469,,0.639799861,,0.567390971,,0.236483037,,0.486056629,,0.585559293,,0.311550344,,0.269480352,,0.346736025,,0.558997696,,0.767928833,,0.577571402,,0.519795835,,0.58915614,,1.012729211,,0.716498657,,0.715655789,,0.930885597,,0.621204082,,0.552750016,,0.721911746,,0.578617135,,0.668781392,,0.903365378,,0.584782857,,0.358632728,,0.382496856,,0.346603722,,0.377614573,,0.313382001,,0.415777596,,0.322801465,,0.290967085,,0.104541778,,0.062702177,,0.176367376,,0.16020637,,0.173200472,,0.196801191,,0.213258105,,0.190392107,,0.225132853,,0.226901136,,0.210217147,,0.185889778,,0.199060033,,0.237809583,,0.246727148,,0.236828166,,0.340592432,,0.45122157,,0.32871294,,0.266085693,,0.251544599,,0.263192571,,0.306850678,,0.449913209,,0.228962683,,0.242127765,,0.261019248,,0.315739726,,0.265015847,,0.282697896,,0.624851058,,0.566477955,,0.676025032,,0.562107952,,0.629303653,,0.603121304,,0.711624138,,0.553269478,,0.696972743,,0.585869326,,0.244932733,,0.300830337,,0.666694481,,0.596013957,,0.381448624,,0.595801461,,0.56448216,,0.709131823,,0.576160916,,0.418070671,,0.179746379,,0.233616954,,0.895831224,,0.780045091,,0.911243854,,0.738336462
,car,22.61881169,,13.38594545,,17.0516899,,16.5974029,,7.984014517,,28.92320978,,28.25094181,,12.42854291,,13.11941167,,24.4449137,,30.81850511,,26.87732918,,5.710824559,,10.27543132,,18.9727169,,17.29837427,,13.47574113,,22.46168201,,13.2331576,,18.5862835,,18.23851558,,14.21034377,,32.87665666,,14.6660141,,32.58029792,,13.92503182,,26.80878032,,27.52097956,,25.41551429,,28.39960548,,24.92053584,,27.29084359,,24.22992317,,34.70764286,,23.39837305,,27.9488759,,17.13370472,,18.76786455,,28.3823005,,9.148411975,,19.40862688,,15.74950936,,22.33403573,,22.2491985,,10.69907993,,11.92700361,,15.14194019,,20.79026447,,28.42395956,,19.9938116,,23.90544344,,32.65973966,,11.4985601,,23.46808685,,14.67077805,,29.80565508,,14.0960859,,11.82936449,,30.00455737,,29.49023214,,28.36675072,,20.52912883,,27.5275111,,28.79099375,,25.53259371,,10.64173667,,21.87254833,,26.35016818,,14.0197655,,12.12661585,,15.60312112,,25.15489631,,34.55679746,,25.9907131,,23.39081257,,26.51202629,,45.5728145,,32.24243957,,32.20451053,,41.88985187,,27.95418367,,24.87375073,,32.48602857,,26.03777107,,30.09516263,,40.65144202,,26.31522857,,16.13847278,,17.2123585,,15.5971675,,16.99265577,,14.10219003,,18.70999183,,14.52606594,,13.09351884,,4.704379988,,2.821597972,,7.93653193,,7.209286637,,7.794021232,,8.856053592,,9.59661471,,8.567644819,,10.13097841,,10.21055112,,9.459771598,,8.365039995,,8.957701503,,10.70143124,,11.10272164,,10.65726749,,15.32665945,,20.30497064,,14.79208232,,11.97385617,,11.31950697,,11.8436657,,13.8082805,,20.2460944,,10.30332072,,10.89574944,,11.74586614,,14.20828765,,11.92571309,,12.72140531,,28.11829761,,25.49150798,,30.42112646,,25.29485784,,28.3186644,,27.14045869,,32.02308621,,24.89712653,,31.36377345,,26.36411968,,11.021973,,13.53736516,,30.00125164,,26.82062808,,17.16518809,,26.81106574,,25.40169718,,31.91093202,,25.92724124,,18.81318022,,8.088587065,,10.51276294,,40.3124051,,35.10202907,,41.00597342,,33.2251408
,truck,1.507920779,,0.892396364,,1.136779327,,1.106493526,,0.532267634,,1.928213986,,1.883396121,,0.828569527,,0.874627445,,1.629660913,,2.054567008,,1.791821945,,0.380721637,,0.685028755,,1.264847793,,1.153224951,,0.898382742,,1.497445467,,0.882210506,,1.239085567,,1.215901039,,0.947356251,,2.19177711,,0.977734273,,2.172019861,,0.928335454,,1.787252021,,1.834731971,,1.694367619,,1.893307032,,1.661369056,,1.819389573,,1.615328211,,2.313842857,,1.559891537,,1.863258394,,1.142246981,,1.25119097,,1.892153367,,0.609894132,,1.293908459,,1.049967291,,1.488935716,,1.4832799,,0.713271995,,0.795133574,,1.009462679,,1.386017631,,1.894930637,,1.332920773,,1.593696229,,2.177315977,,0.766570674,,1.564539124,,0.97805187,,1.987043672,,0.93973906,,0.788624299,,2.000303825,,1.966015476,,1.891116715,,1.368608589,,1.835167407,,1.919399584,,1.702172914,,0.709449111,,1.458169888,,1.756677879,,0.934651033,,0.808441057,,1.040208075,,1.676993088,,2.303786498,,1.732714207,,1.559387505,,1.767468419,,3.038187633,,2.149495971,,2.146967368,,2.792656792,,1.863612245,,1.658250049,,2.165735238,,1.735851405,,2.006344175,,2.710096134,,1.754348571,,1.075898185,,1.147490567,,1.039811167,,1.132843718,,0.940146002,,1.247332789,,0.968404396,,0.872901256,,0.313625333,,0.188106531,,0.529102129,,0.480619109,,0.519601415,,0.590403573,,0.639774314,,0.571176321,,0.67539856,,0.680703408,,0.63065144,,0.557669333,,0.5971801,,0.713428749,,0.740181443,,0.710484499,,1.021777297,,1.35366471,,0.986138821,,0.798257078,,0.754633798,,0.789577713,,0.920552033,,1.349739627,,0.686888048,,0.726383296,,0.783057743,,0.947219177,,0.79504754,,0.848093687,,1.874553174,,1.699433865,,2.028075097,,1.686323856,,1.88791096,,1.809363912,,2.134872414,,1.659808435,,2.09091823,,1.757607978,,0.7347982,,0.902491011,,2.000083443,,1.788041872,,1.144345873,,1.787404383,,1.693446479,,2.127395468,,1.728482749,,1.254212014,,0.539239138,,0.700850863,,2.687493673,,2.340135272,,2.733731561,,2.215009387
,bus,0.50264026,,0.297465455,,0.378926442,,0.368831175,,0.177422545,,0.642737995,,0.627798707,,0.276189842,,0.291542482,,0.543220304,,0.684855669,,0.597273982,,0.126907212,,0.228342918,,0.421615931,,0.384408317,,0.299460914,,0.499148489,,0.294070169,,0.413028522,,0.405300346,,0.315785417,,0.73059237,,0.325911424,,0.72400662,,0.309445151,,0.595750674,,0.611577324,,0.564789206,,0.631102344,,0.553789685,,0.606463191,,0.538442737,,0.771280952,,0.519963846,,0.621086131,,0.380748994,,0.417063657,,0.630717789,,0.203298044,,0.43130282,,0.349989097,,0.496311905,,0.494426633,,0.237757332,,0.265044525,,0.33648756,,0.462005877,,0.631643546,,0.444306924,,0.531232076,,0.725771992,,0.255523558,,0.521513041,,0.32601729,,0.662347891,,0.313246353,,0.262874766,,0.666767942,,0.655338492,,0.630372238,,0.456202863,,0.611722469,,0.639799861,,0.567390971,,0.236483037,,0.486056629,,0.585559293,,0.311550344,,0.269480352,,0.346736025,,0.558997696,,0.767928833,,0.577571402,,0.519795835,,0.58915614,,1.012729211,,0.716498657,,0.715655789,,0.930885597,,0.621204082,,0.552750016,,0.721911746,,0.578617135,,0.668781392,,0.903365378,,0.584782857,,0.358632728,,0.382496856,,0.346603722,,0.377614573,,0.313382001,,0.415777596,,0.322801465,,0.290967085,,0.104541778,,0.062702177,,0.176367376,,0.16020637,,0.173200472,,0.196801191,,0.213258105,,0.190392107,,0.225132853,,0.226901136,,0.210217147,,0.185889778,,0.199060033,,0.237809583,,0.246727148,,0.236828166,,0.340592432,,0.45122157,,0.32871294,,0.266085693,,0.251544599,,0.263192571,,0.306850678,,0.449913209,,0.228962683,,0.242127765,,0.261019248,,0.315739726,,0.265015847,,0.282697896,,0.624851058,,0.566477955,,0.676025032,,0.562107952,,0.629303653,,0.603121304,,0.711624138,,0.553269478,,0.696972743,,0.585869326,,0.244932733,,0.300830337,,0.666694481,,0.596013957,,0.381448624,,0.595801461,,0.56448216,,0.709131823,,0.576160916,,0.418070671,,0.179746379,,0.233616954,,0.895831224,,0.780045091,,0.911243854,,0.738336462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
