,,Absulte changes of death from PA,,,,,,,Absulte changes of deaths from TI,,,,,,,Absulte changes of DALYs from PA,,,,,,,Absulte changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta19,95624,-0.441415278,0.001052473,-0.009696363,-0.350997651,-0.259248651,-0.312210038,,-0.561621855,0.146137969,0.132220211,-0.081174766,-0.042701246,0.106477051,,-4.949702221,0.247771861,-2.456815616,-5.520000975,-4.503703385,-6.074076064,,-30.3018869,7.859385765,7.007171,-4.457467909,-2.323731791,5.724252417
zcta20,95626,0.756759588,0.799963792,0.739933436,0.529776466,0.721168298,0.486100335,,-0.017587633,0.005545998,0.017506784,-0.00659895,0.007795366,-0.001253349,,5.524762621,6.242542417,4.781436953,3.142058794,5.004118361,3.029780947,,-0.953133837,0.303580649,0.895324414,-0.304799046,0.44436493,-0.060925555
zcta21,95627,-0.140898452,-0.317976359,-0.280885862,-0.356425129,-0.294895983,-0.32790959,,-0.140982562,0.010380022,0.000223688,0.035916871,0.006205195,0.017402249,,-1.533454582,-4.438531148,-3.534164638,-4.793584975,-3.428416886,-3.961790316,,-7.508012734,0.590787065,0.068049885,1.975908748,0.36908854,0.962519677
zcta22,95628,0.175349828,-0.147621814,2.704494497,2.865731114,0.640900298,2.325563583,,-0.008542424,0.083172154,0.041976471,0.068483587,0.081210475,0.081824518,,-3.700401972,-5.782710547,19.86198744,21.84489506,3.763341134,13.74073208,,-0.419840238,3.962201892,1.931992714,3.144370279,3.813900684,3.814326482
zcta23,95629,-0.00646837,-0.10121614,-0.008754634,0.006052472,0.001417,0.009593718,,-0.059999342,-0.026674894,-0.027732775,-0.008896745,-0.038641089,-0.015317549,,-0.20601743,-1.963551173,-0.393150022,0.253728257,0.175196037,0.632060572,,-2.536414713,-1.13683068,-1.175544136,-0.375388852,-1.653559783,-0.658541488
zcta24,95630,-3.24316365,-0.953747239,-0.679254065,-3.092789543,-0.138804212,-0.432608329,,-0.113487099,0.640880539,0.360338668,0.699102657,0.546220828,0.686493116,,-29.72747309,-11.21861471,-9.795098985,-27.35549036,-2.084005654,-3.24776964,,-6.047348912,34.47522562,19.41609151,37.47214717,29.21948871,36.76114268
zcta25,95631,-0.009677268,-0.065712862,-0.046623766,-0.010136224,-0.035661814,-0.018464644,,-0.217717185,-0.011774518,-0.002521683,0.002614456,0.007054498,-0.001159502,,-0.309479264,-0.870190363,-0.747310404,-0.334574249,-0.50316188,-0.441139728,,-10.10252583,-0.52367661,-0.10283204,0.131715897,0.359547456,-0.032534093
zcta26,95632,-1.471011452,-0.315881673,-0.341193928,-0.059645065,-0.319155591,-1.020842263,,-0.530861158,0.166656701,0.158344299,0.056226769,0.13802084,0.244719479,,-15.46303354,-6.4484475,-6.374325415,-2.324037617,-7.038236589,-12.11790562,,-28.34055251,8.948518742,8.521589967,2.975848993,7.412650963,13.1511284
zcta27,95633,-0.009723149,-0.016696076,-0.023061908,-0.005517988,-0.007379429,-0.00721405,,-0.113310565,-0.006613276,-0.018662311,-0.01488289,-0.004733196,-0.011568299,,-0.285844692,-0.305189074,-0.435816562,-0.167345073,0.071374665,-0.155953635,,-5.33105474,-0.293584731,-0.855917463,-0.684860246,-0.227046664,-0.537622064
zcta28,95634,0.164174895,0.090605844,0.128711099,0.146909929,0.153682748,0.083994776,,-0.149350982,-0.022442014,-0.01224144,-0.021293586,-0.011877864,-0.016896716,,1.161670932,0.407236884,0.714346193,0.944076485,1.307580279,-0.025774064,,-6.849101194,-1.021649139,-0.544794692,-0.955621129,-0.546104894,-0.740823879
zcta29,95635,0.000220024,-0.01041881,-0.047895563,-0.014659414,-0.000832759,-0.045604223,,-0.052392696,0.000568342,-0.003346004,-0.006503549,-0.001354525,-0.005575272,,0.058586596,-0.358887701,-0.441047735,-0.169546272,-0.037702039,-0.397396227,,-2.605501913,0.028538123,-0.161313922,-0.324278949,-0.064412587,-0.27562699
zcta30,95636,-0.018706212,-0.005444137,0.003346926,-0.004805099,-0.03973149,-0.005123706,,-0.057849407,-0.005039977,-0.001679008,-0.013761578,-0.000905597,-0.002902497,,-0.379119381,-0.190933211,0.112459144,-0.262130216,-0.367995927,0.026462854,,-2.757210882,-0.236616474,-0.077109113,-0.643184863,-0.048368057,-0.139852193
zcta31,95637,0.024747128,-0.017847561,0.017310786,0.030722736,-0.018774112,-0.034737659,,-0.019620915,0.002962841,0.002109329,0.004516888,0.005488053,0.002751182,,0.228309787,-0.141593716,0.042901863,0.360449035,-0.394678834,-0.540265942,,-0.877004164,0.134963115,0.094119503,0.203024053,0.248137658,0.129459729
zcta32,95638,-0.007425918,0.003147691,0.008778422,-0.003707262,-0.00553351,0.000255657,,-0.018514214,0.01265419,0.005454849,-0.001165933,-0.005527589,0.002424387,,-0.150701026,0.12878471,0.322287239,-0.031973018,-0.197033001,-0.090466827,,-0.929222457,0.648980949,0.282671021,-0.054658457,-0.26598252,0.139676276
zcta33,95639,0.000999947,-0.000361271,-0.003149517,-0.021766576,0.001987937,-0.110136025,,0.009017972,0.00436843,0.001344292,0.010029446,0.006821805,0.007532748,,0.09933157,-0.006330068,-0.039783863,-0.442822934,0.143110624,-1.007751605,,0.433766369,0.212416164,0.06692928,0.488420278,0.32965352,0.367886171
zcta34,95640,-0.11447083,-0.039629561,0,-0.172418702,-0.216601969,-0.497718972,,-0.300388202,-0.064574686,0.324380488,0.117900407,0.240379478,-0.139982186,,-7.792596157,-4.123541474,0,-11.68227813,-11.68609255,-33.18352733,,-15.69454639,-3.373315042,16.94002502,6.158139395,12.55417259,-7.312921974
zcta35,95641,0.040972936,-0.080063064,-0.003575408,-0.125447164,-0.015243251,-0.003586216,,-0.100920403,0.013478289,0.003291124,0.006244896,0.01361256,0.003524152,,0.456154092,-0.747888666,-0.126829189,-1.647702258,-0.439799447,-0.018140834,,-4.434060875,0.593658267,0.165329273,0.287966513,0.609553859,0.165435873
zcta36,95645,0.017538026,0.069840463,0.062301821,-0.125528239,-0.079152285,0.006676187,,-0.036416132,0.010925974,-0.000650653,0.003468961,0.002488431,0.009525398,,0.09147144,0.797514232,0.308731937,-1.006500746,-0.71732111,-1.302463843,,-1.907711397,0.600544619,-0.006960116,0.208297919,0.151192186,0.538570453
zcta37,95648,0.164749289,0.465418804,0.000925634,0.703039,0.002365885,0.505974199,,-0.367909243,0.482423324,0.340217151,0.336831059,0.532051515,0.424292921,,2.709015152,2.541613915,-1.288426779,9.099107451,-3.465051597,5.52314905,,-16.61956501,21.75895256,15.31997085,15.06295725,23.96949483,19.04681096
zcta38,95650,-0.162297928,-0.098640839,-0.658383028,-0.108272271,-0.031666706,-0.138772224,,-0.045565653,0.054538008,0.025152878,0.028220337,0.068984771,0.057012744,,-2.926741372,-1.557406693,-6.718160657,-1.81118304,-0.834296264,-3.895179118,,-2.181423223,2.659408344,1.243211464,1.393549605,3.317855457,2.81041719
zcta39,95651,0.008301266,0.007894091,0.009481102,-0.002297877,0.009142105,-0.191561138,,-0.016271481,0.002330772,-0.003262072,0.003764172,-0.002642432,-0.002029967,,0.04365008,0.0439452,0.105850782,-0.224217911,0.086525016,-1.68891798,,-0.792177745,0.112994839,-0.15919827,0.18795525,-0.128780555,-0.090619421
zcta40,95652,0.020949975,-0.022440432,-0.03685896,0.01959913,-0.024182964,0.001488902,,-0.001745373,-0.003143658,0.000122439,-0.003775332,-0.004147226,-0.000232756,,0.232949834,-0.258076669,-0.393402344,0.257009541,-0.389079891,0.013987423,,-0.1144691,-0.194037029,0.011804022,-0.248052232,-0.254054411,-0.008469085
zcta41,95653,-0.000804286,-0.16087681,-0.001424324,0.002998866,-0.16197019,-0.512276342,,-0.006104248,0.015699163,0.012529386,-0.010363608,-0.004289695,0.020119737,,0.397183993,-2.361336662,-0.487114048,0.305778595,-0.977721364,-4.079441237,,-0.34296359,0.858288063,0.675139315,-0.549073938,-0.206064105,1.099160446
zcta42,95655,-0.00686071,-0.074161346,-0.042262785,-0.044756871,-0.03510056,-0.02738559,,-0.014509523,0.003761534,0.007525423,0.011101437,0.003283388,-0.006165874,,-0.307660665,-1.341088155,-0.775065634,-0.865502475,-0.897034419,-0.581693188,,-0.871981409,0.198605934,0.423238143,0.629612138,0.181807542,-0.406718948
zcta43,95658,-0.040526171,-0.023056947,-0.046762282,-0.128002211,-0.036705902,-0.025955812,,-0.065384932,0.007946109,-0.003413699,-0.01108079,-0.011270594,0.001718473,,-0.76760539,-0.546950616,-0.623569161,-1.447598364,-0.541285644,-0.341695313,,-2.948139514,0.348693839,-0.159407366,-0.502457787,-0.508352245,0.073187048
zcta44,95659,-0.000280657,0.034675743,0.012169343,0.013858982,-0.013996101,-0.001901058,,0.002306234,0.029214405,0.00749768,0.029477092,0.029587155,0.008844905,,-0.053432091,0.203330355,-0.178465073,-0.245969331,-0.36067939,-0.316216959,,0.107683385,1.350601703,0.353797212,1.360994969,1.367052722,0.407172877
zcta45,95660,-0.054301162,0.114224319,0.095407698,0.2571156,-0.181631839,-0.022796291,,-0.223514013,-0.079247433,-0.102701738,-0.159938489,-0.081123418,0.019934155,,-0.685214538,0.037056274,-1.022583019,2.66227974,-4.037972501,-0.589459113,,-11.95187525,-4.168214123,-5.459383523,-8.583071344,-4.328402787,1.081076825
zcta46,95661,0.583899864,0.531728686,0.530599273,0.794074089,0.19537142,0.296811896,,-0.093698448,0.114324525,0.098319688,-0.030762578,0.035474216,0.086291486,,3.338041702,0.667123602,0.781423588,3.271541659,-2.956551734,-2.24302316,,-4.601467726,5.647668952,4.857212891,-1.462793114,1.765856596,4.281188174
zcta47,95662,-0.129867276,-0.273493466,-0.288486614,-0.031791699,-1.856495592,-0.436552853,,-0.016310449,0.021922289,0.06609495,0.06444223,0.062905548,0.048347582,,-3.80833581,-4.323553952,-7.528043534,-0.594698003,-16.62050515,-6.997703455,,-0.837421006,1.150663163,3.335740149,3.1982137,3.131721428,2.437903171
